subject,trans_f1,trans_prec,trans_recall,cnn_f1,cnn_prec,cnn_recall,delta_f1,winner
46,88.05,85.37,90.91,76.5,66.04,90.91,11.549999999999997,Transformer
36,88.52,81.82,96.43,80.0,81.48,78.57,8.519999999999996,Transformer
49,93.42,93.42,93.42,87.58,87.01,88.16,5.840000000000003,Transformer
54,94.97,92.39,97.7,89.16,93.67,85.06,5.810000000000002,Transformer
62,97.56,98.36,96.77,92.31,98.18,87.1,5.25,Transformer
44,89.06,90.77,87.41,83.91,73.08,98.52,5.150000000000006,Transformer
43,97.84,97.14,98.55,93.62,91.67,95.65,4.219999999999999,Transformer
38,78.82,80.72,77.01,74.84,85.29,66.67,3.9799999999999898,Transformer
61,87.18,78.46,98.08,84.21,77.42,92.31,2.970000000000013,Transformer
50,98.41,96.88,100.0,96.12,92.54,100.0,2.289999999999992,Transformer
56,96.21,95.49,96.95,94.2,89.66,99.24,2.009999999999991,Transformer
55,97.9,96.55,99.29,96.75,98.53,95.04,1.1500000000000057,Transformer
63,97.01,99.24,94.89,96.4,95.04,97.81,0.6099999999999994,Transformer
58,98.38,96.81,100.0,97.85,95.79,100.0,0.5300000000000011,Transformer
37,91.75,84.76,100.0,91.89,88.54,95.51,-0.14000000000000057,CNN
51,85.25,96.3,76.47,85.71,93.1,79.41,-0.45999999999999375,CNN
53,91.47,85.51,98.33,92.31,85.71,100.0,-0.8400000000000034,CNN
31,78.79,65.0,100.0,80.0,66.67,100.0,-1.2099999999999937,CNN
34,90.91,83.33,100.0,92.31,85.71,100.0,-1.4000000000000057,CNN
60,86.02,80.0,93.02,90.48,92.68,88.37,-4.460000000000008,CNN
52,85.53,80.95,90.67,90.0,84.71,96.0,-4.469999999999999,CNN
