test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,91.32,93.32,89.26,97.76,89.29,0.00,95.41,97.07,95.13,99.08,91.21,0.01,75.00,78.79,65.00,100.00,76.67,20.41,18.28
34,0.00,89.23,91.71,87.03,96.92,86.94,0.00,93.64,95.98,93.07,99.08,87.42,0.00,83.33,90.91,83.33,100.00,50.00,10.31,5.07
36,0.00,89.92,92.22,87.91,96.98,87.79,0.00,92.58,95.34,91.88,99.08,85.15,0.01,82.50,88.52,81.82,96.43,73.21,10.08,6.82
37,0.00,89.60,91.92,87.31,97.04,87.51,0.00,95.76,97.29,95.56,99.08,91.96,0.00,85.05,91.75,84.76,100.00,55.56,10.71,5.53
38,0.00,92.08,93.75,90.91,96.77,90.71,0.00,93.99,96.13,95.05,97.24,90.28,0.01,70.73,78.82,80.72,77.01,66.28,23.26,17.30
43,0.00,89.53,91.90,87.30,97.02,87.36,0.00,95.05,96.86,94.32,99.54,89.92,0.00,96.63,97.84,97.14,98.55,94.28,-1.58,-0.98
44,0.00,90.72,92.82,88.65,97.41,88.70,0.00,95.05,96.82,95.52,98.16,91.50,0.01,86.38,89.06,90.77,87.41,86.01,8.67,7.76
46,0.00,89.02,91.69,86.88,97.06,86.36,0.00,93.99,96.16,94.25,98.16,89.23,0.00,88.05,88.05,85.37,90.91,88.14,5.94,8.11
49,0.00,93.36,94.75,91.87,97.81,92.06,0.00,95.05,96.82,95.52,98.16,91.50,0.01,90.00,93.42,93.42,93.42,86.29,5.05,3.40
50,0.00,87.90,90.73,85.74,96.34,85.37,0.00,95.41,97.03,96.36,97.70,92.79,0.00,97.78,98.41,96.88,100.00,96.43,-2.37,-1.39
51,0.00,89.52,91.96,87.03,97.49,87.14,0.00,91.52,94.71,90.72,99.08,82.87,0.01,79.55,85.25,96.30,76.47,83.24,11.97,9.47
52,0.00,88.68,91.31,86.63,96.53,86.32,0.00,93.64,95.87,95.43,96.31,90.58,0.01,80.00,85.53,80.95,90.67,75.33,13.64,10.34
53,0.00,84.13,88.18,81.19,96.50,80.49,0.00,85.16,91.10,84.31,99.08,69.24,0.00,86.25,91.47,85.51,98.33,74.17,-1.09,-0.37
54,0.00,89.29,91.73,87.06,96.94,87.05,0.00,95.41,97.03,96.36,97.70,92.79,0.00,92.56,94.97,92.39,97.70,88.56,2.84,2.05
55,0.00,88.45,90.99,86.07,96.51,86.31,0.00,96.47,97.74,96.00,99.54,92.95,0.00,96.45,97.90,96.55,99.29,90.72,0.02,-0.16
56,0.00,89.10,91.51,86.77,96.81,87.01,0.00,94.35,96.43,93.51,99.54,88.41,0.00,93.87,96.21,95.49,96.95,89.10,0.48,0.22
58,0.00,89.94,92.16,87.84,96.93,87.97,0.00,91.87,94.95,90.76,99.54,83.10,0.00,97.35,98.38,96.81,100.00,93.18,-5.47,-3.43
60,0.00,87.78,90.74,85.20,97.06,84.93,0.00,93.64,95.98,93.07,99.08,87.42,0.01,81.69,86.02,80.00,93.02,78.65,11.95,9.96
61,0.00,90.98,92.98,89.11,97.20,89.13,0.00,94.35,96.38,94.67,98.16,89.99,0.01,79.17,87.18,78.46,98.08,64.04,15.18,9.20
62,0.00,87.09,90.04,84.44,96.43,84.60,0.00,94.70,96.64,93.91,99.54,89.16,0.00,95.77,97.56,98.36,96.77,92.83,-1.08,-0.92
63,0.00,91.06,92.95,89.06,97.18,89.42,0.00,93.29,95.71,93.81,97.70,88.24,0.00,95.21,97.01,99.24,94.89,95.78,-1.92,-1.30
