======================================================================
KALMANBALANCEDFLEXIBLE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          75.00          78.79           65.00       100.00         95.41         97.07   18.28
          34          83.33          90.91           83.33       100.00         93.64         95.98    5.07
          36          82.50          88.52           81.82        96.43         92.58         95.34    6.82
          37          85.05          91.75           84.76       100.00         95.76         97.29    5.53
          38          70.73          78.82           80.72        77.01         93.99         96.13   17.30
          43          96.63          97.84           97.14        98.55         95.05         96.86   -0.98
          44          86.38          89.06           90.77        87.41         95.05         96.82    7.76
          46          88.05          88.05           85.37        90.91         93.99         96.16    8.11
          49          90.00          93.42           93.42        93.42         95.05         96.82    3.40
          50          97.78          98.41           96.88       100.00         95.41         97.03   -1.39
          51          79.55          85.25           96.30        76.47         91.52         94.71    9.47
          52          80.00          85.53           80.95        90.67         93.64         95.87   10.34
          53          86.25          91.47           85.51        98.33         85.16         91.10   -0.37
          54          92.56          94.97           92.39        97.70         95.41         97.03    2.05
          55          96.45          97.90           96.55        99.29         96.47         97.74   -0.16
          56          93.87          96.21           95.49        96.95         94.35         96.43    0.22
          58          97.35          98.38           96.81       100.00         91.87         94.95   -3.43
          60          81.69          86.02           80.00        93.02         93.64         95.98    9.96
          61          79.17          87.18           78.46        98.08         94.35         96.38    9.20
          62          95.77          97.56           98.36        96.77         94.70         96.64   -0.92
          63          95.21          97.01           99.24        94.89         93.29         95.71   -1.30
-----------------------------------------------------------------------------------------------------------
AVERAGE            87.30            91.10            88.54            94.57            93.82            96.10             5.00
