fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.000299,91.32,93.32,89.26,97.76,89.29,0.000186,95.41,97.07,95.13,99.08,91.21,0.010741,75.0,78.79,65.0,100.0,76.67,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
2,0.000359,89.23,91.71,87.03,96.92,86.94,0.000272,93.64,95.98,93.07,99.08,87.42,0.001942,83.33,90.91,83.33,100.0,50.0,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
3,0.000318,89.92,92.22,87.91,96.98,87.79,0.000234,92.58,95.34,91.88,99.08,85.15,0.006432,82.5,88.52,81.82,96.43,73.21,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
4,0.000334,89.6,91.92,87.31,97.04,87.51,0.000195,95.76,97.29,95.56,99.08,91.96,0.002715,85.05,91.75,84.76,100.0,55.56,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
5,0.000328,92.08,93.75,90.91,96.77,90.71,0.00021,93.99,96.13,95.05,97.24,90.28,0.007809,70.73,78.82,80.72,77.01,66.28,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
6,0.000354,89.53,91.9,87.3,97.02,87.36,0.000255,95.05,96.86,94.32,99.54,89.92,0.002308,96.63,97.84,97.14,98.55,94.28,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
7,0.000308,90.72,92.82,88.65,97.41,88.7,0.000213,95.05,96.82,95.52,98.16,91.5,0.006742,86.38,89.06,90.77,87.41,86.01,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
8,0.00035,89.02,91.69,86.88,97.06,86.36,0.000293,93.99,96.16,94.25,98.16,89.23,0.003751,88.05,88.05,85.37,90.91,88.14,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
9,0.000238,93.36,94.75,91.87,97.81,92.06,0.000182,95.05,96.82,95.52,98.16,91.5,0.0057,90.0,93.42,93.42,93.42,86.29,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
10,0.000386,87.9,90.73,85.74,96.34,85.37,0.000237,95.41,97.03,96.36,97.7,92.79,0.00153,97.78,98.41,96.88,100.0,96.43,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
11,0.000349,89.52,91.96,87.03,97.49,87.14,0.000258,91.52,94.71,90.72,99.08,82.87,0.010297,79.55,85.25,96.3,76.47,83.24,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
12,0.000372,88.68,91.31,86.63,96.53,86.32,0.000374,93.64,95.87,95.43,96.31,90.58,0.006242,80.0,85.53,80.95,90.67,75.33,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
13,0.000448,84.13,88.18,81.19,96.5,80.49,0.000316,85.16,91.1,84.31,99.08,69.24,0.002967,86.25,91.47,85.51,98.33,74.17,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
14,0.000355,89.29,91.73,87.06,96.94,87.05,0.000285,95.41,97.03,96.36,97.7,92.79,0.003249,92.56,94.97,92.39,97.7,88.56,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
15,0.000366,88.45,90.99,86.07,96.51,86.31,0.000189,96.47,97.74,96.0,99.54,92.95,0.002027,96.45,97.9,96.55,99.29,90.72,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
16,0.000375,89.1,91.51,86.77,96.81,87.01,0.000235,94.35,96.43,93.51,99.54,88.41,0.003142,93.87,96.21,95.49,96.95,89.1,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
17,0.000362,89.94,92.16,87.84,96.93,87.97,0.000275,91.87,94.95,90.76,99.54,83.1,0.001642,97.35,98.38,96.81,100.0,93.18,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
18,0.000393,87.78,90.74,85.2,97.06,84.93,0.000261,93.64,95.98,93.07,99.08,87.42,0.00543,81.69,86.02,80.0,93.02,78.65,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
19,0.000299,90.98,92.98,89.11,97.2,89.13,0.000221,94.35,96.38,94.67,98.16,89.99,0.005287,79.17,87.18,78.46,98.08,64.04,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
20,0.000416,87.09,90.04,84.44,96.43,84.6,0.000208,94.7,96.64,93.91,99.54,89.16,0.003809,95.77,97.56,98.36,96.77,92.83,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
21,0.000325,91.06,92.95,89.06,97.18,89.42,0.000282,93.29,95.71,93.81,97.7,88.24,0.00243,95.21,97.01,99.24,94.89,95.78,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
,0.000349,89.46,91.87,87.3,96.99,87.26,0.000247,93.83,96.1,93.77,98.6,88.37,0.004581,87.3,91.1,88.54,94.57,80.88,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,,,,,
