test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,86.37,89.34,85.72,93.28,84.37,0.00,96.34,97.71,95.52,100.00,91.67,0.04,63.27,77.50,65.96,93.94,46.97,33.08,20.21
34,0.00,84.22,87.86,83.12,93.17,81.61,0.00,95.53,97.20,95.02,99.48,90.48,0.01,76.00,83.33,78.95,88.24,69.12,19.53,13.87
36,0.00,86.22,89.23,85.74,93.02,84.22,0.00,92.68,95.41,93.50,97.40,86.66,0.02,81.82,85.71,75.00,100.00,80.00,10.86,9.69
37,0.00,82.93,86.80,81.34,93.05,80.30,0.00,95.93,97.44,95.96,98.96,92.07,0.00,94.17,96.59,100.00,93.41,96.70,1.76,0.84
38,0.00,87.15,89.91,85.91,94.30,85.21,0.00,94.72,96.64,95.90,97.40,91.29,0.01,76.56,83.87,86.67,81.25,71.88,18.15,12.77
43,0.00,83.83,87.61,82.19,93.79,81.03,0.00,95.93,97.44,95.96,98.96,92.07,0.00,88.41,92.73,89.47,96.23,79.36,7.53,4.71
44,0.00,83.31,87.26,82.24,92.92,80.45,0.00,96.75,97.95,96.46,99.48,93.26,0.00,92.57,93.88,92.00,95.83,91.82,4.17,4.07
46,0.00,85.23,88.73,84.30,93.65,82.53,0.00,95.12,96.91,95.92,97.92,91.55,0.00,100.00,100.00,100.00,100.00,100.00,-4.88,-3.09
49,0.00,82.00,86.52,80.22,93.90,78.42,0.00,95.93,97.44,95.96,98.96,92.07,0.00,91.78,92.31,92.31,92.31,91.74,4.15,5.13
50,0.00,84.45,88.12,83.44,93.36,81.71,0.00,95.93,97.44,95.96,98.96,92.07,0.01,92.68,89.66,81.25,100.00,94.64,3.25,7.78
51,0.00,84.21,87.89,83.20,93.15,81.55,0.00,96.75,97.96,96.00,100.00,92.59,0.02,86.67,88.46,79.31,100.00,86.36,10.08,9.50
52,0.00,86.02,89.17,84.60,94.26,83.67,0.00,95.53,97.16,96.41,97.92,92.48,0.04,66.04,74.65,75.71,73.61,61.81,29.49,22.51
53,0.00,86.06,89.16,84.95,93.81,83.84,0.00,96.34,97.70,95.98,99.48,92.33,0.00,77.55,85.71,75.00,100.00,65.62,18.79,11.98
54,0.00,86.86,89.69,86.04,93.66,84.94,0.00,95.93,97.44,95.96,98.96,92.07,0.02,74.29,78.74,92.59,68.49,78.00,21.65,18.70
55,0.00,83.75,87.25,82.63,92.43,81.53,0.00,96.34,97.70,95.98,99.48,92.33,0.00,89.88,93.68,93.33,94.03,83.78,6.46,4.02
56,0.00,84.51,87.78,83.14,92.98,82.43,0.00,95.12,96.97,94.12,100.00,88.89,0.00,92.54,95.73,100.00,91.80,95.90,2.58,1.24
58,0.00,83.49,87.28,82.22,93.00,80.83,0.00,95.12,96.95,94.55,99.48,89.55,0.00,74.51,85.06,74.00,100.00,53.57,20.61,11.90
60,0.00,88.42,90.88,87.83,94.14,86.75,0.00,94.72,96.68,94.97,98.44,89.96,0.01,66.67,76.19,72.73,80.00,60.00,28.05,20.48
61,0.00,86.49,89.63,84.91,94.90,83.97,0.00,97.56,98.46,96.97,100.00,94.44,0.01,88.57,88.24,100.00,78.95,89.47,8.99,10.23
62,0.00,84.16,87.61,82.40,93.53,81.85,0.00,91.06,94.15,96.20,92.19,89.61,0.01,81.02,88.18,100.00,78.86,89.43,10.04,5.97
63,0.00,84.81,88.05,83.47,93.17,82.71,0.00,95.93,97.37,98.40,96.35,95.40,0.00,93.33,95.79,99.21,92.59,94.63,2.60,1.58
