======================================================================
KALMANBALANCEDFLEXIBLE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          63.27          77.50           65.96        93.94         96.34         97.71   20.21
          34          76.00          83.33           78.95        88.24         95.53         97.20   13.87
          36          81.82          85.71           75.00       100.00         92.68         95.41    9.69
          37          94.17          96.59          100.00        93.41         95.93         97.44    0.84
          38          76.56          83.87           86.67        81.25         94.72         96.64   12.77
          43          88.41          92.73           89.47        96.23         95.93         97.44    4.71
          44          92.57          93.88           92.00        95.83         96.75         97.95    4.07
          46         100.00         100.00          100.00       100.00         95.12         96.91   -3.09
          49          91.78          92.31           92.31        92.31         95.93         97.44    5.13
          50          92.68          89.66           81.25       100.00         95.93         97.44    7.78
          51          86.67          88.46           79.31       100.00         96.75         97.96    9.50
          52          66.04          74.65           75.71        73.61         95.53         97.16   22.51
          53          77.55          85.71           75.00       100.00         96.34         97.70   11.98
          54          74.29          78.74           92.59        68.49         95.93         97.44   18.70
          55          89.88          93.68           93.33        94.03         96.34         97.70    4.02
          56          92.54          95.73          100.00        91.80         95.12         96.97    1.24
          58          74.51          85.06           74.00       100.00         95.12         96.95   11.90
          60          66.67          76.19           72.73        80.00         94.72         96.68   20.48
          61          88.57          88.24          100.00        78.95         97.56         98.46   10.23
          62          81.02          88.18          100.00        78.86         91.06         94.15    5.97
          63          93.33          95.79           99.21        92.59         95.93         97.37    1.58
-----------------------------------------------------------------------------------------------------------
AVERAGE            83.25            87.90            86.83            90.45            95.49            97.15             9.24
