test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.000441,86.37,89.34,85.72,93.28,84.37,0.00015,96.34,97.71,95.52,100.0,91.67,0.035465,63.27,77.5,65.96,93.94,46.97
34,0.000498,84.22,87.86,83.12,93.17,81.61,0.000318,95.53,97.2,95.02,99.48,90.48,0.009108,76.0,83.33,78.95,88.24,69.12
36,0.000451,86.22,89.23,85.74,93.02,84.22,0.000304,92.68,95.41,93.5,97.4,86.66,0.015025,81.82,85.71,75.0,100.0,80.0
37,0.000496,82.93,86.8,81.34,93.05,80.3,0.000295,95.93,97.44,95.96,98.96,92.07,0.003073,94.17,96.59,100.0,93.41,96.7
38,0.00041,87.15,89.91,85.91,94.3,85.21,0.000236,94.72,96.64,95.9,97.4,91.29,0.010287,76.56,83.87,86.67,81.25,71.88
43,0.000477,83.83,87.61,82.19,93.79,81.03,0.000287,95.93,97.44,95.96,98.96,92.07,0.00428,88.41,92.73,89.47,96.23,79.36
44,0.000513,83.31,87.26,82.24,92.92,80.45,0.000188,96.75,97.95,96.46,99.48,93.26,0.002577,92.57,93.88,92.0,95.83,91.82
46,0.000473,85.23,88.73,84.3,93.65,82.53,0.000294,95.12,96.91,95.92,97.92,91.55,0.002105,100.0,100.0,100.0,100.0,100.0
49,0.000515,82.0,86.52,80.22,93.9,78.42,0.0002,95.93,97.44,95.96,98.96,92.07,0.003851,91.78,92.31,92.31,92.31,91.74
50,0.00049,84.45,88.12,83.44,93.36,81.71,0.000813,95.93,97.44,95.96,98.96,92.07,0.010436,92.68,89.66,81.25,100.0,94.64
51,0.000476,84.21,87.89,83.2,93.15,81.55,0.00029,96.75,97.96,96.0,100.0,92.59,0.015315,86.67,88.46,79.31,100.0,86.36
52,0.000446,86.02,89.17,84.6,94.26,83.67,0.000256,95.53,97.16,96.41,97.92,92.48,0.043545,66.04,74.65,75.71,73.61,61.81
53,0.00046,86.06,89.16,84.95,93.81,83.84,0.000284,96.34,97.7,95.98,99.48,92.33,0.004946,77.55,85.71,75.0,100.0,65.62
54,0.000447,86.86,89.69,86.04,93.66,84.94,0.000217,95.93,97.44,95.96,98.96,92.07,0.022727,74.29,78.74,92.59,68.49,78.0
55,0.000504,83.75,87.25,82.63,92.43,81.53,0.00024,96.34,97.7,95.98,99.48,92.33,0.003111,89.88,93.68,93.33,94.03,83.78
56,0.000476,84.51,87.78,83.14,92.98,82.43,0.000369,95.12,96.97,94.12,100.0,88.89,0.00428,92.54,95.73,100.0,91.8,95.9
58,0.00052,83.49,87.28,82.22,93.0,80.83,0.000176,95.12,96.95,94.55,99.48,89.55,0.003515,74.51,85.06,74.0,100.0,53.57
60,0.000385,88.42,90.88,87.83,94.14,86.75,0.000246,94.72,96.68,94.97,98.44,89.96,0.012113,66.67,76.19,72.73,80.0,60.0
61,0.000445,86.49,89.63,84.91,94.9,83.97,7e-05,97.56,98.46,96.97,100.0,94.44,0.006838,88.57,88.24,100.0,78.95,89.47
62,0.000484,84.16,87.61,82.4,93.53,81.85,0.000365,91.06,94.15,96.2,92.19,89.61,0.007719,81.02,88.18,100.0,78.86,89.43
63,0.000471,84.81,88.05,83.47,93.17,82.71,0.000252,95.93,97.37,98.4,96.35,95.4,0.00246,93.33,95.79,99.21,92.59,94.63
Average,0.00047,84.98,88.37,83.79,93.5,82.57,0.000279,95.49,97.15,95.8,98.56,91.56,0.010608,83.25,87.91,86.83,90.45,80.04
