test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,89.38,91.91,87.13,97.24,86.91,0.00,93.99,96.06,96.73,95.39,92.39,0.01,73.21,77.61,63.41,100.00,75.00,20.78,18.44
34,0.00,89.68,92.03,87.60,96.92,87.52,0.00,90.11,93.86,89.54,98.62,80.37,0.00,86.11,92.31,85.71,100.00,58.33,3.99,1.55
36,0.00,90.56,92.67,88.86,96.82,88.67,0.00,93.99,96.16,94.25,98.16,89.23,0.01,85.00,90.32,82.35,100.00,75.00,8.99,5.84
37,0.00,90.35,92.48,88.15,97.26,88.42,0.00,92.93,95.50,93.39,97.70,87.48,0.00,85.05,91.49,86.87,96.63,62.20,7.89,4.01
38,0.00,92.12,93.84,90.14,97.85,90.43,0.00,93.64,95.89,95.02,96.77,90.05,0.01,69.92,77.30,82.89,72.41,68.15,23.72,18.59
43,0.00,90.22,92.40,88.15,97.07,88.22,0.00,94.35,96.41,93.89,99.08,88.93,0.00,93.26,95.71,94.37,97.10,88.55,1.09,0.70
44,0.00,89.70,92.08,87.44,97.24,87.43,0.00,94.35,96.31,96.31,96.31,92.10,0.00,90.61,92.59,92.59,92.59,89.89,3.74,3.72
46,0.00,88.55,91.34,86.55,96.68,85.86,0.00,93.29,95.67,94.59,96.77,89.30,0.00,89.31,89.44,85.71,93.51,89.44,3.98,6.23
49,0.00,89.95,92.23,87.60,97.38,87.80,0.00,90.11,93.83,89.87,98.16,80.90,0.00,86.00,91.46,85.23,98.68,72.26,4.11,2.37
50,0.00,88.12,90.93,85.75,96.76,85.54,0.00,89.40,93.42,89.12,98.16,79.38,0.00,92.22,94.66,89.86,100.00,87.50,-2.82,-1.24
51,0.00,90.39,92.57,88.25,97.33,88.32,0.00,89.75,93.39,92.34,94.47,84.36,0.01,81.82,87.10,96.43,79.41,84.71,7.93,6.30
52,0.00,91.12,93.12,89.00,97.65,89.15,0.00,95.05,96.79,96.35,97.24,92.56,0.01,81.74,86.09,85.53,86.67,79.58,13.31,10.70
53,0.00,85.95,89.33,83.63,95.87,83.03,0.00,87.28,91.96,89.18,94.93,78.53,0.00,90.00,93.65,89.39,98.33,81.67,-2.72,-1.69
54,0.00,90.47,92.58,88.56,96.99,88.57,0.00,90.11,93.69,91.63,95.85,83.53,0.00,92.56,95.08,90.62,100.00,86.76,-2.46,-1.39
55,0.00,89.22,91.59,86.66,97.12,87.12,0.00,92.93,95.50,93.39,97.70,87.48,0.00,92.90,95.71,96.40,95.04,88.59,0.03,-0.22
56,0.00,88.97,91.40,86.78,96.53,86.91,0.00,94.70,96.49,98.10,94.93,94.44,0.00,88.96,93.13,93.13,93.13,82.50,5.74,3.36
58,0.00,93.10,94.55,91.15,98.22,91.65,0.00,90.46,93.93,91.67,96.31,83.76,0.00,95.58,97.33,94.79,100.00,88.64,-5.12,-3.39
60,0.00,90.01,92.31,87.96,97.11,87.84,0.00,90.81,94.14,92.07,96.31,84.52,0.00,84.51,87.91,83.33,93.02,82.23,6.31,6.23
61,0.00,88.94,91.50,86.72,96.83,86.59,0.00,93.64,95.95,93.83,98.16,88.47,0.00,73.61,83.76,75.38,94.23,57.12,20.03,12.19
62,0.00,89.88,92.01,88.10,96.27,88.18,0.00,91.87,94.83,92.54,97.24,85.74,0.01,73.94,82.63,98.88,70.97,82.71,17.93,12.20
63,0.00,89.59,91.83,87.53,96.57,87.72,0.00,95.76,97.25,96.80,97.70,93.54,0.00,91.02,94.42,96.21,92.70,88.02,4.74,2.82
