======================================================================
KALMANBALANCEDFLEXIBLE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          73.21          77.61           63.41       100.00         93.99         96.06   18.44
          34          86.11          92.31           85.71       100.00         90.11         93.86    1.55
          36          85.00          90.32           82.35       100.00         93.99         96.16    5.84
          37          85.05          91.49           86.87        96.63         92.93         95.50    4.01
          38          69.92          77.30           82.89        72.41         93.64         95.89   18.59
          43          93.26          95.71           94.37        97.10         94.35         96.41    0.70
          44          90.61          92.59           92.59        92.59         94.35         96.31    3.72
          46          89.31          89.44           85.71        93.51         93.29         95.67    6.23
          49          86.00          91.46           85.23        98.68         90.11         93.83    2.37
          50          92.22          94.66           89.86       100.00         89.40         93.42   -1.24
          51          81.82          87.10           96.43        79.41         89.75         93.39    6.30
          52          81.74          86.09           85.53        86.67         95.05         96.79   10.70
          53          90.00          93.65           89.39        98.33         87.28         91.96   -1.69
          54          92.56          95.08           90.62       100.00         90.11         93.69   -1.39
          55          92.90          95.71           96.40        95.04         92.93         95.50   -0.22
          56          88.96          93.13           93.13        93.13         94.70         96.49    3.36
          58          95.58          97.33           94.79       100.00         90.46         93.93   -3.39
          60          84.51          87.91           83.33        93.02         90.81         94.14    6.23
          61          73.61          83.76           75.38        94.23         93.64         95.95   12.19
          62          73.94          82.63           98.88        70.97         91.87         94.83   12.20
          63          91.02          94.42           96.21        92.70         95.76         97.25    2.82
-----------------------------------------------------------------------------------------------------------
AVERAGE            85.59            89.99            88.05            93.07            92.31            95.10             5.11
