fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.000345,89.38,91.91,87.13,97.24,86.91,0.000403,93.99,96.06,96.73,95.39,92.39,0.009006,73.21,77.61,63.41,100.0,75.0,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
2,0.000336,89.68,92.03,87.6,96.92,87.52,0.000277,90.11,93.86,89.54,98.62,80.37,0.002781,86.11,92.31,85.71,100.0,58.33,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
3,0.000326,90.56,92.67,88.86,96.82,88.67,0.000224,93.99,96.16,94.25,98.16,89.23,0.0102,85.0,90.32,82.35,100.0,75.0,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
4,0.000343,90.35,92.48,88.15,97.26,88.42,0.0003,92.93,95.5,93.39,97.7,87.48,0.003558,85.05,91.49,86.87,96.63,62.2,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
5,0.000297,92.12,93.84,90.14,97.85,90.43,0.000295,93.64,95.89,95.02,96.77,90.05,0.009415,69.92,77.3,82.89,72.41,68.15,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
6,0.000301,90.22,92.4,88.15,97.07,88.22,0.000228,94.35,96.41,93.89,99.08,88.93,0.00389,93.26,95.71,94.37,97.1,88.55,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
7,0.000329,89.7,92.08,87.44,97.24,87.43,0.000339,94.35,96.31,96.31,96.31,92.1,0.003046,90.61,92.59,92.59,92.59,89.89,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
8,0.00038,88.55,91.34,86.55,96.68,85.86,0.000372,93.29,95.67,94.59,96.77,89.3,0.003133,89.31,89.44,85.71,93.51,89.44,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
9,0.000313,89.95,92.23,87.6,97.38,87.8,0.000328,90.11,93.83,89.87,98.16,80.9,0.00352,86.0,91.46,85.23,98.68,72.26,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
10,0.000381,88.12,90.93,85.75,96.76,85.54,0.00033,89.4,93.42,89.12,98.16,79.38,0.001949,92.22,94.66,89.86,100.0,87.5,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
11,0.000325,90.39,92.57,88.25,97.33,88.32,0.000442,89.75,93.39,92.34,94.47,84.36,0.014226,81.82,87.1,96.43,79.41,84.71,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
12,0.000294,91.12,93.12,89.0,97.65,89.15,0.000263,95.05,96.79,96.35,97.24,92.56,0.006418,81.74,86.09,85.53,86.67,79.58,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
13,0.000456,85.95,89.33,83.63,95.87,83.03,0.00043,87.28,91.96,89.18,94.93,78.53,0.003043,90.0,93.65,89.39,98.33,81.67,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
14,0.000318,90.47,92.58,88.56,96.99,88.57,0.00041,90.11,93.69,91.63,95.85,83.53,0.002399,92.56,95.08,90.62,100.0,86.76,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
15,0.000354,89.22,91.59,86.66,97.12,87.12,0.000346,92.93,95.5,93.39,97.7,87.48,0.004744,92.9,95.71,96.4,95.04,88.59,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
16,0.000349,88.97,91.4,86.78,96.53,86.91,0.000321,94.7,96.49,98.1,94.93,94.44,0.00358,88.96,93.13,93.13,93.13,82.5,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
17,0.000245,93.1,94.55,91.15,98.22,91.65,0.000439,90.46,93.93,91.67,96.31,83.76,0.001089,95.58,97.33,94.79,100.0,88.64,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
18,0.000356,90.01,92.31,87.96,97.11,87.84,0.000351,90.81,94.14,92.07,96.31,84.52,0.004802,84.51,87.91,83.33,93.02,82.23,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
19,0.000372,88.94,91.5,86.72,96.83,86.59,0.000364,93.64,95.95,93.83,98.16,88.47,0.004982,73.61,83.76,75.38,94.23,57.12,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
20,0.000351,89.88,92.01,88.1,96.27,88.18,0.00037,91.87,94.83,92.54,97.24,85.74,0.013123,73.94,82.63,98.88,70.97,82.71,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
21,0.00037,89.59,91.83,87.53,96.57,87.72,0.000224,95.76,97.25,96.8,97.7,93.54,0.003662,91.02,94.42,96.21,92.7,88.02,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
,0.00034,89.82,92.13,87.7,97.03,87.71,0.000336,92.31,95.1,93.36,96.95,87.0,0.00536,85.59,89.99,88.05,93.07,79.47,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,,,,,
