fold,test_subject,phase,epoch,loss,accuracy,f1_score,precision,recall,auc
1,31,train,1,0.005079581367080925,66.76347208777025,76.37614678899084,68.26568265682657,86.67360749609578,60.484511727674374
1,31,val,1,0.0018555693881250523,75.97173144876325,84.61538461538461,83.11111111111111,86.17511520737328,64.29967881580785
1,31,train,2,0.0022583496584050616,71.89415940626009,79.48174322732626,72.59036144578313,87.81884435190005,66.87207073282609
1,31,val,2,0.0022063629418716834,66.78445229681978,76.5,83.60655737704919,70.50691244239631,62.52618349392542
1,31,train,3,0.0014690981625491244,75.60503388189738,82.10227272727272,75.29309596178896,90.2654867256637,70.98163979746683
1,31,val,3,0.0016172091236384093,69.96466431095406,79.21760391198043,84.375,74.65437788018433,64.59991621281944
1,31,train,4,0.0010972959008975428,76.37947725072604,82.83302063789868,75.37345283824158,91.93128578865173,71.47498075510686
1,31,val,4,0.0008196205874845754,85.15901060070671,90.70796460176992,87.2340425531915,94.47004608294931,74.50775031420193
1,31,train,5,0.0008565061432665569,79.02549209422395,84.5532319391635,77.78749453432444,92.60801665799063,74.74203888926696
1,31,val,5,0.0008131082271729256,86.92579505300353,91.33489461358315,92.85714285714286,89.86175115207374,83.5672392124005
1,31,train,6,0.0007037528703081181,81.76831235882543,86.48001914333572,80.0265721877768,94.06559083810515,77.8901808180339
1,31,val,6,0.0005980332582767777,88.69257950530034,92.88888888888889,89.69957081545064,96.31336405529954,79.97486384583159
1,31,train,7,0.0006553261970879379,82.28460793804453,86.9316829326351,80.08771929824562,95.0546590317543,78.25738044966323
1,31,val,7,0.0007369724092445609,89.75265017667844,93.04556354916066,97.0,89.40092165898618,90.15500628403854
1,31,train,8,0.0005776380609796677,83.12358825427557,87.44297719087635,81.14973262032086,94.7943779281624,79.4430293715515
1,31,val,8,0.000645657277307325,86.92579505300353,91.53318077803203,90.9090909090909,92.16589861751152,80.93143415724062
1,31,train,9,0.0005352615489089208,84.96289125524362,88.71670702179178,82.93345405160706,95.36699635606455,81.681800385163
1,31,val,9,0.0006076263941745454,90.45936395759718,93.7354988399072,94.39252336448598,93.08755760368663,87.45286971093421
1,31,train,10,0.0005253697713947019,84.5756695708293,88.47637415621986,82.39784463403682,95.52316501821969,81.12321239026434
1,31,val,10,0.0005718450071849588,87.63250883392226,92.09932279909707,90.2654867256637,94.00921658986175,80.3379416282642
1,31,train,11,0.00047951390610352065,85.99548241368183,89.45065629557608,83.90332877336981,95.78344612181155,82.90870098959847
1,31,val,11,0.00044821735221379214,88.33922261484098,92.65033407572383,89.65517241379311,95.85253456221197,79.74444909928779
1,31,train,12,0.0004826056446114368,85.83414004517587,89.27960927960929,84.08463661453543,95.15877147319105,82.89347741741047
1,31,val,12,0.0005270106151910637,86.92579505300353,91.72259507829978,89.13043478260869,94.47004608294931,78.29562910208071
1,31,train,13,0.00045728734019745854,86.51177799290095,89.76994615761137,84.71131639722864,95.4711087975013,83.68631840554181
1,31,val,13,0.0005572576523353691,86.92579505300353,91.75946547884189,88.79310344827587,94.93087557603687,77.76846809104873
1,31,train,14,0.00043139216033594575,87.57663762504033,90.589098020044,85.39170506912443,96.46017699115043,84.77508000661086
1,31,val,14,0.0007840307633468203,88.69257950530034,92.62672811059907,92.62672811059907,92.62672811059907,84.19215193408742
1,31,train,15,0.00040216558042188813,88.57696030977735,91.3022113022113,86.45881805490926,96.72045809474233,86.00878592343228
1,31,val,15,0.00040275502337847074,93.99293286219081,96.05568445475639,96.72897196261682,95.39170506912443,92.3928222315319
1,31,train,16,0.00038283675213029745,88.96418199419168,91.55972359328727,87.04833411543876,96.56428943258719,86.56737391833094
1,31,val,16,0.0006032791613953274,92.93286219081273,95.34883720930232,96.24413145539906,94.47004608294931,91.17441698086859
1,31,train,17,0.00040224846302212803,87.70571151984511,90.65030674846626,85.74744661095636,96.14783966684018,85.04335956177323
1,31,val,17,0.0007768642460078317,92.226148409894,94.85981308411215,96.2085308056872,93.54838709677419,90.71358748778103
1,31,train,18,0.0003522320837744131,89.57728299451436,91.9831223628692,87.90322580645162,96.46017699115043,87.4066589539793
1,31,val,18,0.0006574434721875318,93.63957597173145,95.77464788732394,97.60765550239235,94.00921658986175,93.2167295070521
1,31,train,19,0.0003452310338616371,89.3836721523072,91.90651906519066,87.1268656716418,97.24102030192608,86.9057393530004
1,31,val,19,0.0008843276656295301,94.34628975265018,96.26168224299066,97.6303317535545,94.93087557603687,93.67755900013964
1,31,test,best,0.009006150599036897,73.21428571428571,77.61194029850745,63.41463414634146,100.0,75.0
2,34,train,1,0.004635661030645055,67.00865662071178,76.2410528746248,68.3927091963546,86.12415232133543,61.323307441865715
2,34,val,1,0.0020715961292017476,79.50530035335689,87.76371308016877,80.93385214007782,95.85253456221197,60.80505515989386
2,34,train,2,0.0017512817725266888,71.52933632574543,79.26202709014478,71.75475687103594,88.52373500260823,66.47484587068848
2,34,val,2,0.0007660243883992252,86.92579505300353,92.07708779443254,86.0,99.07834101382488,73.02401899176093
2,34,train,3,0.00118729644510256,73.64539916639949,80.80336291452593,73.15010570824523,90.24517475221701,68.70827789191549
2,34,val,3,0.000581205180803373,88.33922261484098,92.87257019438445,87.39837398373984,99.07834101382488,76.05432202206396
2,34,train,4,0.0009606626827141993,75.66527733247835,82.28704784130689,74.45101351351352,91.96661450182577,70.81691789983135
2,34,val,4,0.0006555435988170098,83.3922261484099,89.62472406181016,86.01694915254238,93.54838709677419,71.7741935483871
2,34,train,5,0.0007224859668012994,78.58287912792562,84.33395872420265,76.6084363016617,93.792383933229,74.0592535306744
2,34,val,5,0.0006007472309859819,86.21908127208481,91.31403118040089,88.36206896551724,94.47004608294931,76.7804775869292
2,34,train,6,0.0006323292333084485,81.34017313241424,86.14945264159924,79.21225382932167,94.41836202399583,77.45044557106614
2,34,val,6,0.0004767016589957497,85.86572438162544,91.07142857142858,88.31168831168831,94.00921658986175,76.55006284038541
2,34,train,7,0.0005596497028339899,84.22571336966976,88.11019816336396,82.0801440792436,95.0965049556599,80.99251204521765
2,34,val,7,0.00043695427266742654,87.98586572438163,92.67241379310346,87.04453441295547,99.07834101382488,75.2967462644882
2,34,train,8,0.0005315521791094807,85.12343699903815,88.82466281310212,82.5055928411633,96.19196661450182,81.83142423903128
2,34,val,8,0.0004349344742382373,87.63250883392226,92.20489977728286,89.22413793103449,95.39170506912443,78.75645859516827
2,34,train,9,0.000492857508158294,84.4822058352036,88.32609744331887,82.14445939883356,95.51382368283777,81.20117140880657
2,34,val,9,0.00045897020520675307,89.75265017667844,93.30254041570439,93.51851851851852,93.08755760368663,85.93771819578271
2,34,train,10,0.00046808107655451215,86.18146841936519,89.51593286305035,83.86508659981769,95.98330725091289,83.26619605474097
2,34,val,10,0.0003937681603768689,88.69257950530034,92.69406392694063,91.8552036199095,93.54838709677419,83.13782991202346
2,34,train,11,0.0004632772532037605,85.76466816287271,89.22852983988355,83.40136054421768,95.93114241001565,82.74094558104777
2,34,val,11,0.0005709128750507908,83.3922261484099,89.67032967032966,85.71428571428571,94.00921658986175,71.24703253735511
2,34,train,12,0.0003906155340122695,88.39371593459443,91.07934943321833,86.3148061653433,96.40062597809077,86.01229302232326
2,34,val,12,0.0003786897582953052,90.81272084805654,94.19642857142857,91.34199134199135,97.23502304147466,83.46599636922217
2,34,train,13,0.00038811959488703755,87.72042321256814,90.59661183402896,85.57513914656771,96.24413145539906,85.18529368111052
2,34,val,13,0.0003641146307567615,91.87279151943463,94.71264367816093,94.4954128440367,94.93087557603687,88.37452869710934
2,34,train,14,0.0003735269006292726,88.39371593459443,91.05731225296442,86.48521820741436,96.13980177360459,86.08986760893208
2,34,val,14,0.00027674265771893646,90.10600706713781,93.85964912280701,89.5397489539749,98.61751152073732,80.36936182097472
2,34,train,15,0.0003564782182674983,89.09907021481244,91.64619164619164,86.62331630283326,97.28742827334376,86.66368085880167
2,34,val,15,0.0004468954500640239,92.226148409894,94.85981308411215,96.2085308056872,93.54838709677419,90.71358748778103
2,34,train,16,0.00035963229340557563,89.51587047130491,91.94779610933269,87.08022388059702,97.39175795513823,87.17341641517311
2,34,val,16,0.0002807017659287992,93.28621908127208,95.69160997732426,94.19642857142857,97.23502304147466,88.76902667225247
2,34,train,17,0.0003363565927291956,89.67617826226355,92.02575532441803,87.6001885902876,96.92227438706313,87.52103735992091
2,34,val,17,0.0006766375944071018,90.45936395759718,93.52517985611512,97.5,89.86175115207374,91.14299678815807
2,34,test,best,0.0027805761629780238,86.11111111111111,92.3076923076923,85.71428571428571,100.0,58.33333333333333
3,36,train,1,0.004708696210556582,67.41573033707866,76.49918962722853,68.83333333333333,86.08650338718083,61.77234868355696
3,36,val,1,0.002480016553991675,71.37809187279152,81.11888111888112,82.0754716981132,80.18433179723502,61.30428711073872
3,36,train,2,0.0019514145296706817,73.73996789727127,80.70754716981133,73.71822490305902,89.16102136529443,69.07883844184454
3,36,val,2,0.0010025798089723283,80.21201413427562,87.66519823788546,83.96624472573839,91.70506912442397,67.06465577433319
3,36,train,3,0.001250202828243877,75.02407704654895,81.64228409627184,74.60112117291936,90.15112037519542,70.45181436819972
3,36,val,3,0.0006474164107241816,87.63250883392226,92.50535331905782,86.4,99.53917050691244,74.01200949588048
3,36,train,4,0.0008764919664943964,78.74799357945426,84.21554601812112,77.62637362637362,92.02709744658677,74.73428450924655
3,36,val,4,0.0005925605633022928,85.51236749116607,91.29511677282377,84.64566929133859,99.07834101382488,69.9937159614579
3,36,train,5,0.0007269010085307575,81.5088282504013,86.20689655172413,79.75188303057156,93.79885356956748,77.79407561421519
3,36,val,5,0.00042721398122108444,90.81272084805654,94.22222222222223,90.98712446351931,97.6958525345622,82.9388353581902
3,36,train,6,0.0006074150148211092,83.4991974317817,87.5725338491296,81.68696436626071,94.37206878582595,80.2127902457558
3,36,val,6,0.00044384861345215317,85.86572438162544,91.26637554585153,86.72199170124482,96.31336405529954,73.91425778522553
3,36,train,7,0.0005624145149801937,84.62279293739968,88.35965978128797,82.78688524590164,94.73684210526315,81.5657454673473
3,36,val,7,0.00032099664816797414,89.75265017667844,93.70932754880694,88.52459016393442,99.53917050691244,78.55746404133501
3,36,train,8,0.0005367042033381486,84.20545746388443,88.10444874274663,82.1831303563374,94.94528400208442,80.95926407462082
3,36,val,8,0.00035018511708865315,92.57950530035336,95.1501154734411,95.37037037037037,94.93087557603687,89.88968021226086
3,36,train,9,0.00048552103173196985,85.42536115569823,88.98592916060166,83.25011348161597,95.5706096925482,82.35888344159183
3,36,val,9,0.00034404160987993855,92.226148409894,94.93087557603687,94.93087557603687,94.93087557603687,89.1321044546851
3,36,train,10,0.00045971799085744883,86.96629213483146,90.05389514943654,84.97457235321313,95.77905158936947,84.30256927294559
3,36,val,10,0.0002778129316471491,93.63957597173145,95.92760180995474,94.22222222222221,97.6958525345622,88.99944141879625
3,36,train,11,0.00043990674576636874,87.1589085072231,90.19607843137256,85.14576584914391,95.8832725377801,84.52190382741847
3,36,val,11,0.00031082817869978324,93.28621908127208,95.6521739130435,95.0,96.31336405529954,89.82334869431644
3,36,train,12,0.0004187346850170561,87.6725521669342,90.59284664380206,85.48312528895053,96.35226680562793,85.04904310181062
3,36,val,12,0.0002243309034949478,93.99293286219081,96.16252821670429,94.24778761061947,98.15668202764977,89.22985616534004
3,36,train,13,0.0004058861928613764,87.96147672552166,90.78850405305822,85.87360594795538,96.30015633142261,85.44104806537686
3,36,val,13,0.0003029745197180303,92.57950530035336,95.23809523809523,93.75,96.7741935483871,87.78103616813294
3,36,train,14,0.0003934691709437875,89.2776886035313,91.70392449080973,87.61271950640722,96.19593538301199,87.18659645404779
3,36,val,14,0.00039724747291618016,89.04593639575971,93.0648769574944,90.43478260869566,95.85253456221197,81.25960061443934
3,36,train,15,0.00035605072454933563,89.59871589085073,92.02363367799114,87.21418572095193,97.39447628973423,87.24238864653935
3,36,val,15,0.0004121788609575467,93.28621908127208,95.57109557109557,96.69811320754717,94.47004608294931,91.93199273844435
3,36,train,16,0.00034358322704106234,90.24077046548956,92.43404678944748,88.47070033349213,96.76915059927045,88.26751844344794
3,36,val,16,0.0003145539906047048,93.28621908127208,95.63218390804599,95.41284403669725,95.85253456221197,90.3505097053484
3,36,train,17,0.00032626305756130726,90.56179775280899,92.66832917705734,88.857006217121,96.82126107347577,88.66982786115261
3,36,val,17,0.0003230100227750232,92.93286219081273,95.39170506912443,95.39170506912443,95.39170506912443,90.12009495880464
3,36,test,best,0.01020010318607092,85.0,90.32258064516128,82.35294117647058,100.0,75.0
4,37,train,1,0.005548000017919253,65.35433070866141,74.86910994764398,67.10750853242321,84.66092572658773,59.93550488010059
4,37,val,1,0.0024345315755887925,75.97173144876325,84.82142857142858,82.25108225108225,87.55760368663594,62.718195782711916
4,37,train,2,0.0023393010111950985,68.27427821522309,76.95973314272099,69.04660111158614,86.92142088266954,63.04054237410788
4,37,val,2,0.0009795538159646751,84.80565371024736,90.79229122055675,84.8,97.6958525345622,70.06004747940231
4,37,train,3,0.001256536062943732,75.59055118110236,82.01160541586074,74.45127304653204,91.28094725511302,71.18669211495147
4,37,val,3,0.0007405742976564401,87.63250883392226,92.3413566739606,87.91666666666667,97.23502304147466,76.64781455104036
4,37,train,4,0.0009356671510376721,76.70603674540682,82.69980506822611,75.55654496883348,91.33476856835307,72.60015739342023
4,37,val,4,0.0006312946838330043,86.92579505300353,92.0086393088553,86.58536585365853,98.15668202764977,74.07834101382488
4,37,train,5,0.0007488405193859745,79.65879265091863,84.78900883218841,77.90802524797115,93.0032292787944,75.91337934527955
4,37,val,5,0.00040760925599100733,88.33922261484098,92.81045751633987,88.01652892561982,98.15668202764977,77.1086440441279
4,37,train,6,0.0006548069305033509,80.64304461942258,85.5321235899951,78.55855855855856,93.8643702906351,76.93218514531755
4,37,val,6,0.00044664878779923536,90.10600706713781,93.66515837104072,92.0,95.39170506912443,84.05948889819858
4,37,train,7,0.0005770699369166232,82.7755905511811,86.96299975167618,80.72844628861226,94.2411194833154,79.55753453157367
4,37,val,7,0.0005715531708389626,86.92579505300353,91.72259507829978,89.13043478260869,94.47004608294931,78.29562910208071
4,37,train,8,0.0005388460699542184,84.28477690288713,87.99799548985217,82.32536333802156,94.51022604951561,81.41477689030403
4,37,val,8,0.0005195756827879289,87.98586572438163,92.44444444444444,89.27038626609442,95.85253456221197,78.98687334171204
4,37,train,9,0.000521068390351268,84.18635170603675,88.03376365441908,81.70506912442397,95.42518837459633,81.03192191839061
4,37,val,9,0.0004235909981883457,91.87279151943463,94.71264367816093,94.4954128440367,94.93087557603687,88.37452869710934
4,37,train,10,0.0004358371393388416,86.4501312335958,89.55223880597015,84.48687350835323,95.26372443487621,83.97640003256416
4,37,val,10,0.00030014581991484645,92.93286219081273,95.4954954954955,93.3920704845815,97.6958525345622,87.48428990364474
4,37,train,11,0.00045166458883212776,85.95800524934383,89.30534732633683,83.34888059701493,96.17868675995695,83.08934337997846
4,37,val,11,0.0004644601444578845,92.57950530035336,95.08196721311477,96.66666666666667,93.54838709677419,91.47116324535679
4,37,train,12,0.00041364822622261494,87.72965879265092,90.45431342521695,86.01941747572816,95.3713670613563,85.5848431945437
4,37,val,12,0.00039510643471677397,91.87279151943463,94.80812641083521,92.92035398230088,96.7741935483871,86.26588465298143
4,37,train,13,0.0004025364845864025,87.07349081364829,90.06054490413723,84.75783475783476,96.07104413347686,84.54812710875524
4,37,val,13,0.0003106344767678332,93.99293286219081,96.10983981693364,95.45454545454545,96.7741935483871,90.81133919843597
4,37,train,14,0.00037936609619715084,88.61548556430446,91.15472852408871,86.5859564164649,96.23250807319698,86.47759857441362
4,37,val,14,0.00032446955004871526,93.99293286219081,96.07390300230946,96.29629629629629,95.85253456221197,91.86566122049993
4,37,train,15,0.00035643552978745517,89.63254593175853,91.95519348268839,87.2463768115942,97.20129171151775,87.50820888096897
4,37,val,15,0.0004123982877960896,92.93286219081273,95.39170506912443,95.39170506912443,95.39170506912443,90.12009495880464
4,37,train,16,0.00034691034687873653,90.78083989501312,92.78562259306803,88.70888561610211,97.2551130247578,88.96369096616041
4,37,val,16,0.0004916906343647953,91.16607773851591,94.30523917995444,93.24324324324324,95.39170506912443,86.33221617092585
4,37,train,17,0.00034302412324494576,90.35433070866141,92.47697031729784,88.14634146341463,97.2551130247578,88.41747247876546
4,37,val,17,0.0003534942246683916,95.0530035335689,96.74418604651163,97.65258215962442,95.85253456221197,94.1383884932272
4,37,test,best,0.003558162599802017,85.04672897196261,91.48936170212767,86.86868686868688,96.62921348314607,62.20349563046192
5,38,train,1,0.004977269501162393,67.71108179419525,76.61810365416767,68.9299527288354,86.23655913978494,62.273569672281546
5,38,val,1,0.0030826780905571925,70.31802120141343,80.0,82.75862068965517,77.41935483870968,62.194525904203324
5,38,train,2,0.002365778962096155,71.00923482849603,78.90568754499641,71.26137841352406,88.38709677419355,65.90856545194319
5,38,val,2,0.001733507250201997,75.97173144876325,84.47488584474885,83.710407239819,85.25345622119815,65.35400083787181
5,38,train,3,0.0013655343616386202,74.40633245382587,81.1284046692607,74.06749555950266,89.6774193548387,69.92403390950126
5,38,val,3,0.0007566705135490364,85.51236749116607,91.22055674518201,85.2,98.15668202764977,71.04803798352187
5,38,train,4,0.0009799271546756371,77.70448548812665,83.44760039177278,76.61870503597122,91.61290322580645,73.6221512716063
5,38,val,4,0.0005816364061916675,85.15901060070671,91.06382978723404,84.58498023715416,98.61751152073732,69.76330121491412
5,38,train,5,0.0007384242797098405,81.16754617414247,85.93249568859325,79.3087767166894,93.76344086021506,77.47045763147271
5,38,val,5,0.0006501031545889251,87.27915194346289,92.0,88.8412017167382,95.39170506912443,77.9988828375925
5,38,train,6,0.0006145007735103526,83.14643799472296,87.4168923910367,80.64516129032258,95.43010752688173,79.54099232999377
5,38,val,6,0.0004280879402487101,88.69257950530034,92.85714285714286,90.04329004329004,95.85253456221197,80.50202485686356
5,38,train,7,0.0005238671384083407,85.81794195250659,89.22305764411027,83.56807511737088,95.6989247311828,82.91772175125692
5,38,val,7,0.00040815693619183853,88.69257950530034,93.04347826086956,88.06584362139918,98.61751152073732,77.33905879067169
5,38,train,8,0.0005209862308620935,86.01583113456465,89.3467336683417,83.86792452830188,95.59139784946237,83.20525523872435
5,38,val,8,0.00045352776998871207,89.04593639575971,93.03370786516854,90.78947368421053,95.39170506912443,81.7867616254713
5,38,train,9,0.0004543228496337865,86.90633245382587,90.0125786163522,84.58628841607565,96.18279569892472,84.18354802011083
5,38,val,9,0.0002948731618403546,93.63957597173145,95.8904109589041,95.02262443438913,96.7741935483871,90.05376344086022
5,38,train,10,0.000467665266186628,86.2796833773087,89.54773869346734,84.0566037735849,95.80645161290322,83.48343058460861
5,38,val,10,0.00038439154545957544,93.28621908127208,95.59164733178653,96.26168224299066,94.93087557603687,91.40483172741237
5,38,train,11,0.00040252410774770385,88.48944591029023,91.15784139853054,86.20028749401054,96.72043010752688,86.07352563396823
5,38,val,11,0.000311950053822236,91.87279151943463,94.85458612975391,92.17391304347827,97.6958525345622,85.21156263091747
5,38,train,12,0.00038558144600310003,88.45646437994723,91.14820435002531,86.05539637058261,96.88172043010753,85.98352233109472
5,38,val,12,0.00032444570588718033,93.28621908127208,95.63218390804599,95.41284403669725,95.85253456221197,90.3505097053484
5,38,train,13,0.0003816759278924059,89.37994722955145,91.77312212570261,87.43914313534566,96.55913978494624,87.27274395390656
5,38,val,13,0.00044423256187893896,92.93286219081273,95.45454545454545,94.17040358744396,96.7741935483871,88.5386119257087
5,38,train,14,0.0003920312231224728,89.01715039577837,91.52024446142093,86.93759071117562,96.61290322580646,86.78768028184521
5,38,val,14,0.00036376009468160335,91.87279151943463,94.7845804988662,93.30357142857143,96.31336405529954,86.79304566401342
5,38,train,15,0.00032503981991624336,90.53430079155673,92.6504481434059,88.45965770171149,97.25806451612902,88.56077287239899
5,38,val,15,0.00047633329623579556,93.63957597173145,95.83333333333333,96.27906976744185,95.39170506912443,91.63524647395616
5,38,train,16,0.0003066107484519403,91.72163588390502,93.53259469208967,89.80702622464126,97.58064516129032,90.0019266762083
5,38,val,16,0.0011064641822669194,88.69257950530034,92.55813953488372,93.42723004694837,91.70506912442397,85.24647395615138
5,38,train,17,0.00031375352294481603,91.78759894459102,93.5741935483871,89.97518610421837,97.47311827956989,90.11881169951191
5,38,val,17,0.000548139214515686,90.81272084805654,94.00921658986175,94.00921658986175,94.00921658986175,87.15612344644602
5,38,train,18,0.0003161029923967722,91.16094986807389,93.08922124806602,89.44499504459861,97.04301075268818,89.43447465962055
5,38,val,18,0.0005919678538195236,87.98586572438163,92.41071428571429,89.6103896103896,95.39170506912443,79.51403435274403
5,38,train,19,0.00029711030690259937,92.1174142480211,93.83861820056715,90.14363546310055,97.84946236559139,90.43497009064552
5,38,val,19,0.0003988154087702714,91.51943462897526,94.57013574660633,92.88888888888889,96.31336405529954,86.03546990643765
5,38,test,best,0.009414942056788661,69.91869918699187,77.30061349693253,82.89473684210526,72.41379310344827,68.15134099616857
6,43,train,1,0.005151544344615719,68.39530332681018,76.95600475624256,69.53158573270305,86.15548455804047,63.23767493895289
6,43,val,1,0.001889645131864312,71.73144876325088,81.30841121495327,82.46445497630332,80.18433179723502,62.06186286831448
