test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,90.58,92.74,88.80,97.03,88.54,0.00,92.58,95.34,91.88,99.08,85.15,0.01,75.00,76.67,67.65,88.46,75.90,17.58,18.68
34,0.00,89.71,92.06,87.57,97.03,87.53,0.00,95.76,97.29,95.56,99.08,91.96,0.00,88.89,93.75,88.24,100.00,66.67,6.87,3.54
36,0.00,91.75,93.56,90.14,97.24,90.09,0.00,96.47,97.74,96.00,99.54,92.95,0.05,42.50,34.29,85.71,21.43,56.55,53.97,63.45
37,0.00,89.30,91.64,87.55,96.12,87.39,0.00,92.23,95.05,92.95,97.24,86.50,0.00,94.39,96.70,94.62,98.88,85.55,-2.17,-1.66
38,0.00,91.82,93.60,89.98,97.53,90.15,0.00,95.41,97.05,95.54,98.62,91.73,0.02,60.16,62.60,93.18,47.13,69.40,35.24,34.46
43,0.00,91.03,93.00,89.12,97.23,89.23,0.00,93.29,95.81,91.95,100.00,85.61,0.00,95.51,97.01,100.00,94.20,97.10,-2.22,-1.21
44,0.00,89.12,91.66,86.86,97.02,86.74,0.00,90.46,94.07,89.92,98.62,81.13,0.01,88.73,91.04,91.73,90.37,88.13,1.73,3.02
46,0.00,86.75,90.15,84.11,97.11,83.33,0.00,93.64,95.98,93.07,99.08,87.42,0.00,93.08,92.90,92.31,93.51,93.09,0.56,3.08
49,0.00,91.33,93.22,89.36,97.43,89.55,0.00,88.34,92.90,87.10,99.54,75.53,0.01,80.00,88.24,79.79,98.68,59.76,8.34,4.67
50,0.00,90.08,92.30,88.32,96.66,88.12,0.00,89.75,93.60,89.83,97.70,80.67,0.00,95.56,96.88,93.94,100.00,92.86,-5.80,-3.28
51,0.00,88.24,90.99,86.03,96.55,85.75,0.00,93.29,95.77,92.67,99.08,86.66,0.02,86.36,90.62,96.67,85.29,87.65,6.92,5.14
52,0.00,89.31,91.80,86.96,97.22,86.92,0.00,91.87,94.85,92.17,97.70,85.21,0.01,86.96,90.57,85.71,96.00,83.00,4.92,4.29
53,0.00,88.20,91.02,85.34,97.51,85.45,0.00,90.81,94.25,90.64,98.16,82.41,0.00,87.50,91.80,90.32,93.33,81.67,3.31,2.44
54,0.00,89.06,91.57,86.80,96.88,86.77,0.00,89.40,93.53,87.85,100.00,77.27,0.00,90.08,93.55,87.88,100.00,82.35,-0.68,-0.01
55,0.00,88.41,90.88,86.72,95.46,86.54,0.00,90.46,93.96,91.30,96.77,83.24,0.00,91.72,94.93,97.04,92.91,89.31,-1.26,-0.97
56,0.00,89.54,91.82,87.37,96.75,87.58,0.00,94.70,96.58,95.50,97.70,91.27,0.00,93.87,96.12,97.64,94.66,92.64,0.83,0.46
58,0.00,87.90,90.69,85.46,96.61,85.44,0.00,93.29,95.75,93.04,98.62,87.19,0.00,98.23,98.91,97.85,100.00,95.45,-4.94,-3.16
60,0.00,90.99,93.02,89.09,97.32,89.04,0.00,93.64,95.93,94.22,97.70,89.00,0.01,84.51,87.91,83.33,93.02,82.23,9.13,8.02
61,0.00,87.64,90.59,85.18,96.73,84.94,0.00,92.58,95.36,91.53,99.54,84.62,0.00,81.94,88.70,80.95,98.08,69.04,10.64,6.67
62,0.00,89.84,91.95,88.37,95.83,88.25,0.00,95.05,96.86,94.32,99.54,89.92,0.00,90.14,94.02,100.00,88.71,94.35,4.91,2.84
63,0.00,88.19,90.78,86.08,96.02,86.08,0.00,90.46,94.09,89.58,99.08,80.60,0.00,88.02,92.91,90.34,95.62,74.48,2.44,1.18
