======================================================================
KALMANBALANCEDFLEXIBLE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          75.00          76.67           67.65        88.46         92.58         95.34   18.68
          34          88.89          93.75           88.24       100.00         95.76         97.29    3.54
          36          42.50          34.29           85.71        21.43         96.47         97.74   63.45
          37          94.39          96.70           94.62        98.88         92.23         95.05   -1.66
          38          60.16          62.60           93.18        47.13         95.41         97.05   34.46
          43          95.51          97.01          100.00        94.20         93.29         95.81   -1.21
          44          88.73          91.04           91.73        90.37         90.46         94.07    3.02
          46          93.08          92.90           92.31        93.51         93.64         95.98    3.08
          49          80.00          88.24           79.79        98.68         88.34         92.90    4.67
          50          95.56          96.88           93.94       100.00         89.75         93.60   -3.28
          51          86.36          90.62           96.67        85.29         93.29         95.77    5.14
          52          86.96          90.57           85.71        96.00         91.87         94.85    4.29
          53          87.50          91.80           90.32        93.33         90.81         94.25    2.44
          54          90.08          93.55           87.88       100.00         89.40         93.53   -0.01
          55          91.72          94.93           97.04        92.91         90.46         93.96   -0.97
          56          93.87          96.12           97.64        94.66         94.70         96.58    0.46
          58          98.23          98.91           97.85       100.00         93.29         95.75   -3.16
          60          84.51          87.91           83.33        93.02         93.64         95.93    8.02
          61          81.94          88.70           80.95        98.08         92.58         95.36    6.67
          62          90.14          94.02          100.00        88.71         95.05         96.86    2.84
          63          88.02          92.91           90.34        95.62         90.46         94.09    1.18
-----------------------------------------------------------------------------------------------------------
AVERAGE            85.39            88.10            90.23            89.06            92.55            95.32             7.22
