fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.000339,90.58,92.74,88.8,97.03,88.54,0.000246,92.58,95.34,91.88,99.08,85.15,0.007237,75.0,76.67,67.65,88.46,75.9,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
2,0.000361,89.71,92.06,87.57,97.03,87.53,0.000202,95.76,97.29,95.56,99.08,91.96,0.001753,88.89,93.75,88.24,100.0,66.67,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
3,0.000288,91.75,93.56,90.14,97.24,90.09,0.000155,96.47,97.74,96.0,99.54,92.95,0.050149,42.5,34.29,85.71,21.43,56.55,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
4,0.00036,89.3,91.64,87.55,96.12,87.39,0.000379,92.23,95.05,92.95,97.24,86.5,0.003704,94.39,96.7,94.62,98.88,85.55,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
5,0.000279,91.82,93.6,89.98,97.53,90.15,0.000169,95.41,97.05,95.54,98.62,91.73,0.020583,60.16,62.6,93.18,47.13,69.4,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
6,0.000312,91.03,93.0,89.12,97.23,89.23,0.000249,93.29,95.81,91.95,100.0,85.61,0.003855,95.51,97.01,100.0,94.2,97.1,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
7,0.00037,89.12,91.66,86.86,97.02,86.74,0.000339,90.46,94.07,89.92,98.62,81.13,0.005533,88.73,91.04,91.73,90.37,88.13,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
8,0.000399,86.75,90.15,84.11,97.11,83.33,0.000255,93.64,95.98,93.07,99.08,87.42,0.001675,93.08,92.9,92.31,93.51,93.09,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
9,0.000297,91.33,93.22,89.36,97.43,89.55,0.000397,88.34,92.9,87.1,99.54,75.53,0.00557,80.0,88.24,79.79,98.68,59.76,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
10,0.000352,90.08,92.3,88.32,96.66,88.12,0.000304,89.75,93.6,89.83,97.7,80.67,0.000886,95.56,96.88,93.94,100.0,92.86,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
11,0.000383,88.24,90.99,86.03,96.55,85.75,0.000277,93.29,95.77,92.67,99.08,86.66,0.015959,86.36,90.62,96.67,85.29,87.65,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
12,0.000378,89.31,91.8,86.96,97.22,86.92,0.000305,91.87,94.85,92.17,97.7,85.21,0.005008,86.96,90.57,85.71,96.0,83.0,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
13,0.00036,88.2,91.02,85.34,97.51,85.45,0.000308,90.81,94.25,90.64,98.16,82.41,0.004187,87.5,91.8,90.32,93.33,81.67,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
14,0.000357,89.06,91.57,86.8,96.88,86.77,0.000358,89.4,93.53,87.85,100.0,77.27,0.004302,90.08,93.55,87.88,100.0,82.35,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
15,0.000408,88.41,90.88,86.72,95.46,86.54,0.000443,90.46,93.96,91.3,96.77,83.24,0.003996,91.72,94.93,97.04,92.91,89.31,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
16,0.000365,89.54,91.82,87.37,96.75,87.58,0.000262,94.7,96.58,95.5,97.7,91.27,0.00279,93.87,96.12,97.64,94.66,92.64,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
17,0.000377,87.9,90.69,85.46,96.61,85.44,0.00028,93.29,95.75,93.04,98.62,87.19,0.000914,98.23,98.91,97.85,100.0,95.45,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
18,0.000301,90.99,93.02,89.09,97.32,89.04,0.000342,93.64,95.93,94.22,97.7,89.0,0.006573,84.51,87.91,83.33,93.02,82.23,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
19,0.000398,87.64,90.59,85.18,96.73,84.94,0.000197,92.58,95.36,91.53,99.54,84.62,0.003816,81.94,88.7,80.95,98.08,69.04,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
20,0.000397,89.84,91.95,88.37,95.83,88.25,0.000148,95.05,96.86,94.32,99.54,89.92,0.004823,90.14,94.02,100.0,88.71,94.35,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
21,0.000379,88.19,90.78,86.08,96.02,86.08,0.000252,90.46,94.09,89.58,99.08,80.6,0.003126,88.02,92.91,90.34,95.62,74.48,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,False,,,,
,0.000355,89.47,91.86,87.39,96.82,87.31,0.000279,92.55,95.32,92.22,98.69,85.53,0.007449,85.39,88.1,90.23,89.06,81.77,2038.0,1082.0,46.91,5.0,0.0,193.0,0.0,0.0,,,,,
