test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.000381,88.71,91.35,86.93,96.25,86.33,0.000217,91.52,94.74,90.38,99.54,82.35,0.001134,76.79,80.0,66.67,100.0,78.33
34,0.000398,88.59,91.29,85.95,97.34,85.98,0.000191,92.58,95.36,91.53,99.54,84.62,0.000515,86.11,92.31,85.71,100.0,58.33
36,0.000393,88.44,91.19,85.97,97.08,85.83,0.00022,92.23,95.13,91.49,99.08,84.39,0.001677,72.5,80.0,81.48,78.57,68.45
37,0.000404,88.42,91.02,86.3,96.29,86.21,0.000283,88.34,92.93,86.8,100.0,75.0,0.000523,85.98,91.89,88.54,95.51,67.2
38,0.000337,90.77,92.83,88.65,97.42,88.81,0.000228,93.29,95.71,93.81,97.7,88.24,0.00212,68.29,74.84,85.29,66.67,69.44
43,0.000409,88.06,90.88,85.43,97.07,85.45,0.000223,91.17,94.53,90.0,99.54,81.59,0.000423,89.89,93.62,91.67,95.65,82.83
44,0.000386,89.63,92.03,87.43,97.13,87.37,0.000199,96.11,97.47,97.25,97.7,94.3,0.000767,76.06,83.91,73.08,98.52,67.85
46,0.000397,87.72,90.73,85.76,96.31,84.88,0.000188,92.93,95.58,91.91,99.54,85.38,0.000521,72.96,76.5,66.04,90.91,73.5
49,0.000416,88.28,90.98,86.08,96.47,85.91,0.000213,93.29,95.75,93.04,98.62,87.19,0.001039,81.0,87.58,87.01,88.16,73.25
50,0.000377,88.65,91.3,86.3,96.92,86.17,0.000231,90.11,93.91,88.89,99.54,79.32,0.00026,94.44,96.12,92.54,100.0,91.07
51,0.000417,87.75,90.69,85.17,96.97,85.0,0.00026,91.17,94.46,91.03,98.16,83.17,0.001716,79.55,85.71,93.1,79.41,79.71
52,0.000386,88.55,91.27,86.05,97.17,85.96,0.000209,91.52,94.74,90.38,99.54,82.35,0.000498,86.09,90.0,84.71,96.0,81.75
53,0.000561,83.93,88.02,81.14,96.18,80.33,0.000356,90.11,93.91,88.89,99.54,79.32,0.000766,87.5,92.31,85.71,100.0,75.0
54,0.000415,87.57,90.48,85.33,96.29,85.03,0.000226,92.93,95.54,92.64,98.62,86.43,0.00074,85.12,89.16,93.67,85.06,85.18
55,0.000425,87.04,90.02,84.26,96.62,84.5,0.000226,92.93,95.58,91.91,99.54,85.38,0.000515,94.67,96.75,98.53,95.04,93.95
56,0.000441,87.33,90.21,84.96,96.15,84.93,0.000223,91.87,94.9,91.45,98.62,84.16,0.000464,90.18,94.2,89.66,99.24,76.18
58,0.00042,87.18,90.19,84.61,96.55,84.53,0.000222,91.17,94.53,90.0,99.54,81.59,0.000266,96.46,97.85,95.79,100.0,90.91
60,0.000424,88.36,91.05,86.7,95.85,86.06,0.000268,93.99,96.13,95.05,97.24,90.28,0.001388,88.73,90.48,92.68,88.37,88.83
61,0.00041,88.74,91.38,86.3,97.1,86.26,0.000285,90.11,93.86,89.54,98.62,80.37,0.00122,75.0,84.21,77.42,92.31,61.15
62,0.00045,86.53,89.63,83.85,96.27,83.93,0.000193,94.7,96.63,94.3,99.08,89.69,0.001014,87.32,92.31,98.18,87.1,87.99
63,0.000435,87.95,90.64,85.61,96.3,85.71,0.000221,90.81,94.3,89.96,99.08,81.36,0.000365,94.01,96.4,95.04,97.81,87.24
Average,0.000413,88.01,90.82,85.66,96.65,85.48,0.000232,92.04,95.03,91.44,98.97,84.12,0.000854,84.22,88.86,86.79,92.11,78.01
