subject,trans_f1,trans_acc,trans_prec,trans_rec,cnn_f1,cnn_acc,cnn_prec,cnn_rec,f1_diff,acc_diff,winner
31,78.79,75.0,65.0,100.0,80.0,76.79,66.67,100.0,-1.2099999999999937,-1.7900000000000063,CNN
34,90.91,83.33,83.33,100.0,92.31,86.11,85.71,100.0,-1.4000000000000057,-2.780000000000001,CNN
36,88.52,82.5,81.82,96.43,80.0,72.5,81.48,78.57,8.519999999999996,10.0,Transformer
37,91.75,85.05,84.76,100.0,91.89,85.98,88.54,95.51,-0.14000000000000057,-0.9300000000000068,Tie
38,78.82,70.73,80.72,77.01,74.84,68.29,85.29,66.67,3.9799999999999898,2.4399999999999977,Transformer
43,97.84,96.63,97.14,98.55,93.62,89.89,91.67,95.65,4.219999999999999,6.739999999999995,Transformer
44,89.06,86.38,90.77,87.41,83.91,76.06,73.08,98.52,5.150000000000006,10.319999999999993,Transformer
46,88.05,88.05,85.37,90.91,76.5,72.96,66.04,90.91,11.549999999999997,15.090000000000003,Transformer
49,93.42,90.0,93.42,93.42,87.58,81.0,87.01,88.16,5.840000000000003,9.0,Transformer
50,98.41,97.78,96.88,100.0,96.12,94.44,92.54,100.0,2.289999999999992,3.3400000000000034,Transformer
51,85.25,79.55,96.3,76.47,85.71,79.55,93.1,79.41,-0.45999999999999375,0.0,Tie
52,85.53,80.0,80.95,90.67,90.0,86.09,84.71,96.0,-4.469999999999999,-6.090000000000003,CNN
53,91.47,86.25,85.51,98.33,92.31,87.5,85.71,100.0,-0.8400000000000034,-1.25,Tie
54,94.97,92.56,92.39,97.7,89.16,85.12,93.67,85.06,5.810000000000002,7.439999999999998,Transformer
55,97.9,96.45,96.55,99.29,96.75,94.67,98.53,95.04,1.1500000000000057,1.7800000000000011,Transformer
56,96.21,93.87,95.49,96.95,94.2,90.18,89.66,99.24,2.009999999999991,3.6899999999999977,Transformer
58,98.38,97.35,96.81,100.0,97.85,96.46,95.79,100.0,0.5300000000000011,0.8900000000000006,Tie
60,86.02,81.69,80.0,93.02,90.48,88.73,92.68,88.37,-4.460000000000008,-7.040000000000006,CNN
61,87.18,79.17,78.46,98.08,84.21,75.0,77.42,92.31,2.970000000000013,4.170000000000002,Transformer
62,97.56,95.77,98.36,96.77,92.31,87.32,98.18,87.1,5.25,8.450000000000003,Transformer
63,97.01,95.21,99.24,94.89,96.4,94.01,95.04,97.81,0.6099999999999994,1.1999999999999886,Tie
