trial_id,subject,activity,activity_name,trial,age_group,is_fall,sensor_location,failure_category,failure_reason,acc_length,gyro_length,acc_has_nan,gyro_has_nan
S06A01T05,6,1,Drinking Water,5,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,196.0,,False,
S06A02T03,6,2,Pick Up Object,3,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,98.0,,False,
S06A02T04,6,2,Pick Up Object,4,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,99.0,,False,
S06A02T05,6,2,Pick Up Object,5,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,101.0,,False,
S06A03T04,6,3,Put On/Take Off Jacket,4,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,356.0,,False,
S06A03T05,6,3,Put On/Take Off Jacket,5,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,457.0,,False,
S06A03T06,6,3,Put On/Take Off Jacket,6,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,368.0,,False,
S06A03T07,6,3,Put On/Take Off Jacket,7,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,175.0,,False,
S06A04T03,6,4,Stepping Up,3,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,109.0,,False,
S06A04T04,6,4,Stepping Up,4,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,176.0,,False,
S06A04T05,6,4,Stepping Up,5,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,168.0,,False,
S06A08T03,6,8,Walking/TUG Test,3,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,409.0,,False,
S06A08T04,6,8,Walking/TUG Test,4,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,354.0,,False,
S06A08T05,6,8,Walking/TUG Test,5,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,431.0,,False,
S08A04T01,8,4,Stepping Up,1,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,243.0,,False,
S08A04T02,8,4,Stepping Up,2,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,232.0,,False,
S08A04T03,8,4,Stepping Up,3,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,228.0,,False,
S08A04T04,8,4,Stepping Up,4,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,206.0,,False,
S08A04T05,8,4,Stepping Up,5,old,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,215.0,,False,
S29A01T01,29,1,Drinking Water,1,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,201.0,,False,
S29A01T02,29,1,Drinking Water,2,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,201.0,,False,
S29A03T01,29,3,Put On/Take Off Jacket,1,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,100.0,,False,
S29A03T02,29,3,Put On/Take Off Jacket,2,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,241.0,,False,
S29A03T03,29,3,Put On/Take Off Jacket,3,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,421.0,,False,
S29A03T04,29,3,Put On/Take Off Jacket,4,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,601.0,,False,
S29A05T01,29,5,Sweeping Floor,1,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,197.0,,False,
S29A05T02,29,5,Sweeping Floor,2,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,321.0,,False,
S29A05T03,29,5,Sweeping Floor,3,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,321.0,,False,
S29A05T04,29,5,Sweeping Floor,4,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,261.0,,False,
S29A06T01,29,6,Washing Hand,1,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,341.0,,False,
S29A06T02,29,6,Washing Hand,2,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,241.0,,False,
S29A06T03,29,6,Washing Hand,3,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,441.0,,False,
S29A06T04,29,6,Washing Hand,4,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,261.0,,False,
S29A07T02,29,7,Waving Hand,2,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,481.0,,False,
S29A08T01,29,8,Walking/TUG Test,1,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,260.0,,False,
S29A08T02,29,8,Walking/TUG Test,2,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,272.0,,False,
S29A08T03,29,8,Walking/TUG Test,3,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,301.0,,False,
S29A08T04,29,8,Walking/TUG Test,4,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,281.0,,False,
S29A09T01,29,9,Sit/Stand,1,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,221.0,,False,
S29A09T02,29,9,Sit/Stand,2,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,401.0,,False,
S29A09T03,29,9,Sit/Stand,3,young,False,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,261.0,,False,
S29A10T01,29,10,Backfall,1,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,401.0,,False,
S29A10T02,29,10,Backfall,2,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,341.0,,False,
S29A10T03,29,10,Backfall,3,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,281.0,,False,
S29A10T04,29,10,Backfall,4,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,161.0,,False,
S29A11T01,29,11,Frontfall,1,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,541.0,,False,
S29A11T02,29,11,Frontfall,2,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,361.0,,False,
S29A11T03,29,11,Frontfall,3,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,421.0,,False,
S29A12T01,29,12,Leftfall,1,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,201.0,,False,
S29A12T02,29,12,Leftfall,2,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,261.0,,False,
S29A12T03,29,12,Leftfall,3,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,301.0,,False,
S29A12T04,29,12,Leftfall,4,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,261.0,,False,
S29A13T01,29,13,Rightfall,1,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,180.0,,False,
S29A13T02,29,13,Rightfall,2,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,321.0,,False,
S29A13T03,29,13,Rightfall,3,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,281.0,,False,
S29A13T04,29,13,Rightfall,4,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,281.0,,False,
S29A14T01,29,14,Rotatefall,1,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,281.0,,False,
S29A14T02,29,14,Rotatefall,2,young,True,watch,STAGE1_MISSING_MODALITY,gyro_file_missing,401.0,,False,
