Subject,Age Group,Reason,Impact
45,young,Extreme class imbalance (112 falls : 2 ADLs = 56:1 ratio),Removed from test set
2,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
3,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
4,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
5,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
6,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
7,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
9,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
10,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
11,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
13,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
14,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
15,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
16,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
17,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
18,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
19,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
21,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
22,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
23,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
25,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
26,old,ADL-only (NO fall activities - falls are young-only),Train-only (cannot be test subject for fall detection)
