======================================================================
DUALSTREAMROBUST - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          76.25          71.64           58.54        92.31         92.65         94.28   22.64
          34          84.62          90.00           90.00        90.00         89.71         92.10    2.10
          36          65.31          67.92           72.00        64.29         94.41         95.71   27.79
          37          90.84          93.18           94.25        92.13         93.82         95.32    2.14
          38          66.24          63.45           79.31        52.87         95.88         96.76   33.31
          43          93.94          95.65           95.65        95.65         91.76         93.81   -1.85
          44          82.28          83.64           82.14        85.19         93.53         95.00   11.36
          45          99.13          99.56           99.12       100.00         93.82         95.13   -4.43
          46          90.50          88.05           85.37        90.91         93.24         94.74    6.69
          49          82.73          85.37           79.55        92.11         92.65         94.33    8.97
          50          93.64          94.57           91.04        98.39         95.88         96.79    2.22
          51          72.88          70.37           95.00        55.88         93.24         94.88   24.51
          52          84.72          85.33           85.33        85.33         96.76         97.48   12.15
          53          80.20          82.46           87.04        78.33         91.18         93.21   10.76
          54          84.77          87.15           84.78        89.66         94.71         95.96    8.81
          55          79.31          83.46           93.81        75.18         93.53         95.05   11.58
          56          92.27          94.40           99.16        90.08         91.18         93.06   -1.34
          58          93.20          94.44           95.51        93.41         94.41         95.63    1.19
          60          71.91          76.19           64.52        93.02         89.12         91.69   15.49
          61          86.36          88.24           90.00        86.54         88.24         90.99    2.76
          62          95.09          96.72           98.33        95.16         91.18         93.21   -3.51
          63          94.12          96.11           93.15        99.27         88.53         91.58   -4.54
-----------------------------------------------------------------------------------------------------------
AVERAGE            84.56            85.81            86.98            86.17            92.70            94.40             8.58
