fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.002725,92.49,93.92,94.61,93.23,92.25,0.003188,92.65,94.28,93.64,94.93,91.77,0.015475,76.25,71.64,58.54,92.31,80.41,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
2,0.002987,91.03,92.69,92.47,92.91,90.48,0.003995,89.71,92.1,90.27,94.01,88.06,0.004944,84.62,90.0,90.0,90.0,78.33,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
3,0.00306,91.19,92.84,92.77,92.91,90.67,0.002963,94.41,95.71,93.81,97.7,93.16,0.019595,65.31,67.92,72.0,64.29,65.48,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
4,0.00284,92.63,94.0,93.6,94.4,92.12,0.002555,93.82,95.32,92.24,98.62,91.99,0.004113,90.84,93.18,94.25,92.13,90.12,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
5,0.002836,92.63,94.08,93.33,94.84,91.96,0.002441,95.88,96.76,97.21,96.31,95.72,0.01925,66.24,63.45,79.31,52.87,67.87,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
6,0.002614,93.13,94.39,94.31,94.46,92.75,0.003984,91.76,93.81,90.21,97.7,89.5,0.002951,93.94,95.65,95.65,95.65,92.83,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
7,0.002608,93.07,94.42,94.57,94.26,92.69,0.002899,93.53,95.0,93.72,96.31,92.47,0.007402,82.28,83.64,82.14,85.19,82.09,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
8,0.002759,92.57,93.81,93.93,93.68,92.29,0.002562,93.82,95.13,95.79,94.47,93.58,0.000631,99.13,99.56,99.12,100.0,83.33,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
9,0.003661,89.73,91.82,92.14,91.5,89.11,0.002721,93.24,94.74,94.09,95.39,92.41,0.007012,90.5,88.05,85.37,90.91,90.58,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
10,0.00281,91.78,93.32,93.7,92.94,91.43,0.003301,92.65,94.33,92.86,95.85,91.42,0.012662,82.73,85.37,79.55,92.11,81.77,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
11,0.002673,92.22,93.67,93.97,93.37,91.88,0.001842,95.88,96.79,96.35,97.24,95.37,0.003745,93.64,94.57,91.04,98.39,92.94,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
12,0.002636,93.35,94.58,94.8,94.35,93.05,0.00247,93.24,94.88,91.81,98.16,91.35,0.012972,72.88,70.37,95.0,55.88,75.94,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
13,0.002804,92.23,93.7,93.98,93.43,91.86,0.001432,96.76,97.48,96.82,98.16,96.23,0.008238,84.72,85.33,85.33,85.33,84.7,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
