======================================================================
DUALSTREAMROBUST - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          76.25          70.77           58.97        88.46         90.29         92.93   22.16
          34          74.36          80.00          100.00        66.67         94.12         95.56   15.56
          36          69.39          74.58           70.97        78.57         90.00         92.64   18.06
          37          76.34          85.17           74.17       100.00         85.29         89.54    4.37
          38          65.61          73.00           64.60        83.91         85.00         89.44   16.44
          43          92.93          94.89           95.59        94.20         91.47         93.51   -1.38
          44          82.28          83.99           80.82        87.41         94.41         95.77   11.78
          45         100.00         100.00          100.00       100.00         91.76         93.94   -6.06
          46          71.00          71.29           57.60        93.51         87.94         91.14   19.86
          49          77.70          82.08           73.20        93.42         82.94         87.39    5.31
          50          85.45          88.41           80.26        98.39         88.82         91.85    3.44
          51          69.49          73.53           73.53        73.53         81.76         87.03   13.50
          52          79.17          82.95           72.28        97.33         82.94         87.17    4.21
          53          86.14          89.39           81.94        98.33         83.53         88.28   -1.11
          54          74.17          79.14           74.00        85.06         80.29         86.46    7.32
          55          86.21          89.93           91.24        88.65         86.76         90.45    0.52
          56          91.16          93.80           95.28        92.37         89.41         92.14   -1.66
          58          88.44          91.46           84.26       100.00         81.18         87.15   -4.31
          60          66.29          72.73           59.70        93.02         91.18         93.36   20.64
          61          69.32          78.74           66.67        96.15         76.47         84.37    5.63
          62          90.18          93.70           91.54        95.97         81.76         87.40   -6.30
          63          87.70          92.26           85.62       100.00         82.35         87.65   -4.60
-----------------------------------------------------------------------------------------------------------
AVERAGE            79.98            83.72            78.74            91.13            86.35            90.24             6.52
