test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.000396,87.64,90.67,85.38,96.67,84.73,0.000377,90.29,92.93,86.8,100.0,86.59,0.001119,76.25,70.77,58.97,88.46,79.42
34,0.000373,88.85,91.45,86.2,97.39,86.38,0.000266,94.12,95.56,92.27,99.08,92.22,0.004321,74.36,80.0,100.0,66.67,83.33
36,0.000414,87.82,90.76,85.06,97.29,85.0,0.000312,90.0,92.64,87.35,98.62,86.71,0.001735,69.39,74.58,70.97,78.57,67.86
37,0.000368,88.78,91.39,86.1,97.36,86.32,0.000377,85.29,89.54,81.99,98.62,80.2,0.000609,76.34,85.17,74.17,100.0,63.1
38,0.000436,87.35,90.43,84.83,96.83,84.45,0.000419,85.0,89.44,81.2,99.54,79.44,0.001502,65.61,73.0,64.6,83.91,63.38
43,0.00042,86.75,89.9,84.16,96.49,83.95,0.000454,91.47,93.51,90.87,96.31,89.62,0.000603,92.93,94.89,95.59,94.2,92.1
44,0.000378,87.79,90.82,85.2,97.24,84.76,0.000246,94.41,95.77,92.67,99.08,92.63,0.000898,82.28,83.99,80.82,87.41,81.94
45,0.000371,88.05,90.7,85.2,96.95,85.81,0.000266,91.76,93.94,88.57,100.0,88.62,0.000373,100.0,100.0,100.0,100.0,100.0
46,0.000408,87.37,90.66,84.88,97.27,83.91,0.000412,87.94,91.14,85.77,97.24,84.39,0.003593,71.0,71.29,57.6,93.51,75.21
49,0.000364,88.68,91.34,86.52,96.74,86.21,0.000682,82.94,87.39,82.72,92.63,79.24,0.001274,77.7,82.08,73.2,93.42,76.08
50,0.000405,87.58,90.58,84.98,96.98,84.74,0.000431,88.82,91.85,85.94,98.62,85.08,0.000764,85.45,88.41,80.26,98.39,83.57
51,0.000416,87.5,90.51,84.86,96.97,84.67,0.000624,81.76,87.03,79.69,95.85,76.38,0.004529,69.49,73.53,73.53,73.53,68.76
52,0.000407,87.54,90.53,85.44,96.26,84.83,0.000519,82.94,87.17,83.83,90.78,79.94,0.000833,79.17,82.95,72.28,97.33,78.38
53,0.000395,87.26,90.36,84.5,97.09,84.33,0.000508,83.53,88.28,80.84,97.24,78.29,0.000666,86.14,89.39,81.94,98.33,83.31
54,0.000421,87.18,90.28,84.69,96.67,84.31,0.000609,80.29,86.46,76.98,98.62,73.29,0.001445,74.17,79.14,74.0,85.06,72.22
55,0.000419,86.32,89.61,83.33,96.9,83.38,0.000459,86.76,90.45,83.86,98.16,82.41,0.00083,86.21,89.93,91.24,88.65,84.65
56,0.000405,86.18,89.45,83.45,96.37,83.39,0.000355,89.41,92.14,87.55,97.24,86.42,0.000537,91.16,93.8,95.28,92.37,90.18
58,0.000439,85.87,89.38,83.03,96.77,82.66,0.00049,81.18,87.15,77.22,100.0,73.98,0.000524,88.44,91.46,84.26,100.0,84.82
60,0.000407,86.95,90.21,84.11,97.27,83.77,0.000314,91.18,93.36,89.79,97.24,88.86,0.001783,66.29,72.73,59.7,93.02,67.16
61,0.000425,86.79,90.02,84.1,96.83,83.8,0.000641,76.47,84.37,73.22,99.54,67.66,0.001952,69.32,78.74,66.67,96.15,63.35
62,0.000441,86.07,89.36,83.21,96.49,83.25,0.000574,81.76,87.4,78.18,99.08,75.15,0.000626,90.18,93.7,91.54,95.97,83.88
63,0.000449,85.89,89.23,83.09,96.35,83.04,0.000558,82.35,87.65,79.18,98.16,76.31,0.000357,87.7,92.26,85.62,100.0,77.0
Average,0.000407,87.28,90.35,84.65,96.87,84.44,0.00045,86.35,90.24,83.93,97.8,81.97,0.001403,79.98,83.72,78.74,91.13,78.17
