======================================================================
IMUTRANSFORMERSE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          73.75          66.67           56.76        80.77         95.00         96.02   29.35
          34          84.62          90.62           85.29        96.67         90.88         92.46    1.83
          36          59.18          69.70           60.53        82.14         94.41         95.61   25.92
          37          87.79          91.30           88.42        94.38         94.71         95.85    4.55
          38          77.71          80.00           79.55        80.46         90.29         92.27   12.27
          43          96.97          97.78          100.00        95.65         95.00         96.06   -1.72
          44          85.83          87.41           82.78        92.59         94.12         95.35    7.94
          45          80.87          89.11          100.00        80.36         95.00         96.02    6.91
          46          84.50          80.50           78.05        83.12         94.71         95.73   15.23
          49          79.86          83.33           76.09        92.11         93.24         94.71   11.38
          50          98.18          98.41           96.88       100.00         92.94         94.47   -3.94
          51          74.58          75.41           85.19        67.65         93.82         95.04   19.63
          52          78.47          80.98           75.00        88.00         93.82         95.15   14.17
          53          89.11          90.76           91.53        90.00         94.12         95.39    4.64
          54          61.59          59.72           75.44        49.43         90.00         91.94   32.22
          55          88.18          91.24           93.98        88.65         93.24         94.69    3.45
          56          85.64          89.26           97.30        82.44         95.29         96.28    7.02
          58          97.96          98.36           97.83        98.90         95.00         96.09   -2.27
          60          79.78          80.43           75.51        86.05         94.41         95.49   15.05
          61          77.27          82.14           76.67        88.46         95.00         96.04   13.89
          62          80.37          85.71           96.00        77.42         91.47         93.14    7.43
          63          93.58          95.68           94.33        97.08         94.12         95.45   -0.23
-----------------------------------------------------------------------------------------------------------
AVERAGE            82.53            84.75            84.69            86.01            93.66            94.97            10.21
