test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.000949,97.48,97.97,98.02,97.92,97.33,0.00333,95.0,96.02,97.62,94.47,95.2,0.035929,73.75,66.67,56.76,80.77,75.57
34,0.001561,95.94,96.7,96.28,97.13,95.6,0.003694,90.88,92.46,97.94,87.56,92.15,0.008387,84.62,90.62,85.29,96.67,70.56
36,0.001399,96.48,97.14,97.04,97.24,96.25,0.002871,94.41,95.61,95.83,95.39,94.04,0.02606,59.18,69.7,60.53,82.14,55.36
37,0.001158,96.81,97.39,97.26,97.52,96.6,0.003081,94.71,95.85,95.85,95.85,94.27,0.004863,87.79,91.3,88.42,94.38,84.1
38,0.001431,96.18,96.9,97.09,96.72,96.02,0.005562,90.29,92.27,93.81,90.78,90.11,0.018015,77.71,80.0,79.55,80.46,77.37
43,0.001457,95.67,96.45,96.58,96.33,95.48,0.002973,95.0,96.06,96.73,95.39,94.85,0.003486,96.97,97.78,100.0,95.65,97.83
44,0.001422,96.5,97.19,97.03,97.35,96.23,0.004009,94.12,95.35,96.24,94.47,93.98,0.006817,85.83,87.41,82.78,92.59,85.37
45,0.001281,96.96,97.48,97.08,97.87,96.72,0.002831,95.0,96.02,97.62,94.47,95.2,0.004356,80.87,89.11,100.0,80.36,90.18
46,0.001621,95.56,96.5,95.69,97.33,94.94,0.003058,94.71,95.73,98.54,93.09,95.32,0.017564,84.5,80.5,78.05,83.12,84.24
49,0.001238,96.7,97.33,97.18,97.49,96.46,0.003316,93.24,94.71,94.5,94.93,92.59,0.017454,79.86,83.33,76.09,92.11,78.59
50,0.001046,97.58,98.04,97.83,98.25,97.38,0.00302,92.94,94.47,94.47,94.47,92.36,0.000928,98.18,98.41,96.88,100.0,97.92
51,0.001094,97.3,97.81,97.66,97.96,97.1,0.004163,93.82,95.04,97.57,92.63,94.28,0.015996,74.58,75.41,85.19,67.65,75.82
52,0.001763,95.34,96.23,96.31,96.15,95.09,0.005731,93.82,95.15,95.37,94.93,93.4,0.014859,78.47,80.98,75.0,88.0,78.06
53,0.000904,97.72,98.15,97.94,98.36,97.53,0.002945,94.12,95.39,95.39,95.39,93.63,0.003451,89.11,90.76,91.53,90.0,88.9
54,0.001228,97.22,97.75,97.39,98.12,96.95,0.005228,90.0,91.94,94.63,89.4,90.23,0.027208,61.59,59.72,75.44,49.43,63.78
55,0.001342,96.23,96.9,96.95,96.84,96.05,0.002816,93.24,94.69,94.91,94.47,92.76,0.005532,88.18,91.24,93.98,88.65,87.87
56,0.001316,96.55,97.16,97.45,96.86,96.47,0.002679,95.29,96.28,97.18,95.39,95.26,0.008735,85.64,89.26,97.3,82.44,88.22
58,0.001308,96.33,97.01,97.04,96.98,96.13,0.002225,95.0,96.09,95.87,96.31,94.5,0.002419,97.96,98.36,97.83,98.9,97.66
60,0.001739,96.23,96.96,96.76,97.16,95.95,0.002697,94.41,95.49,98.53,92.63,95.09,0.020003,79.78,80.43,75.51,86.05,79.98
61,0.001315,96.59,97.23,97.11,97.36,96.36,0.003435,95.0,96.04,97.17,94.93,95.03,0.013151,77.27,82.14,76.67,88.46,74.79
62,0.001373,96.64,97.23,97.1,97.37,96.45,0.005137,91.47,93.14,95.63,90.78,91.73,0.013976,80.37,85.71,96.0,77.42,83.58
63,0.001062,97.08,97.61,97.26,97.96,96.85,0.002941,94.12,95.45,94.17,96.77,93.1,0.004915,93.58,95.68,94.33,97.08,90.54
Average,0.001318,96.6,97.23,97.09,97.38,96.36,0.003534,93.66,94.97,96.16,93.84,93.59,0.012459,82.54,84.75,84.69,86.02,82.1
