test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,92.17,93.97,90.15,98.13,90.25,0.00,92.35,94.01,94.01,94.01,91.72,0.00,76.25,73.24,57.78,100.00,82.41,16.10,20.77
34,0.00,91.25,93.17,89.25,97.44,89.46,0.00,89.71,92.24,88.89,95.85,87.36,0.00,92.31,95.24,90.91,100.00,83.33,-2.60,-3.00
36,0.00,92.15,93.89,90.01,98.12,90.37,0.00,93.24,94.83,92.54,97.24,91.71,0.00,75.51,81.82,71.05,96.43,72.02,17.73,13.01
37,0.00,91.48,93.35,89.21,97.90,89.64,0.00,91.18,93.30,90.48,96.31,89.21,0.00,84.73,89.90,81.65,100.00,76.19,6.44,3.40
38,0.00,92.37,94.03,90.87,97.42,90.82,0.00,95.00,96.11,95.45,96.77,94.32,0.00,66.24,69.36,69.77,68.97,65.91,28.76,26.75
43,0.00,93.55,94.93,91.38,98.78,92.05,0.00,93.53,95.07,92.58,97.70,91.94,0.00,95.96,97.14,95.77,98.55,94.28,-2.43,-2.08
44,0.00,93.18,94.70,91.47,98.18,91.57,0.00,94.41,95.61,95.83,95.39,94.04,0.00,82.28,84.75,78.12,92.59,81.59,12.13,10.87
45,0.00,94.99,95.95,93.22,98.86,94.02,0.00,95.88,96.79,96.35,97.24,95.37,0.00,80.87,89.11,100.00,80.36,90.18,15.01,7.68
46,0.00,92.12,94.02,90.10,98.29,89.96,0.00,85.88,89.47,85.36,94.01,82.78,0.00,83.50,82.35,70.00,100.00,86.59,2.38,7.12
49,0.00,93.43,94.82,92.39,97.38,92.23,0.00,91.76,93.67,92.00,95.39,90.38,0.00,78.42,82.14,75.00,90.79,77.14,13.35,11.52
50,0.00,89.84,92.16,87.76,97.03,87.66,0.00,89.41,92.04,88.51,95.85,86.95,0.00,94.55,95.38,91.18,100.00,93.75,-5.13,-3.35
51,0.00,91.67,93.51,89.80,97.54,89.92,0.00,87.65,90.58,88.21,93.09,85.57,0.00,84.75,88.00,80.49,97.06,82.53,2.90,2.58
52,0.00,92.04,93.82,90.27,97.65,90.29,0.00,91.76,93.69,91.63,95.85,90.20,0.00,75.69,79.53,70.83,90.67,75.04,16.07,14.16
53,0.00,91.23,93.23,88.82,98.09,89.19,0.00,93.82,95.13,95.79,94.47,93.58,0.00,90.10,91.94,89.06,95.00,88.96,3.72,3.19
54,0.00,93.01,94.54,91.16,98.17,91.45,0.00,76.47,82.91,77.29,89.40,71.53,0.00,74.17,78.45,75.53,81.61,72.84,2.30,4.45
55,0.00,91.00,92.96,88.73,97.62,89.16,0.00,88.82,91.32,90.50,92.17,87.55,0.00,90.64,93.33,92.36,94.33,88.29,-1.82,-2.01
56,0.00,92.14,93.79,90.19,97.69,90.62,0.00,92.65,94.25,94.04,94.47,91.95,0.00,91.16,93.50,100.00,87.79,93.89,1.49,0.76
58,0.00,93.02,94.55,90.86,98.55,91.39,0.00,87.65,90.71,87.23,94.47,85.04,0.00,96.60,97.33,94.79,100.00,95.54,-8.95,-6.62
60,0.00,94.22,95.47,92.55,98.58,92.88,0.00,95.29,96.40,94.27,98.62,94.02,0.00,75.28,78.00,68.42,90.70,75.78,20.01,18.40
61,0.00,91.82,93.63,89.90,97.68,90.08,0.00,83.53,87.44,85.15,89.86,81.11,0.00,67.05,76.42,66.20,90.38,61.86,16.48,11.02
62,0.00,93.48,94.80,91.74,98.08,92.24,0.00,91.18,93.36,89.79,97.24,88.86,0.00,84.66,89.36,94.59,84.68,84.65,6.51,4.00
63,0.00,91.12,93.04,88.68,97.85,89.29,0.00,86.47,90.13,84.34,96.77,82.53,0.00,97.33,98.19,97.14,99.27,95.64,-10.86,-8.07
