======================================================================
IMUTRANSFORMERSE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          76.25          73.24           57.78       100.00         92.35         94.01   20.77
          34          92.31          95.24           90.91       100.00         89.71         92.24   -3.00
          36          75.51          81.82           71.05        96.43         93.24         94.83   13.01
          37          84.73          89.90           81.65       100.00         91.18         93.30    3.40
          38          66.24          69.36           69.77        68.97         95.00         96.11   26.75
          43          95.96          97.14           95.77        98.55         93.53         95.07   -2.08
          44          82.28          84.75           78.12        92.59         94.41         95.61   10.87
          45          80.87          89.11          100.00        80.36         95.88         96.79    7.68
          46          83.50          82.35           70.00       100.00         85.88         89.47    7.12
          49          78.42          82.14           75.00        90.79         91.76         93.67   11.52
          50          94.55          95.38           91.18       100.00         89.41         92.04   -3.35
          51          84.75          88.00           80.49        97.06         87.65         90.58    2.58
          52          75.69          79.53           70.83        90.67         91.76         93.69   14.16
          53          90.10          91.94           89.06        95.00         93.82         95.13    3.19
          54          74.17          78.45           75.53        81.61         76.47         82.91    4.45
          55          90.64          93.33           92.36        94.33         88.82         91.32   -2.01
          56          91.16          93.50          100.00        87.79         92.65         94.25    0.76
          58          96.60          97.33           94.79       100.00         87.65         90.71   -6.62
          60          75.28          78.00           68.42        90.70         95.29         96.40   18.40
          61          67.05          76.42           66.20        90.38         83.53         87.44   11.02
          62          84.66          89.36           94.59        84.68         91.18         93.36    4.00
          63          97.33          98.19           97.14        99.27         86.47         90.13   -8.07
-----------------------------------------------------------------------------------------------------------
AVERAGE            83.55            86.57            82.30            92.69            90.35            92.68             6.12
