test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.000294,92.17,93.97,90.15,98.13,90.25,0.000439,92.35,94.01,94.01,94.01,91.72,0.002276,76.25,73.24,57.78,100.0,82.41
34,0.000293,91.25,93.17,89.25,97.44,89.46,0.000432,89.71,92.24,88.89,95.85,87.36,0.00041,92.31,95.24,90.91,100.0,83.33
36,0.000278,92.15,93.89,90.01,98.12,90.37,0.000374,93.24,94.83,92.54,97.24,91.71,0.000985,75.51,81.82,71.05,96.43,72.02
37,0.000302,91.48,93.35,89.21,97.9,89.64,0.000468,91.18,93.3,90.48,96.31,89.21,0.000603,84.73,89.9,81.65,100.0,76.19
38,0.00029,92.37,94.03,90.87,97.42,90.82,0.000309,95.0,96.11,95.45,96.77,94.32,0.002494,66.24,69.36,69.77,68.97,65.91
43,0.000232,93.55,94.93,91.38,98.78,92.05,0.000331,93.53,95.07,92.58,97.7,91.94,0.000156,95.96,97.14,95.77,98.55,94.28
44,0.000246,93.18,94.7,91.47,98.18,91.57,0.000267,94.41,95.61,95.83,95.39,94.04,0.001307,82.28,84.75,78.12,92.59,81.59
45,0.000185,94.99,95.95,93.22,98.86,94.02,0.000168,95.88,96.79,96.35,97.24,95.37,0.001352,80.87,89.11,100.0,80.36,90.18
46,0.000287,92.12,94.02,90.1,98.29,89.96,0.000656,85.88,89.47,85.36,94.01,82.78,0.000667,83.5,82.35,70.0,100.0,86.59
49,0.000255,93.43,94.82,92.39,97.38,92.23,0.000474,91.76,93.67,92.0,95.39,90.38,0.001791,78.42,82.14,75.0,90.79,77.14
50,0.000362,89.84,92.16,87.76,97.03,87.66,0.000424,89.41,92.04,88.51,95.85,86.95,0.000115,94.55,95.38,91.18,100.0,93.75
51,0.000298,91.67,93.51,89.8,97.54,89.92,0.000472,87.65,90.58,88.21,93.09,85.57,0.00065,84.75,88.0,80.49,97.06,82.53
52,0.000271,92.04,93.82,90.27,97.65,90.29,0.000359,91.76,93.69,91.63,95.85,90.2,0.001277,75.69,79.53,70.83,90.67,75.04
53,0.000309,91.23,93.23,88.82,98.09,89.19,0.000487,93.82,95.13,95.79,94.47,93.58,0.000513,90.1,91.94,89.06,95.0,88.96
54,0.000255,93.01,94.54,91.16,98.17,91.45,0.00065,76.47,82.91,77.29,89.4,71.53,0.001406,74.17,78.45,75.53,81.61,72.84
55,0.000322,91.0,92.96,88.73,97.62,89.16,0.000626,88.82,91.32,90.5,92.17,87.55,0.000749,90.64,93.33,92.36,94.33,88.29
56,0.000277,92.14,93.79,90.19,97.69,90.62,0.000391,92.65,94.25,94.04,94.47,91.95,0.00057,91.16,93.5,100.0,87.79,93.89
58,0.000269,93.02,94.55,90.86,98.55,91.39,0.000514,87.65,90.71,87.23,94.47,85.04,0.000323,96.6,97.33,94.79,100.0,95.54
60,0.000221,94.22,95.47,92.55,98.58,92.88,0.000264,95.29,96.4,94.27,98.62,94.02,0.001694,75.28,78.0,68.42,90.7,75.78
61,0.000279,91.82,93.63,89.9,97.68,90.08,0.000659,83.53,87.44,85.15,89.86,81.11,0.00283,67.05,76.42,66.2,90.38,61.86
62,0.000241,93.48,94.8,91.74,98.08,92.24,0.000438,91.18,93.36,89.79,97.24,88.86,0.001273,84.66,89.36,94.59,84.68,84.65
63,0.000303,91.12,93.04,88.68,97.85,89.29,0.000544,86.47,90.13,84.34,96.77,82.53,0.000266,97.33,98.19,97.14,99.27,95.64
Average,0.000276,92.33,94.02,90.39,97.96,90.66,0.000443,90.35,92.68,90.47,95.1,88.53,0.001078,83.55,86.57,82.3,92.69,82.66
