test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.0015,94.0500,95.1500,96.4700,93.8600,94.1100,0.0014,95.8800,96.8000,95.9300,97.7000,95.1900,0.0300,76.2500,72.4600,58.1400,96.1500,81.4100
Average,0.0015,94.0500,95.1500,96.4700,93.8600,94.1100,0.0014,95.8800,96.8000,95.9300,97.7000,95.1900,0.0300,76.2500,72.4600,58.1400,96.1500,81.4100
34,0.0017,93.7700,94.8300,96.4400,93.2700,93.9200,0.0016,95.8800,96.7900,96.3500,97.2400,95.3700,0.0034,92.3100,95.2400,90.9100,100.0000,83.3300
Average,0.0017,93.7700,94.8300,96.4400,93.2700,93.9200,0.0016,95.8800,96.7900,96.3500,97.2400,95.3700,0.0034,92.3100,95.2400,90.9100,100.0000,83.3300
36,0.0013,95.2600,96.1000,97.1300,95.1000,95.3000,0.0011,95.8800,96.7000,99.0300,94.4700,96.4200,0.0149,77.5500,83.0800,72.9700,96.4300,74.4000
Average,0.0013,95.2600,96.1000,97.1300,95.1000,95.3000,0.0011,95.8800,96.7000,99.0300,94.4700,96.4200,0.0149,77.5500,83.0800,72.9700,96.4300,74.4000
37,0.0010,96.8700,97.4300,97.8300,97.0400,96.8300,0.0011,97.3500,97.9500,96.8500,99.0800,96.6900,0.0070,87.0200,90.7100,88.3000,93.2600,83.5300
Average,0.0010,96.8700,97.4300,97.8300,97.0400,96.8300,0.0011,97.3500,97.9500,96.8500,99.0800,96.6900,0.0070,87.0200,90.7100,88.3000,93.2600,83.5300
38,0.0013,96.0200,96.7300,97.9600,95.5400,96.1600,0.0009,96.7600,97.4200,99.0500,95.8500,97.1100,0.0195,68.7900,69.5700,75.6800,64.3700,69.3300
Average,0.0013,96.0200,96.7300,97.9600,95.5400,96.1600,0.0009,96.7600,97.4200,99.0500,95.8500,97.1100,0.0195,68.7900,69.5700,75.6800,64.3700,69.3300
43,0.0012,95.9600,96.6600,97.6600,95.6900,96.0400,0.0014,95.2900,96.3100,96.3100,96.3100,94.9000,0.0015,95.9600,97.0600,98.5100,95.6500,96.1600
Average,0.0012,95.9600,96.6600,97.6600,95.6900,96.0400,0.0014,95.2900,96.3100,96.3100,96.3100,94.9000,0.0015,95.9600,97.0600,98.5100,95.6500,96.1600
44,0.0013,95.2300,96.1000,97.8300,94.4300,95.4900,0.0021,93.8200,94.9900,98.5100,91.7100,94.6300,0.0030,88.1900,88.3700,92.6800,84.4400,88.4400
Average,0.0013,95.2300,96.1000,97.8300,94.4300,95.4900,0.0021,93.8200,94.9900,98.5100,91.7100,94.6300,0.0030,88.1900,88.3700,92.6800,84.4400,88.4400
45,0.0017,94.3700,95.2400,96.7400,93.7900,94.5200,0.0014,94.1200,95.4100,94.9800,95.8500,93.4500,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000
Average,0.0017,94.3700,95.2400,96.7400,93.7900,94.5200,0.0014,94.1200,95.4100,94.9800,95.8500,93.4500,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000
46,0.0016,93.9400,95.0900,97.0500,93.2100,94.2000,0.0012,96.1800,96.9800,97.6600,96.3100,96.1200,0.0048,91.5000,89.4400,85.7100,93.5100,91.8800
Average,0.0016,93.9400,95.0900,97.0500,93.2100,94.2000,0.0012,96.1800,96.9800,97.6600,96.3100,96.1200,0.0048,91.5000,89.4400,85.7100,93.5100,91.8800
49,0.0013,95.2800,96.1100,97.8400,94.4400,95.5400,0.0012,96.4700,97.2400,97.2400,97.2400,96.1800,0.0078,84.1700,85.3300,86.4900,84.2100,84.1700
Average,0.0013,95.2800,96.1100,97.8400,94.4400,95.5400,0.0012,96.4700,97.2400,97.2400,97.2400,96.1800,0.0078,84.1700,85.3300,86.4900,84.2100,84.1700
50,0.0015,94.4400,95.4400,96.5300,94.3800,94.4600,0.0017,95.8800,96.7900,96.3500,97.2400,95.3700,0.0039,97.2700,97.6400,95.3800,100.0000,96.8800
Average,0.0015,94.4400,95.4400,96.5300,94.3800,94.4600,0.0017,95.8800,96.7900,96.3500,97.2400,95.3700,0.0039,97.2700,97.6400,95.3800,100.0000,96.8800
