test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.0015,94.6600,95.6400,97.1000,94.2200,94.8000,0.0014,96.1800,96.9600,98.5700,95.3900,96.4800,0.0174,78.7500,74.6300,60.9800,96.1500,83.2600
Average,0.0015,94.6600,95.6400,97.1000,94.2200,94.8000,0.0014,96.1800,96.9600,98.5700,95.3900,96.4800,0.0174,78.7500,74.6300,60.9800,96.1500,83.2600
34,0.0016,94.5100,95.4300,97.2900,93.6400,94.7600,0.0011,96.4700,97.2100,98.1200,96.3100,96.5300,0.0023,97.4400,98.3600,96.7700,100.0000,94.4400
Average,0.0016,94.5100,95.4300,97.2900,93.6400,94.7600,0.0011,96.4700,97.2100,98.1200,96.3100,96.5300,0.0023,97.4400,98.3600,96.7700,100.0000,94.4400
36,0.0012,95.8000,96.5500,97.6500,95.4700,95.9000,0.0013,95.5900,96.5400,96.7600,96.3100,95.3100,0.0199,77.5500,83.5800,71.7900,100.0000,73.8100
Average,0.0012,95.8000,96.5500,97.6500,95.4700,95.9000,0.0013,95.5900,96.5400,96.7600,96.3100,95.3100,0.0199,77.5500,83.5800,71.7900,100.0000,73.8100
37,0.0016,93.9800,94.9800,96.8700,93.1600,94.2100,0.0017,95.0000,96.0000,98.0800,94.0100,95.3800,0.0050,87.0200,90.6100,89.1300,92.1300,84.1600
Average,0.0016,93.9800,94.9800,96.8700,93.1600,94.2100,0.0017,95.0000,96.0000,98.0800,94.0100,95.3800,0.0050,87.0200,90.6100,89.1300,92.1300,84.1600
38,0.0010,96.6800,97.2700,98.8300,95.7500,96.9700,0.0009,97.6500,98.1300,99.5300,96.7700,97.9800,0.0134,68.1500,67.9500,76.8100,60.9200,69.0300
Average,0.0010,96.6800,97.2700,98.8300,95.7500,96.9700,0.0009,97.6500,98.1300,99.5300,96.7700,97.9800,0.0134,68.1500,67.9500,76.8100,60.9200,69.0300
43,0.0012,95.9900,96.6900,97.8200,95.5800,96.1100,0.0014,95.8800,96.7400,97.6500,95.8500,95.8900,0.0021,95.9600,97.0600,98.5100,95.6500,96.1600
Average,0.0012,95.9900,96.6900,97.8200,95.5800,96.1100,0.0014,95.8800,96.7400,97.6500,95.8500,95.8900,0.0021,95.9600,97.0600,98.5100,95.6500,96.1600
44,0.0013,95.4000,96.2600,97.4000,95.1400,95.4900,0.0011,96.4700,97.1800,99.0400,95.3900,96.8800,0.0038,86.6100,87.3100,87.9700,86.6700,86.6100
