fold,test_subject,phase,epoch,loss,accuracy,f1_score,precision,recall,auc
1,58,train,1,0.012002826160916106,67.4164737016209,71.75222254086607,76.70141017780503,67.40301724137932,67.42044606713353
1,58,val,1,0.012019763010389664,62.64705882352941,63.18840579710147,85.15625,50.23041474654379,67.39163013749952
1,58,train,2,0.006603397160344592,77.53886867350315,80.78120577412963,85.09242695289207,76.88577586206897,77.7316625668528
1,58,val,2,0.006038630403140012,75.0,76.71232876712328,94.5945945945946,64.51612903225806,79.00603199580382
1,58,train,3,0.005183487445401941,82.66622560370493,85.39576365663322,88.45265588914549,82.54310344827587,82.70257143279261
1,58,val,3,0.0019688936826937338,95.0,96.0,98.07692307692307,94.00921658986175,95.37859203476827
1,58,train,4,0.004857294098789866,83.22858087992061,85.71428571428572,89.84051978735972,81.95043103448276,83.6058924666844
1,58,val,4,0.002315396925105768,93.82352941176471,94.98806682577565,98.51485148514851,91.70506912442397,94.63302236709002
1,58,train,5,0.003657766287882045,87.29738670195171,89.30957683741649,92.3963133640553,86.42241379310344,87.55567990426381
1,58,val,5,0.0024607261642813683,92.05882352941175,93.79310344827587,93.57798165137615,94.00921658986175,91.31355138436177
1,58,train,6,0.0034492146538023993,87.39662586834271,89.47222989776182,91.8321043675553,87.23060344827587,87.4456359143693
1,58,val,6,0.0020877304760848776,93.82352941176471,94.93975903614458,99.4949494949495,90.78341013824884,94.98520100408378
1,58,train,7,0.0032524409261200943,88.12437975521006,89.96926515786532,93.4416715031921,86.74568965517241,88.5313709629761
1,58,val,7,0.0032112869981895473,90.58823529411765,92.38095238095238,95.56650246305419,89.40092165898618,91.04192424412723
1,58,train,8,0.002842318834727701,89.54680780681443,91.26589275843007,93.70034052213394,88.95474137931035,89.72158662795852
1,58,val,8,0.0028199270805891823,90.88235294117646,92.53012048192771,96.96969696969697,88.47926267281106,91.80060694616164
1,58,train,9,0.0027877570450641127,89.24909030764142,90.92938878035164,94.3254198031268,87.76939655172413,89.68589793310285
1,58,val,9,0.0020177838776041478,95.29411764705881,96.36363636363637,95.06726457399103,97.6958525345622,94.37638155183394
1,58,train,10,0.002613381931531757,90.53919947072444,92.11686879823594,94.3002257336343,90.03232758620689,90.68882874597405
1,58,val,10,0.001364382605671006,95.58823529411765,96.53579676674366,96.75925925925925,96.31336405529954,95.31115357236524
1,58,train,11,0.002467882628772892,91.00231558054912,92.4944812362031,94.79638009049773,90.30172413793103,91.20913113494667
1,58,val,11,0.0013556585701949455,95.58823529411765,96.53579676674366,96.75925925925925,96.31336405529954,95.31115357236524
1,58,train,12,0.0025474019459529778,90.17532252729077,91.71548117154812,95.08386350491614,88.57758620689656,90.64697647962652
1,58,val,12,0.00234145421315642,94.70588235294117,95.83333333333333,96.27906976744185,95.39170506912443,94.44382001423702
1,58,train,13,0.0024105184694571563,90.50611974859412,92.02112871837642,95.06031016657094,89.17025862068965,90.90046778506634
1,58,val,13,0.0018243652111028924,95.0,96.0,98.07692307692307,94.00921658986175,95.37859203476827
1,58,train,14,0.002149057433161955,92.25934502150182,93.55016538037486,95.76749435665914,91.43318965517241,92.50322721833172
1,58,val,14,0.0031106985338470515,94.70588235294117,95.7345971563981,98.53658536585365,93.08755760368663,95.32426660672137
1,58,train,15,0.0021682544739247155,91.53159113463447,92.92817679558011,95.3514739229025,90.625,91.79921808054841
1,58,val,15,0.0028922482667600407,92.94117647058823,94.3127962085308,97.07317073170731,91.70506912442397,93.41351017196808
1,58,train,16,0.0020992305305987608,92.45782335428382,93.73626373626375,95.62780269058297,91.91810344827587,92.61714941051325
1,58,val,16,0.00305456779897213,93.23529411764706,94.48441247002398,98.5,90.78341013824884,94.17219287400246
1,58,train,17,0.0020388973050566254,92.35858418789282,93.65210222588624,95.56926528323051,91.8103448275862,92.52042519871169
1,58,val,17,0.002744913922951502,94.41176470588235,95.61200923787528,95.83333333333334,95.39170506912443,94.03731594919635
1,58,train,18,0.001884048370249493,92.75554085345684,94.00820793433653,95.49749861033908,92.5646551724138,92.81189056821204
1,58,val,18,0.0038899376331006778,90.88235294117646,92.63657957244655,95.58823529411765,89.86175115207374,91.272338990671
1,58,test,best,0.00109782576763711,93.87755102040816,94.79768786127168,100.0,90.10989010989012,95.05494505494505
