test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.0018,93.6200,94.7800,96.5400,93.0800,93.8000,0.0018,95.2900,96.3100,96.3100,96.3100,94.9000,0.0274,75.0000,72.2200,56.5200,100.0000,81.4800
Average,0.0018,93.6200,94.7800,96.5400,93.0800,93.8000,0.0018,95.2900,96.3100,96.3100,96.3100,94.9000,0.0274,75.0000,72.2200,56.5200,100.0000,81.4800
34,0.0016,94.3800,95.3600,96.4300,94.3100,94.4000,0.0010,96.7600,97.4600,97.6900,97.2400,96.5800,0.0031,94.8700,96.7700,93.7500,100.0000,88.8900
Average,0.0016,94.3800,95.3600,96.4300,94.3100,94.4000,0.0010,96.7600,97.4600,97.6900,97.2400,96.5800,0.0031,94.8700,96.7700,93.7500,100.0000,88.8900
36,0.0014,94.5900,95.5100,97.4000,93.6900,94.8500,0.0014,96.1800,97.0300,96.3600,97.7000,95.6000,0.0171,77.5500,83.5800,71.7900,100.0000,73.8100
Average,0.0014,94.5900,95.5100,97.4000,93.6900,94.8500,0.0014,96.1800,97.0300,96.3600,97.7000,95.6000,0.0171,77.5500,83.5800,71.7900,100.0000,73.8100
37,0.0017,94.2700,95.2600,96.4200,94.1300,94.3100,0.0011,97.3500,97.9300,97.7100,98.1600,97.0500,0.0032,88.5500,91.5300,92.0500,91.0100,87.1700
Average,0.0017,94.2700,95.2600,96.4200,94.1300,94.3100,0.0011,97.3500,97.9300,97.7100,98.1600,97.0500,0.0032,88.5500,91.5300,92.0500,91.0100,87.1700
38,0.0015,95.1200,96.0100,96.9300,95.1100,95.1300,0.0016,95.2900,96.2400,98.0900,94.4700,95.6100,0.0180,63.6900,61.2200,75.0000,51.7200,65.1500
Average,0.0015,95.1200,96.0100,96.9300,95.1100,95.1300,0.0016,95.2900,96.2400,98.0900,94.4700,95.6100,0.0180,63.6900,61.2200,75.0000,51.7200,65.1500
43,0.0017,93.4500,94.5600,96.2000,92.9700,93.5900,0.0022,93.8200,95.0100,98.0400,92.1700,94.4600,0.0010,97.9800,98.5300,100.0000,97.1000,98.5500
Average,0.0017,93.4500,94.5600,96.2000,92.9700,93.5900,0.0022,93.8200,95.0100,98.0400,92.1700,94.4600,0.0010,97.9800,98.5300,100.0000,97.1000,98.5500
44,0.0014,95.2000,96.1100,96.7000,95.5300,95.0900,0.0012,97.0600,97.7100,97.2600,98.1600,96.6400,0.0080,84.6500,86.6000,80.7700,93.3300,84.0600
Average,0.0014,95.2000,96.1100,96.7000,95.5300,95.0900,0.0012,97.0600,97.7100,97.2600,98.1600,96.6400,0.0080,84.6500,86.6000,80.7700,93.3300,84.0600
45,0.0019,93.3900,94.4000,96.0500,92.8100,93.5300,0.0011,97.6500,98.1600,98.1600,98.1600,97.4500,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000
Average,0.0019,93.3900,94.4000,96.0500,92.8100,93.5300,0.0011,97.6500,98.1600,98.1600,98.1600,97.4500,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000
46,0.0017,93.9700,95.1300,96.7400,93.5800,94.1100,0.0016,94.4100,95.5500,97.1400,94.0100,94.5700,0.0045,91.0000,88.7500,85.5400,92.2100,91.2300
Average,0.0017,93.9700,95.1300,96.7400,93.5800,94.1100,0.0016,94.4100,95.5500,97.1400,94.0100,94.5700,0.0045,91.0000,88.7500,85.5400,92.2100,91.2300
49,0.0015,94.9500,95.8600,97.0400,94.7100,95.0300,0.0017,96.4700,97.2400,97.2400,97.2400,96.1800,0.0135,84.8900,87.4300,80.2200,96.0500,83.7400
Average,0.0015,94.9500,95.8600,97.0400,94.7100,95.0300,0.0017,96.4700,97.2400,97.2400,97.2400,96.1800,0.0135,84.8900,87.4300,80.2200,96.0500,83.7400
50,0.0015,94.4800,95.4700,96.5300,94.4300,94.4900,0.0017,96.1800,97.0400,95.9500,98.1600,95.4200,0.0008,97.2700,97.6400,95.3800,100.0000,96.8800
Average,0.0015,94.4800,95.4700,96.5300,94.4300,94.4900,0.0017,96.1800,97.0400,95.9500,98.1600,95.4200,0.0008,97.2700,97.6400,95.3800,100.0000,96.8800
51,0.0016,94.5400,95.5100,96.5300,94.5100,94.5400,0.0014,95.8800,96.7900,96.3500,97.2400,95.3700,0.0112,79.6600,81.8200,84.3800,79.4100,79.7100
Average,0.0016,94.5400,95.5100,96.5300,94.5100,94.5400,0.0014,95.8800,96.7900,96.3500,97.2400,95.3700,0.0112,79.6600,81.8200,84.3800,79.4100,79.7100
52,0.0016,94.3500,95.3700,96.7600,94.0200,94.4500,0.0012,95.2900,96.2800,97.1800,95.3900,95.2600,0.0051,93.0600,92.9600,98.5100,88.0000,93.2800
Average,0.0016,94.3500,95.3700,96.7600,94.0200,94.4500,0.0012,95.2900,96.2800,97.1800,95.3900,95.2600,0.0051,93.0600,92.9600,98.5100,88.0000,93.2800
53,0.0014,94.8500,95.7700,96.8600,94.7000,94.9000,0.0008,97.6500,98.1500,98.6000,97.7000,97.6300,0.0072,88.1200,89.6600,92.8600,86.6700,88.4600
Average,0.0014,94.8500,95.7700,96.8600,94.7000,94.9000,0.0008,97.6500,98.1500,98.6000,97.7000,97.6300,0.0072,88.1200,89.6600,92.8600,86.6700,88.4600
54,0.0018,93.7400,94.8300,96.4400,93.2800,93.8800,0.0013,97.0600,97.6700,98.5900,96.7700,97.1700,0.0122,78.1500,77.8500,93.5500,66.6700,80.2100
Average,0.0018,93.7400,94.8300,96.4400,93.2800,93.8800,0.0013,97.0600,97.6700,98.5900,96.7700,97.1700,0.0122,78.1500,77.8500,93.5500,66.6700,80.2100
55,0.0019,93.6600,94.7300,95.9100,93.5800,93.6900,0.0023,94.7100,95.7700,97.6100,94.0100,94.9700,0.0037,89.1600,91.7300,97.6000,86.5200,90.8400
Average,0.0019,93.6600,94.7300,95.9100,93.5800,93.6900,0.0023,94.7100,95.7700,97.6100,94.0100,94.9700,0.0037,89.1600,91.7300,97.6000,86.5200,90.8400
56,0.0014,95.0800,95.9200,96.7000,95.1500,95.0600,0.0012,95.5900,96.4900,98.1000,94.9300,95.8400,0.0029,88.9500,91.8700,98.2600,86.2600,91.1300
Average,0.0014,95.0800,95.9200,96.7000,95.1500,95.0600,0.0012,95.5900,96.4900,98.1000,94.9300,95.8400,0.0029,88.9500,91.8700,98.2600,86.2600,91.1300
58,0.0019,92.7600,94.0100,95.5000,92.5600,92.8100,0.0014,95.5900,96.5400,96.7600,96.3100,95.3100,0.0011,93.8800,94.8000,100.0000,90.1100,95.0500
Average,0.0019,92.7600,94.0100,95.5000,92.5600,92.8100,0.0014,95.5900,96.5400,96.7600,96.3100,95.3100,0.0011,93.8800,94.8000,100.0000,90.1100,95.0500
60,0.0017,94.4800,95.4800,96.7600,94.2200,94.5600,0.0009,97.9400,98.3900,98.1700,98.6200,97.6800,0.0069,88.7600,88.8900,85.1100,93.0200,88.9000
Average,0.0017,94.4800,95.4800,96.7600,94.2200,94.5600,0.0009,97.9400,98.3900,98.1700,98.6200,97.6800,0.0069,88.7600,88.8900,85.1100,93.0200,88.9000
61,0.0020,93.3200,94.4600,96.2700,92.7200,93.4900,0.0012,95.8800,96.7300,98.1000,95.3900,96.0700,0.0041,89.7700,90.9100,95.7400,86.5400,90.4900
Average,0.0020,93.3200,94.4600,96.2700,92.7200,93.4900,0.0012,95.8800,96.7300,98.1000,95.3900,96.0700,0.0041,89.7700,90.9100,95.7400,86.5400,90.4900
62,0.0016,94.2100,95.1300,97.0900,93.2500,94.4700,0.0018,95.5900,96.4900,98.1000,94.9300,95.8400,0.0066,73.6200,79.0200,100.0000,65.3200,82.6600
Average,0.0016,94.2100,95.1300,97.0900,93.2500,94.4700,0.0018,95.5900,96.4900,98.1000,94.9300,95.8400,0.0066,73.6200,79.0200,100.0000,65.3200,82.6600
63,0.0018,93.7600,94.7700,96.5100,93.0900,93.9500,0.0021,94.4100,95.5900,96.2600,94.9300,94.2100,0.0033,84.4900,88.1600,100.0000,78.8300,89.4200
