test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.0018,93.6900,94.8400,96.4500,93.2800,93.8200,0.0018,95.2900,96.3100,96.3100,96.3100,94.9000,0.0272,75.0000,72.2200,56.5200,100.0000,81.4800
Average,0.0018,93.6900,94.8400,96.4500,93.2800,93.8200,0.0018,95.2900,96.3100,96.3100,96.3100,94.9000,0.0272,75.0000,72.2200,56.5200,100.0000,81.4800
34,0.0016,94.3500,95.3300,96.4200,94.2600,94.3700,0.0010,97.0600,97.7000,97.7000,97.7000,96.8200,0.0036,94.8700,96.7700,93.7500,100.0000,88.8900
Average,0.0016,94.3500,95.3300,96.4200,94.2600,94.3700,0.0010,97.0600,97.7000,97.7000,97.7000,96.8200,0.0036,94.8700,96.7700,93.7500,100.0000,88.8900
36,0.0014,94.4600,95.4100,97.0900,93.8000,94.6500,0.0014,95.8800,96.7900,96.3500,97.2400,95.3700,0.0167,79.5900,84.8500,73.6800,100.0000,76.1900
Average,0.0014,94.4600,95.4100,97.0900,93.8000,94.6500,0.0014,95.8800,96.7900,96.3500,97.2400,95.3700,0.0167,79.5900,84.8500,73.6800,100.0000,76.1900
37,0.0017,94.0400,95.0700,96.2500,93.9200,94.0800,0.0010,97.3500,97.9300,97.7100,98.1600,97.0500,0.0033,87.7900,90.9100,91.9500,89.8900,86.6100
Average,0.0017,94.0400,95.0700,96.2500,93.9200,94.0800,0.0010,97.3500,97.9300,97.7100,98.1600,97.0500,0.0033,87.7900,90.9100,91.9500,89.8900,86.6100
38,0.0015,95.2900,96.1500,96.9900,95.3200,95.2800,0.0016,95.5900,96.4900,98.1000,94.9300,95.8400,0.0177,65.6100,64.0000,76.1900,55.1700,66.8700
Average,0.0015,95.2900,96.1500,96.9900,95.3200,95.2800,0.0016,95.5900,96.4900,98.1000,94.9300,95.8400,0.0177,65.6100,64.0000,76.1900,55.1700,66.8700
43,0.0016,94.4600,95.4300,96.4600,94.4100,94.4800,0.0022,93.8200,95.0100,98.0400,92.1700,94.4600,0.0010,97.9800,98.5300,100.0000,97.1000,98.5500
Average,0.0016,94.4600,95.4300,96.4600,94.4100,94.4800,0.0022,93.8200,95.0100,98.0400,92.1700,94.4600,0.0010,97.9800,98.5300,100.0000,97.1000,98.5500
44,0.0014,95.4400,96.3100,96.8200,95.8100,95.3200,0.0012,96.7600,97.4700,97.2500,97.7000,96.4100,0.0083,83.0700,85.2200,79.4900,91.8500,82.4800
Average,0.0014,95.4400,96.3100,96.8200,95.8100,95.3200,0.0012,96.7600,97.4700,97.2500,97.7000,96.4100,0.0083,83.0700,85.2200,79.4900,91.8500,82.4800
45,0.0019,93.2600,94.2900,95.8900,92.7500,93.3800,0.0010,97.9400,98.3900,98.1700,98.6200,97.6800,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000
Average,0.0019,93.2600,94.2900,95.8900,92.7500,93.3800,0.0010,97.9400,98.3900,98.1700,98.6200,97.6800,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000
46,0.0017,93.6400,94.8700,96.3100,93.4800,93.6900,0.0016,94.4100,95.5500,97.1400,94.0100,94.5700,0.0045,91.0000,88.7500,85.5400,92.2100,91.2300
Average,0.0017,93.6400,94.8700,96.3100,93.4800,93.6900,0.0016,94.4100,95.5500,97.1400,94.0100,94.5700,0.0045,91.0000,88.7500,85.5400,92.2100,91.2300
49,0.0015,95.0200,95.9200,97.1000,94.7600,95.1000,0.0017,96.4700,97.2400,97.2400,97.2400,96.1800,0.0134,84.8900,87.4300,80.2200,96.0500,83.7400
Average,0.0015,95.0200,95.9200,97.1000,94.7600,95.1000,0.0017,96.4700,97.2400,97.2400,97.2400,96.1800,0.0134,84.8900,87.4300,80.2200,96.0500,83.7400
50,0.0016,94.4400,95.4400,96.5300,94.3800,94.4600,0.0017,96.1800,97.0400,95.9500,98.1600,95.4200,0.0009,97.2700,97.6400,95.3800,100.0000,96.8800
Average,0.0016,94.4400,95.4400,96.5300,94.3800,94.4600,0.0017,96.1800,97.0400,95.9500,98.1600,95.4200,0.0009,97.2700,97.6400,95.3800,100.0000,96.8800
51,0.0018,93.7000,94.8000,96.2300,93.4100,93.7900,0.0014,96.1800,97.0100,96.7900,97.2400,95.7700,0.0115,79.6600,81.8200,84.3800,79.4100,79.7100
Average,0.0018,93.7000,94.8000,96.2300,93.4100,93.7900,0.0014,96.1800,97.0100,96.7900,97.2400,95.7700,0.0115,79.6600,81.8200,84.3800,79.4100,79.7100
52,0.0016,94.2500,95.2800,96.7000,93.9100,94.3600,0.0013,95.2900,96.2800,97.1800,95.3900,95.2600,0.0050,92.3600,92.2000,98.4800,86.6700,92.6100
