fold,MODEL_A_val_acc,MODEL_A_val_f1,MODEL_A_test_acc,MODEL_A_test_f1,MODEL_B_val_acc,MODEL_B_val_f1,MODEL_B_test_acc,MODEL_B_test_f1,MODEL_C_val_acc,MODEL_C_val_f1,MODEL_C_test_acc,MODEL_C_test_f1,MODEL_D_val_acc,MODEL_D_val_f1,MODEL_D_test_acc,MODEL_D_test_f1,MODEL_E_val_acc,MODEL_E_val_f1,MODEL_E_test_acc,MODEL_E_test_f1,MODEL_F_val_acc,MODEL_F_val_f1,MODEL_F_test_acc,MODEL_F_test_f1
31,79.12,85.18,58.75,61.18,83.82,87.58,68.75,67.53,89.41,91.71,65.00,57.58,87.65,90.45,65.00,58.82,79.12,84.26,65.00,58.82,73.24,82.40,55.00,59.09
34,89.41,91.89,89.74,93.55,95.00,96.13,100.00,100.00,75.59,83.10,74.36,83.87,86.76,89.75,92.31,95.08,78.53,84.95,79.49,87.50,73.82,81.80,82.05,89.55
36,93.53,95.05,75.51,78.57,91.47,93.45,69.39,77.61,82.94,87.50,57.14,71.23,80.59,86.25,61.22,74.67,84.41,88.45,67.35,77.14,76.76,84.23,48.98,64.79
37,95.88,96.82,87.79,91.01,97.06,97.72,83.97,88.65,84.41,88.79,73.28,81.87,79.41,85.42,80.15,87.25,73.82,80.09,76.34,83.94,76.76,84.17,75.57,83.84
38,90.88,92.87,73.89,75.74,84.12,88.05,72.61,78.17,87.06,90.39,61.15,65.54,82.35,85.92,70.70,74.44,88.24,91.42,71.34,77.16,77.94,84.41,54.14,62.89
43,93.24,94.76,93.94,95.65,92.35,93.98,91.92,94.37,85.29,89.08,79.80,84.37,82.06,86.88,67.68,75.38,84.41,88.84,64.65,71.54,77.65,84.86,75.76,81.25
44,91.76,93.69,69.69,74.07,91.76,93.46,77.17,80.27,87.06,90.00,81.10,82.98,82.35,87.23,69.69,74.07,85.29,89.22,72.44,76.35,79.71,85.89,78.35,81.23
45,92.94,94.52,80.87,89.11,92.35,94.06,80.87,89.11,80.59,86.02,100.00,100.00,80.29,85.65,100.00,100.00,85.59,88.52,99.13,99.55,71.47,81.02,100.00,100.00
46,82.35,86.55,86.00,83.72,87.65,90.75,90.50,88.89,76.76,83.91,81.50,77.30,88.53,91.31,80.00,77.78,85.00,88.79,85.50,83.98,72.35,81.85,38.50,55.60
49,87.35,90.47,79.14,83.24,95.00,96.07,81.29,84.34,81.76,86.22,66.19,71.17,75.88,83.06,56.83,65.91,86.76,89.66,58.99,65.87,73.82,81.65,60.43,70.90
50,93.82,95.26,95.45,96.12,90.59,92.49,94.55,95.38,80.59,85.20,90.91,92.42,83.53,88.03,88.18,89.92,75.59,83.23,90.91,92.31,73.82,82.38,80.91,85.52
51,85.29,88.89,71.19,73.02,91.47,93.42,77.97,78.69,85.59,89.60,67.80,75.32,84.71,88.89,61.02,71.60,72.06,79.39,62.71,70.27,75.88,83.60,66.10,75.00
52,81.76,86.40,72.92,78.45,89.12,91.80,85.42,86.62,79.12,84.33,72.92,77.46,81.18,86.78,68.75,73.99,73.82,82.16,69.44,76.34,74.71,82.66,59.72,68.13
53,92.35,93.98,85.15,86.49,88.24,90.74,80.20,83.87,85.88,89.09,63.37,66.67,87.35,90.16,83.17,87.22,78.82,84.35,83.17,87.02,75.88,83.47,75.25,82.01
54,66.47,75.11,73.51,78.02,86.47,88.67,74.17,74.51,83.53,87.16,70.20,73.68,67.65,77.08,62.25,71.36,68.24,76.82,73.51,79.38,68.82,78.46,63.58,72.64
55,76.18,82.58,88.18,91.43,87.06,89.62,81.77,85.26,87.65,90.05,79.80,85.51,79.12,85.18,87.19,90.91,81.76,86.97,79.80,85.61,80.00,85.89,81.77,86.25
56,85.88,88.24,87.29,90.61,88.82,91.24,82.32,87.20,86.18,89.58,65.75,72.57,82.35,86.43,67.96,73.87,80.59,85.33,72.93,78.97,74.71,82.73,80.11,86.96
58,92.35,94.01,97.96,98.38,74.71,81.30,82.99,86.91,80.59,86.36,89.12,91.67,85.59,88.31,83.67,86.36,77.35,83.58,78.23,82.61,76.18,83.83,92.52,94.30
60,93.24,94.74,74.16,75.79,83.53,86.47,79.78,81.25,84.41,88.65,62.92,66.67,78.24,83.48,68.54,73.08,84.71,88.84,80.90,81.72,74.41,82.91,67.42,73.87
61,91.18,92.92,84.09,87.04,83.24,86.46,72.73,78.57,86.47,90.30,64.77,70.48,85.00,88.59,62.50,70.27,86.47,90.04,62.50,71.30,73.53,81.56,55.68,66.67
62,92.94,94.59,72.39,78.47,90.29,92.34,79.14,84.55,80.88,86.20,68.10,76.99,88.24,91.19,86.50,91.41,87.06,90.22,77.91,84.07,73.53,82.42,77.30,86.04
63,77.06,83.12,95.72,97.06,88.53,90.91,92.51,94.66,83.82,88.27,74.33,80.80,86.76,89.93,78.61,84.85,84.41,88.70,79.14,85.82,75.59,83.30,87.17,91.84
AVERAGE,87.50,90.53,81.52,84.40,88.76,91.21,81.82,84.84,83.44,87.80,73.16,77.55,82.53,87.09,74.63,79.47,81.00,86.08,75.06,79.88,75.03,82.98,70.74,78.11
