test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,93.72,95.10,92.43,97.92,92.37,0.00,79.12,85.18,77.86,94.01,73.43,0.00,58.75,61.18,44.07,100.00,69.44,20.37,24.00
34,0.00,94.86,95.91,93.51,98.44,93.82,0.00,89.41,91.89,89.87,94.01,87.66,0.00,89.74,93.55,90.62,96.67,81.67,-0.33,-1.66
36,0.00,97.05,97.63,96.39,98.91,96.50,0.00,93.53,95.05,92.95,97.24,92.11,0.00,75.51,78.57,78.57,78.57,75.00,18.02,16.47
37,0.00,93.19,94.62,91.50,97.95,91.82,0.00,95.88,96.82,95.52,98.16,95.01,0.00,87.79,91.01,91.01,91.01,85.98,8.10,5.81
38,0.00,90.01,92.34,87.71,97.47,87.72,0.00,90.88,92.87,92.66,93.09,90.04,0.00,73.89,75.74,78.05,73.56,73.92,17.00,17.13
43,0.00,96.91,97.51,96.02,99.04,96.29,0.00,93.24,94.76,93.69,95.85,92.24,0.00,93.94,95.65,95.65,95.65,92.83,-0.70,-0.89
44,0.00,95.27,96.27,94.24,98.40,94.26,0.00,91.76,93.69,91.63,95.85,90.20,0.00,69.69,74.07,67.90,81.48,68.89,22.08,19.62
45,0.00,92.11,93.71,89.93,97.82,90.67,0.00,92.94,94.52,93.67,95.39,92.00,0.00,80.87,89.11,100.00,80.36,90.18,12.07,5.41
46,0.00,93.16,94.75,91.78,97.91,91.50,0.00,82.35,86.55,84.28,88.94,79.84,0.00,86.00,83.72,75.79,93.51,87.40,-3.65,2.83
49,0.00,94.62,95.75,93.44,98.18,93.53,0.00,87.35,90.47,87.18,94.01,84.81,0.00,79.14,83.24,74.23,94.74,77.53,8.22,7.23
50,0.00,96.99,97.60,96.09,99.15,96.34,0.00,93.82,95.26,93.36,97.24,92.52,0.00,95.45,96.12,92.54,100.00,94.79,-1.63,-0.86
51,0.00,93.38,94.79,91.78,98.01,92.00,0.00,85.29,88.89,85.84,92.17,82.67,0.00,71.19,73.02,79.31,67.65,71.82,14.11,15.87
52,0.00,93.06,94.56,91.84,97.44,91.70,0.00,81.76,86.40,82.43,90.78,78.32,0.00,72.92,78.45,66.98,94.67,71.97,8.85,7.95
53,0.00,94.07,95.32,92.52,98.30,92.81,0.00,92.35,93.98,94.42,93.55,91.90,0.00,85.15,86.49,94.12,80.00,86.34,7.20,7.49
54,0.00,94.60,95.70,93.85,97.63,93.68,0.00,66.47,75.11,71.37,79.26,61.58,0.00,73.51,78.02,74.74,81.61,72.05,-7.04,-2.91
55,0.00,94.81,95.84,93.66,98.12,93.89,0.00,76.18,82.58,77.42,88.48,71.48,0.00,88.18,91.43,92.09,90.78,86.52,-12.00,-8.85
56,0.00,92.74,94.26,90.73,98.07,91.28,0.00,85.88,88.24,94.24,82.95,87.00,0.00,87.29,90.61,97.37,84.73,89.37,-1.41,-2.38
58,0.00,94.67,95.77,93.44,98.22,93.63,0.00,92.35,94.01,94.01,94.01,91.72,0.00,97.96,98.38,96.81,100.00,97.32,-5.61,-4.37
60,0.00,96.62,97.32,95.69,99.00,95.89,0.00,93.24,94.74,94.09,95.39,92.41,0.00,74.16,75.79,69.23,83.72,74.47,19.08,18.95
61,0.00,95.07,96.08,93.95,98.31,94.10,0.00,91.18,92.92,95.17,90.78,91.33,0.00,84.09,87.04,83.93,90.38,82.69,7.09,5.89
62,0.00,94.55,95.62,93.14,98.24,93.55,0.00,92.94,94.59,92.51,96.77,91.48,0.01,72.39,78.47,96.47,66.13,79.22,20.55,16.13
63,0.00,94.37,95.49,92.89,98.23,93.32,0.00,77.06,83.12,78.37,88.48,72.69,0.00,95.72,97.06,97.78,96.35,95.18,-18.66,-13.94
