======================================================================
SINGLESTREAMTRANSFORMER - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          58.75          61.18           44.07       100.00         79.12         85.18   24.00
          34          89.74          93.55           90.62        96.67         89.41         91.89   -1.66
          36          75.51          78.57           78.57        78.57         93.53         95.05   16.47
          37          87.79          91.01           91.01        91.01         95.88         96.82    5.81
          38          73.89          75.74           78.05        73.56         90.88         92.87   17.13
          43          93.94          95.65           95.65        95.65         93.24         94.76   -0.89
          44          69.69          74.07           67.90        81.48         91.76         93.69   19.62
          45          80.87          89.11          100.00        80.36         92.94         94.52    5.41
          46          86.00          83.72           75.79        93.51         82.35         86.55    2.83
          49          79.14          83.24           74.23        94.74         87.35         90.47    7.23
          50          95.45          96.12           92.54       100.00         93.82         95.26   -0.86
          51          71.19          73.02           79.31        67.65         85.29         88.89   15.87
          52          72.92          78.45           66.98        94.67         81.76         86.40    7.95
          53          85.15          86.49           94.12        80.00         92.35         93.98    7.49
          54          73.51          78.02           74.74        81.61         66.47         75.11   -2.91
          55          88.18          91.43           92.09        90.78         76.18         82.58   -8.85
          56          87.29          90.61           97.37        84.73         85.88         88.24   -2.38
          58          97.96          98.38           96.81       100.00         92.35         94.01   -4.37
          60          74.16          75.79           69.23        83.72         93.24         94.74   18.95
          61          84.09          87.04           83.93        90.38         91.18         92.92    5.89
          62          72.39          78.47           96.47        66.13         92.94         94.59   16.13
          63          95.72          97.06           97.78        96.35         77.06         83.12  -13.94
-----------------------------------------------------------------------------------------------------------
AVERAGE            81.51            84.40            83.51            87.34            87.50            90.53             6.13
