test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.000249,93.72,95.1,92.43,97.92,92.37,0.000822,79.12,85.18,77.86,94.01,73.43,0.004752,58.75,61.18,44.07,100.0,69.44
34,0.000213,94.86,95.91,93.51,98.44,93.82,0.0006,89.41,91.89,89.87,94.01,87.66,0.001432,89.74,93.55,90.62,96.67,81.67
36,0.000121,97.05,97.63,96.39,98.91,96.5,0.000361,93.53,95.05,92.95,97.24,92.11,0.002095,75.51,78.57,78.57,78.57,75.0
37,0.000258,93.19,94.62,91.5,97.95,91.82,0.000475,95.88,96.82,95.52,98.16,95.01,0.000715,87.79,91.01,91.01,91.01,85.98
38,0.000375,90.01,92.34,87.71,97.47,87.72,0.000531,90.88,92.87,92.66,93.09,90.04,0.003161,73.89,75.74,78.05,73.56,73.92
43,0.000144,96.91,97.51,96.02,99.04,96.29,0.000719,93.24,94.76,93.69,95.85,92.24,0.00054,93.94,95.65,95.65,95.65,92.83
44,0.000201,95.27,96.27,94.24,98.4,94.26,0.000575,91.76,93.69,91.63,95.85,90.2,0.003596,69.69,74.07,67.9,81.48,68.89
45,0.000307,92.11,93.71,89.93,97.82,90.67,0.000556,92.94,94.52,93.67,95.39,92.0,0.001139,80.87,89.11,100.0,80.36,90.18
46,0.000281,93.16,94.75,91.78,97.91,91.5,0.000946,82.35,86.55,84.28,88.94,79.84,0.000739,86.0,83.72,75.79,93.51,87.4
49,0.00022,94.62,95.75,93.44,98.18,93.53,0.000652,87.35,90.47,87.18,94.01,84.81,0.003348,79.14,83.24,74.23,94.74,77.53
50,0.000142,96.99,97.6,96.09,99.15,96.34,0.000533,93.82,95.26,93.36,97.24,92.52,0.000321,95.45,96.12,92.54,100.0,94.79
51,0.000249,93.38,94.79,91.78,98.01,92.0,0.000915,85.29,88.89,85.84,92.17,82.67,0.001577,71.19,73.02,79.31,67.65,71.82
52,0.000291,93.06,94.56,91.84,97.44,91.7,0.000743,81.76,86.4,82.43,90.78,78.32,0.001908,72.92,78.45,66.98,94.67,71.97
53,0.00023,94.07,95.32,92.52,98.3,92.81,0.00045,92.35,93.98,94.42,93.55,91.9,0.002899,85.15,86.49,94.12,80.0,86.34
54,0.000229,94.6,95.7,93.85,97.63,93.68,0.001387,66.47,75.11,71.37,79.26,61.58,0.002087,73.51,78.02,74.74,81.61,72.05
55,0.00023,94.81,95.84,93.66,98.12,93.89,0.001338,76.18,82.58,77.42,88.48,71.48,0.00119,88.18,91.43,92.09,90.78,86.52
56,0.000259,92.74,94.26,90.73,98.07,91.28,0.000957,85.88,88.24,94.24,82.95,87.0,0.000969,87.29,90.61,97.37,84.73,89.37
58,0.000237,94.67,95.77,93.44,98.22,93.63,0.000516,92.35,94.01,94.01,94.01,91.72,0.000109,97.96,98.38,96.81,100.0,97.32
60,0.000136,96.62,97.32,95.69,99.0,95.89,0.000501,93.24,94.74,94.09,95.39,92.41,0.004075,74.16,75.79,69.23,83.72,74.47
61,0.000197,95.07,96.08,93.95,98.31,94.1,0.000832,91.18,92.92,95.17,90.78,91.33,0.002357,84.09,87.04,83.93,90.38,82.69
62,0.000204,94.55,95.62,93.14,98.24,93.55,0.00053,92.94,94.59,92.51,96.77,91.48,0.00565,72.39,78.47,96.47,66.13,79.22
63,0.000229,94.37,95.49,92.89,98.23,93.32,0.001005,77.06,83.12,78.37,88.48,72.69,0.000432,95.72,97.06,97.78,96.35,95.18
Average,0.000227,94.36,95.54,93.02,98.22,93.21,0.000725,87.5,90.53,88.75,92.56,85.57,0.00205,81.52,84.4,83.51,87.34,82.03
