test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,94.72,95.87,93.47,98.39,93.55,0.00,83.82,87.58,85.84,89.40,81.69,0.00,68.75,67.53,50.98,100.00,76.85,15.07,20.05
34,0.00,96.65,97.31,95.76,98.90,95.99,0.00,95.00,96.13,95.05,97.24,94.15,0.00,100.00,100.00,100.00,100.00,100.00,-5.00,-3.87
36,0.00,93.69,95.01,92.46,97.71,92.49,0.00,91.47,93.45,91.59,95.39,89.97,0.00,69.39,77.61,66.67,92.86,65.48,22.08,15.84
37,0.00,96.51,97.19,95.72,98.71,95.88,0.00,97.06,97.72,96.83,98.62,96.46,0.00,83.97,88.65,85.42,92.13,79.40,13.09,9.07
38,0.00,94.32,95.52,93.06,98.12,93.16,0.00,84.12,88.05,84.68,91.71,81.22,0.00,72.61,78.17,70.00,88.51,70.68,11.51,9.88
43,0.00,93.39,94.76,91.98,97.71,92.15,0.00,92.35,93.98,94.42,93.55,91.90,0.00,91.92,94.37,91.78,97.10,88.55,0.43,-0.38
44,0.00,94.68,95.83,93.54,98.23,93.55,0.00,91.76,93.46,94.79,92.17,91.61,0.00,77.17,80.27,74.21,87.41,76.48,14.60,13.19
45,0.00,96.14,96.84,95.16,98.58,95.52,0.00,92.35,94.06,93.21,94.93,91.37,0.00,80.87,89.11,100.00,80.36,90.18,11.48,4.96
46,0.00,93.97,95.35,92.77,98.07,92.54,0.00,87.65,90.75,86.92,94.93,84.86,0.00,90.50,88.89,80.85,98.70,92.03,-2.85,1.86
49,0.00,95.58,96.50,94.33,98.77,94.60,0.00,95.00,96.07,96.30,95.85,94.67,0.00,81.29,84.34,77.78,92.11,80.18,13.71,11.74
50,0.00,92.61,94.18,91.50,97.03,91.28,0.00,90.59,92.49,94.26,90.78,90.51,0.00,94.55,95.38,91.18,100.00,93.75,-3.96,-2.90
51,0.00,93.31,94.73,91.85,97.80,91.97,0.00,91.47,93.42,91.96,94.93,90.15,0.00,77.97,78.69,88.89,70.59,79.29,13.50,14.74
52,0.00,94.81,95.91,93.64,98.29,93.73,0.00,89.12,91.80,88.46,95.39,86.72,0.00,85.42,86.62,82.93,90.67,85.19,3.70,5.17
53,0.00,92.47,94.11,90.75,97.72,90.91,0.00,88.24,90.74,91.16,90.32,87.44,0.00,80.20,83.87,81.25,86.67,78.70,8.04,6.87
54,0.00,94.30,95.50,93.06,98.06,93.17,0.00,86.47,88.67,95.24,82.95,87.82,0.00,74.17,74.51,86.36,65.52,75.73,12.30,14.16
55,0.00,95.01,96.00,93.77,98.34,94.09,0.00,87.06,89.62,91.79,87.56,86.87,0.01,81.77,85.26,97.27,75.89,85.52,5.29,4.36
56,0.00,96.39,97.09,95.09,99.17,95.62,0.00,88.82,91.24,91.24,91.24,87.90,0.00,82.32,87.20,91.60,83.21,81.60,6.50,4.04
58,0.00,93.25,94.69,91.63,97.95,91.86,0.00,74.71,81.30,76.95,86.18,70.32,0.00,82.99,86.91,83.00,91.21,80.43,-8.29,-5.61
60,0.00,94.35,95.56,92.95,98.32,93.13,0.00,83.53,86.47,90.86,82.49,83.93,0.00,79.78,81.25,73.58,90.70,80.13,3.75,5.22
61,0.00,95.23,96.21,94.05,98.47,94.26,0.00,83.24,86.46,89.22,83.87,82.99,0.00,72.73,78.57,73.33,84.62,70.09,10.51,7.89
62,0.00,93.98,95.18,92.41,98.13,92.86,0.00,90.29,92.34,92.99,91.71,89.75,0.00,79.14,84.55,96.88,75.00,83.65,11.15,7.80
63,0.00,93.63,94.93,91.80,98.29,92.37,0.00,88.53,90.91,91.98,89.86,88.02,0.00,92.51,94.66,99.20,90.51,94.26,-3.98,-3.75
