======================================================================
DUALSTREAMBASE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          68.75          67.53           50.98       100.00         83.82         87.58   20.05
          34         100.00         100.00          100.00       100.00         95.00         96.13   -3.87
          36          69.39          77.61           66.67        92.86         91.47         93.45   15.84
          37          83.97          88.65           85.42        92.13         97.06         97.72    9.07
          38          72.61          78.17           70.00        88.51         84.12         88.05    9.88
          43          91.92          94.37           91.78        97.10         92.35         93.98   -0.38
          44          77.17          80.27           74.21        87.41         91.76         93.46   13.19
          45          80.87          89.11          100.00        80.36         92.35         94.06    4.96
          46          90.50          88.89           80.85        98.70         87.65         90.75    1.86
          49          81.29          84.34           77.78        92.11         95.00         96.07   11.74
          50          94.55          95.38           91.18       100.00         90.59         92.49   -2.90
          51          77.97          78.69           88.89        70.59         91.47         93.42   14.74
          52          85.42          86.62           82.93        90.67         89.12         91.80    5.17
          53          80.20          83.87           81.25        86.67         88.24         90.74    6.87
          54          74.17          74.51           86.36        65.52         86.47         88.67   14.16
          55          81.77          85.26           97.27        75.89         87.06         89.62    4.36
          56          82.32          87.20           91.60        83.21         88.82         91.24    4.04
          58          82.99          86.91           83.00        91.21         74.71         81.30   -5.61
          60          79.78          81.25           73.58        90.70         83.53         86.47    5.22
          61          72.73          78.57           73.33        84.62         83.24         86.46    7.89
          62          79.14          84.55           96.88        75.00         90.29         92.34    7.80
          63          92.51          94.66           99.20        90.51         88.53         90.91   -3.75
-----------------------------------------------------------------------------------------------------------
AVERAGE            81.82            84.84            83.78            87.90            88.76            91.22             6.38
