fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.000204,94.72,95.87,93.47,98.39,93.55,0.000813,83.82,87.58,85.84,89.4,81.69,0.002459,68.75,67.53,50.98,100.0,76.85,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
2,0.000137,96.65,97.31,95.76,98.9,95.99,0.000299,95.0,96.13,95.05,97.24,94.15,0.000244,100.0,100.0,100.0,100.0,100.0,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
3,0.000253,93.69,95.01,92.46,97.71,92.49,0.000421,91.47,93.45,91.59,95.39,89.97,0.003303,69.39,77.61,66.67,92.86,65.48,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
4,0.000147,96.51,97.19,95.72,98.71,95.88,0.000326,97.06,97.72,96.83,98.62,96.46,0.001217,83.97,88.65,85.42,92.13,79.4,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
5,0.000238,94.32,95.52,93.06,98.12,93.16,0.000672,84.12,88.05,84.68,91.71,81.22,0.002043,72.61,78.17,70.0,88.51,70.68,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
6,0.000254,93.39,94.76,91.98,97.71,92.15,0.000536,92.35,93.98,94.42,93.55,91.9,0.000635,91.92,94.37,91.78,97.1,88.55,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
7,0.000232,94.68,95.83,93.54,98.23,93.55,0.000635,91.76,93.46,94.79,92.17,91.61,0.002311,77.17,80.27,74.21,87.41,76.48,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
8,0.000153,96.14,96.84,95.16,98.58,95.52,0.000357,92.35,94.06,93.21,94.93,91.37,0.000778,80.87,89.11,100.0,80.36,90.18,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
9,0.000256,93.97,95.35,92.77,98.07,92.54,0.00047,87.65,90.75,86.92,94.93,84.86,0.001442,90.5,88.89,80.85,98.7,92.03,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
10,0.000169,95.58,96.5,94.33,98.77,94.6,0.000327,95.0,96.07,96.3,95.85,94.67,0.004197,81.29,84.34,77.78,92.11,80.18,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
11,0.000278,92.61,94.18,91.5,97.03,91.28,0.00064,90.59,92.49,94.26,90.78,90.51,0.000174,94.55,95.38,91.18,100.0,93.75,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
12,0.000239,93.31,94.73,91.85,97.8,91.97,0.000618,91.47,93.42,91.96,94.93,90.15,0.00463,77.97,78.69,88.89,70.59,79.29,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
13,0.000215,94.81,95.91,93.64,98.29,93.73,0.000566,89.12,91.8,88.46,95.39,86.72,0.001069,85.42,86.62,82.93,90.67,85.19,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
14,0.000298,92.47,94.11,90.75,97.72,90.91,0.000732,88.24,90.74,91.16,90.32,87.44,0.001286,80.2,83.87,81.25,86.67,78.7,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
15,0.000246,94.3,95.5,93.06,98.06,93.17,0.001536,86.47,88.67,95.24,82.95,87.82,0.003839,74.17,74.51,86.36,65.52,75.73,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
16,0.000204,95.01,96.0,93.77,98.34,94.09,0.000872,87.06,89.62,91.79,87.56,86.87,0.005167,81.77,85.26,97.27,75.89,85.52,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
17,0.00014,96.39,97.09,95.09,99.17,95.62,0.000678,88.82,91.24,91.24,91.24,87.9,0.001002,82.32,87.2,91.6,83.21,81.6,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
18,0.000285,93.25,94.69,91.63,97.95,91.86,0.000986,74.71,81.3,76.95,86.18,70.32,0.001314,82.99,86.91,83.0,91.21,80.43,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
19,0.000229,94.35,95.56,92.95,98.32,93.13,0.000942,83.53,86.47,90.86,82.49,83.93,0.001676,79.78,81.25,73.58,90.7,80.13,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
20,0.000184,95.23,96.21,94.05,98.47,94.26,0.001076,83.24,86.46,89.22,83.87,82.99,0.002703,72.73,78.57,73.33,84.62,70.09,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
21,0.00023,93.98,95.18,92.41,98.13,92.86,0.000439,90.29,92.34,92.99,91.71,89.75,0.002868,79.14,84.55,96.88,75.0,83.65,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
22,0.00025,93.63,94.93,91.8,98.29,92.37,0.000614,88.53,90.91,91.98,89.86,88.02,0.00081,92.51,94.66,99.2,90.51,94.26,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
,0.00022,94.5,95.65,93.22,98.22,93.39,0.000662,88.76,91.21,91.17,91.41,87.74,0.002053,81.82,84.84,83.78,87.9,82.19,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,,,,,
