test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,90.23,92.57,87.74,97.97,87.74,0.00,89.41,91.71,91.71,91.71,88.54,0.01,65.00,57.58,47.50,73.08,67.09,24.41,34.13
34,0.00,89.62,92.02,86.95,97.70,87.28,0.00,75.59,83.10,74.45,94.01,68.55,0.00,74.36,83.87,81.25,86.67,60.00,1.23,-0.78
36,0.00,89.65,92.03,87.36,97.24,87.39,0.00,82.94,87.50,82.19,93.55,78.89,0.00,57.14,71.23,57.78,92.86,51.19,25.80,16.27
37,0.00,88.78,91.36,86.31,97.04,86.41,0.00,84.41,88.79,82.03,96.77,79.69,0.00,73.28,81.87,75.96,88.76,64.62,11.13,6.93
38,0.00,88.62,91.34,86.14,97.20,85.98,0.00,87.06,90.39,85.89,95.39,83.87,0.00,61.15,65.54,64.44,66.67,60.48,25.91,24.86
43,0.00,92.80,94.32,91.16,97.71,91.39,0.00,85.29,89.08,84.65,94.01,81.96,0.00,79.80,84.37,91.53,78.26,80.80,5.50,4.71
44,0.00,89.33,91.86,87.39,96.80,86.94,0.00,87.06,90.00,88.79,91.24,85.46,0.00,81.10,82.98,79.59,86.67,80.73,5.96,7.02
45,0.00,89.46,91.74,86.63,97.49,87.44,0.00,80.59,86.02,79.61,93.55,75.64,0.00,100.00,100.00,100.00,100.00,100.00,-19.41,-13.98
46,0.00,87.74,90.89,85.42,97.11,84.47,0.00,76.76,83.91,75.18,94.93,69.82,0.00,81.50,77.30,73.26,81.82,81.56,-4.74,6.61
49,0.00,89.54,91.95,87.61,96.74,87.34,0.00,81.76,86.22,83.26,89.40,78.85,0.00,66.19,71.17,66.67,76.32,65.14,15.58,15.06
50,0.00,89.58,92.00,87.21,97.35,87.23,0.00,80.59,85.20,82.97,87.56,77.93,0.00,90.91,92.42,87.14,98.39,89.82,-10.32,-7.22
51,0.00,89.75,92.13,87.28,97.54,87.42,0.00,85.59,89.60,83.07,97.24,81.14,0.00,67.80,75.32,67.44,85.29,64.65,17.79,14.27
52,0.00,90.42,92.65,88.10,97.70,88.15,0.00,79.12,84.33,80.93,88.02,75.72,0.00,72.92,77.46,68.37,89.33,72.20,6.20,6.87
53,0.00,89.96,92.27,87.68,97.35,87.76,0.00,85.88,89.09,87.89,90.32,84.19,0.00,63.37,66.67,72.55,61.67,63.76,22.52,22.42
54,0.00,87.94,90.84,85.38,97.04,85.19,0.00,83.53,87.16,86.76,87.56,81.99,0.00,70.20,73.68,75.00,72.41,69.80,13.33,13.47
55,0.00,89.82,92.12,87.08,97.79,87.61,0.00,87.65,90.05,92.68,87.56,87.68,0.00,79.80,85.51,85.21,85.82,75.97,7.84,4.54
56,0.00,88.12,90.78,85.93,96.20,85.91,0.00,86.18,89.58,86.32,93.09,83.54,0.00,65.75,72.57,86.32,62.60,68.30,20.43,17.01
58,0.00,89.61,92.06,86.75,98.06,87.12,0.00,80.59,86.36,78.28,96.31,74.58,0.00,89.12,91.67,87.13,96.70,86.74,-8.53,-5.30
60,0.00,89.55,92.07,86.65,98.21,86.87,0.00,84.41,88.65,82.80,95.39,80.22,0.00,62.92,66.67,58.93,76.74,63.37,21.49,21.98
61,0.00,88.97,91.60,86.11,97.84,86.32,0.00,86.47,90.30,83.27,98.62,81.83,0.01,64.77,70.48,69.81,71.15,63.35,21.70,19.82
62,0.00,89.59,91.91,86.87,97.59,87.43,0.00,80.88,86.20,79.92,93.55,76.04,0.00,68.10,76.99,85.29,70.16,65.85,12.78,9.21
63,0.00,88.57,91.15,85.95,97.02,86.27,0.00,83.82,88.27,82.14,95.39,79.40,0.00,74.33,80.80,89.38,73.72,74.86,9.49,7.47
