======================================================================
SINGLESTREAMTRANSFORMER - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          65.00          57.58           47.50        73.08         89.41         91.71   34.13
          34          74.36          83.87           81.25        86.67         75.59         83.10   -0.78
          36          57.14          71.23           57.78        92.86         82.94         87.50   16.27
          37          73.28          81.87           75.96        88.76         84.41         88.79    6.93
          38          61.15          65.54           64.44        66.67         87.06         90.39   24.86
          43          79.80          84.37           91.53        78.26         85.29         89.08    4.71
          44          81.10          82.98           79.59        86.67         87.06         90.00    7.02
          45         100.00         100.00          100.00       100.00         80.59         86.02  -13.98
          46          81.50          77.30           73.26        81.82         76.76         83.91    6.61
          49          66.19          71.17           66.67        76.32         81.76         86.22   15.06
          50          90.91          92.42           87.14        98.39         80.59         85.20   -7.22
          51          67.80          75.32           67.44        85.29         85.59         89.60   14.27
          52          72.92          77.46           68.37        89.33         79.12         84.33    6.87
          53          63.37          66.67           72.55        61.67         85.88         89.09   22.42
          54          70.20          73.68           75.00        72.41         83.53         87.16   13.47
          55          79.80          85.51           85.21        85.82         87.65         90.05    4.54
          56          65.75          72.57           86.32        62.60         86.18         89.58   17.01
          58          89.12          91.67           87.13        96.70         80.59         86.36   -5.30
          60          62.92          66.67           58.93        76.74         84.41         88.65   21.98
          61          64.77          70.48           69.81        71.15         86.47         90.30   19.82
          62          68.10          76.99           85.29        70.16         80.88         86.20    9.21
          63          74.33          80.80           89.38        73.72         83.82         88.27    7.47
-----------------------------------------------------------------------------------------------------------
AVERAGE            73.16            77.55            75.93            80.69            83.44            87.80            10.24
