test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.00037,90.23,92.57,87.74,97.97,87.74,0.000691,89.41,91.71,91.71,91.71,88.54,0.005583,65.0,57.58,47.5,73.08,67.09
34,0.000395,89.62,92.02,86.95,97.7,87.28,0.001026,75.59,83.1,74.45,94.01,68.55,0.002981,74.36,83.87,81.25,86.67,60.0
36,0.000386,89.65,92.03,87.36,97.24,87.39,0.000815,82.94,87.5,82.19,93.55,78.89,0.00346,57.14,71.23,57.78,92.86,51.19
37,0.000402,88.78,91.36,86.31,97.04,86.41,0.000659,84.41,88.79,82.03,96.77,79.69,0.001195,73.28,81.87,75.96,88.76,64.62
38,0.000408,88.62,91.34,86.14,97.2,85.98,0.000665,87.06,90.39,85.89,95.39,83.87,0.002234,61.15,65.54,64.44,66.67,60.48
43,0.000261,92.8,94.32,91.16,97.71,91.39,0.000613,85.29,89.08,84.65,94.01,81.96,0.00182,79.8,84.37,91.53,78.26,80.8
44,0.000358,89.33,91.86,87.39,96.8,86.94,0.000809,87.06,90.0,88.79,91.24,85.46,0.001493,81.1,82.98,79.59,86.67,80.73
45,0.000368,89.46,91.74,86.63,97.49,87.44,0.000795,80.59,86.02,79.61,93.55,75.64,6.1e-05,100.0,100.0,100.0,100.0,100.0
46,0.000455,87.74,90.89,85.42,97.11,84.47,0.00111,76.76,83.91,75.18,94.93,69.82,0.001189,81.5,77.3,73.26,81.82,81.56
49,0.000379,89.54,91.95,87.61,96.74,87.34,0.001001,81.76,86.22,83.26,89.4,78.85,0.004316,66.19,71.17,66.67,76.32,65.14
50,0.000375,89.58,92.0,87.21,97.35,87.23,0.000948,80.59,85.2,82.97,87.56,77.93,0.000459,90.91,92.42,87.14,98.39,89.82
51,0.000393,89.75,92.13,87.28,97.54,87.42,0.000573,85.59,89.6,83.07,97.24,81.14,0.002381,67.8,75.32,67.44,85.29,64.65
52,0.00034,90.42,92.65,88.1,97.7,88.15,0.001029,79.12,84.33,80.93,88.02,75.72,0.001094,72.92,77.46,68.37,89.33,72.2
53,0.000354,89.96,92.27,87.68,97.35,87.76,0.000684,85.88,89.09,87.89,90.32,84.19,0.002384,63.37,66.67,72.55,61.67,63.76
54,0.000476,87.94,90.84,85.38,97.04,85.19,0.001132,83.53,87.16,86.76,87.56,81.99,0.003135,70.2,73.68,75.0,72.41,69.8
55,0.000393,89.82,92.12,87.08,97.79,87.61,0.000758,87.65,90.05,92.68,87.56,87.68,0.001773,79.8,85.51,85.21,85.82,75.97
56,0.000423,88.12,90.78,85.93,96.2,85.91,0.000702,86.18,89.58,86.32,93.09,83.54,0.002458,65.75,72.57,86.32,62.6,68.3
58,0.000403,89.61,92.06,86.75,98.06,87.12,0.00076,80.59,86.36,78.28,96.31,74.58,0.00076,89.12,91.67,87.13,96.7,86.74
60,0.000379,89.55,92.07,86.65,98.21,86.87,0.000615,84.41,88.65,82.8,95.39,80.22,0.004358,62.92,66.67,58.93,76.74,63.37
61,0.000414,88.97,91.6,86.11,97.84,86.32,0.000513,86.47,90.3,83.27,98.62,81.83,0.008093,64.77,70.48,69.81,71.15,63.35
62,0.000381,89.59,91.91,86.87,97.59,87.43,0.000826,80.88,86.2,79.92,93.55,76.04,0.001975,68.1,76.99,85.29,70.16,65.85
63,0.00044,88.57,91.15,85.95,97.02,86.27,0.000818,83.82,88.27,82.14,95.39,79.4,0.001396,74.33,80.8,89.38,73.72,74.86
Average,0.000389,89.44,91.89,86.99,97.4,87.08,0.000797,83.44,87.8,83.4,92.96,79.8,0.002482,73.16,77.55,75.93,80.69,71.38
