test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,88.16,91.10,85.45,97.55,85.13,0.00,87.65,90.45,89.24,91.71,86.10,0.00,65.00,58.82,47.62,76.92,68.09,22.65,31.63
34,0.00,90.51,92.67,87.96,97.91,88.37,0.00,86.76,89.75,88.74,90.78,85.23,0.00,92.31,95.08,93.55,96.67,87.22,-5.54,-5.33
36,0.00,90.26,92.49,87.96,97.50,88.10,0.00,80.59,86.25,78.71,95.39,74.93,0.00,61.22,74.67,59.57,100.00,54.76,19.36,11.58
37,0.00,90.33,92.51,87.85,97.69,88.22,0.00,79.41,85.42,77.95,94.47,73.66,0.00,80.15,87.25,77.39,100.00,69.05,-0.74,-1.84
38,0.00,89.08,91.67,86.61,97.37,86.54,0.00,82.35,85.92,87.56,84.33,81.60,0.00,70.70,74.44,72.04,77.01,69.93,11.65,11.47
43,0.00,92.74,94.31,90.54,98.40,91.11,0.00,82.06,86.88,81.45,93.09,77.84,0.01,67.68,75.38,80.33,71.01,65.51,14.38,11.50
44,0.00,87.96,90.95,85.34,97.35,84.95,0.00,82.35,87.23,81.03,94.47,77.72,0.00,69.69,74.07,67.90,81.48,68.89,12.67,13.16
45,0.00,88.71,91.18,85.85,97.22,86.56,0.00,80.29,85.65,80.00,92.17,75.76,0.00,100.00,100.00,100.00,100.00,100.00,-19.71,-14.35
46,0.00,89.76,92.31,87.57,97.59,87.02,0.00,88.53,91.31,88.36,94.47,86.26,0.00,80.00,77.78,67.96,90.91,82.04,8.53,13.54
49,0.00,90.60,92.80,88.02,98.13,88.29,0.00,75.88,83.06,75.28,92.63,69.48,0.00,56.83,65.91,58.00,76.32,54.82,19.05,17.15
50,0.00,88.50,91.23,86.04,97.08,85.90,0.00,83.53,88.03,82.07,94.93,79.17,0.00,88.18,89.92,86.57,93.55,87.40,-4.65,-1.89
51,0.00,88.52,91.25,85.92,97.28,85.91,0.00,84.71,88.89,82.87,95.85,80.45,0.00,61.02,71.60,61.70,85.29,56.65,23.69,17.28
52,0.00,88.96,91.57,86.76,96.96,86.48,0.00,81.18,86.78,78.65,96.77,75.22,0.00,68.75,73.99,65.31,85.33,68.03,12.43,12.79
53,0.00,88.07,90.90,85.65,96.82,85.47,0.00,87.35,90.16,89.55,90.78,86.04,0.00,83.17,87.22,79.45,96.67,80.04,4.18,2.94
54,0.00,87.45,90.47,84.98,96.72,84.64,0.00,67.65,77.08,70.34,85.25,60.92,0.00,62.25,71.36,63.39,81.61,58.77,5.40,5.73
55,0.00,87.60,90.50,84.80,97.01,84.98,0.00,79.12,85.18,77.86,94.01,73.43,0.00,87.19,90.91,89.66,92.20,84.00,-8.07,-5.73
56,0.00,88.42,91.10,85.47,97.52,85.93,0.00,82.35,86.43,84.89,88.02,80.19,0.00,67.96,73.87,90.11,62.60,72.30,14.40,12.55
58,0.00,89.81,92.16,87.36,97.52,87.54,0.00,85.59,88.31,91.58,85.25,85.72,0.00,83.67,86.36,89.41,83.52,83.72,1.91,1.94
60,0.00,88.09,90.98,85.53,97.16,85.29,0.00,78.24,83.48,80.95,86.18,75.20,0.00,68.54,73.08,62.30,88.37,69.19,9.70,10.41
61,0.00,89.88,92.19,87.71,97.15,87.71,0.00,85.00,88.59,86.09,91.24,82.61,0.01,62.50,70.27,66.10,75.00,59.72,22.50,18.32
62,0.00,89.69,91.96,87.21,97.26,87.65,0.00,88.24,91.19,87.34,95.39,85.50,0.00,86.50,91.41,88.64,94.35,77.95,1.73,-0.22
63,0.00,90.04,92.23,87.62,97.35,88.06,0.00,86.76,89.93,87.39,92.63,84.52,0.00,78.61,84.85,88.19,81.75,75.88,8.16,5.08
