======================================================================
DUALSTREAMBASE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          65.00          58.82           47.62        76.92         87.65         90.45   31.63
          34          92.31          95.08           93.55        96.67         86.76         89.75   -5.33
          36          61.22          74.67           59.57       100.00         80.59         86.25   11.58
          37          80.15          87.25           77.39       100.00         79.41         85.42   -1.84
          38          70.70          74.44           72.04        77.01         82.35         85.92   11.47
          43          67.68          75.38           80.33        71.01         82.06         86.88   11.50
          44          69.69          74.07           67.90        81.48         82.35         87.23   13.16
          45         100.00         100.00          100.00       100.00         80.29         85.65  -14.35
          46          80.00          77.78           67.96        90.91         88.53         91.31   13.54
          49          56.83          65.91           58.00        76.32         75.88         83.06   17.15
          50          88.18          89.92           86.57        93.55         83.53         88.03   -1.89
          51          61.02          71.60           61.70        85.29         84.71         88.89   17.28
          52          68.75          73.99           65.31        85.33         81.18         86.78   12.79
          53          83.17          87.22           79.45        96.67         87.35         90.16    2.94
          54          62.25          71.36           63.39        81.61         67.65         77.08    5.73
          55          87.19          90.91           89.66        92.20         79.12         85.18   -5.73
          56          67.96          73.87           90.11        62.60         82.35         86.43   12.55
          58          83.67          86.36           89.41        83.52         85.59         88.31    1.94
          60          68.54          73.08           62.30        88.37         78.24         83.48   10.41
          61          62.50          70.27           66.10        75.00         85.00         88.59   18.32
          62          86.50          91.41           88.64        94.35         88.24         91.19   -0.22
          63          78.61          84.85           88.19        81.75         86.76         89.93    5.08
-----------------------------------------------------------------------------------------------------------
AVERAGE            74.63            79.47            75.24            85.93            82.53            87.09             7.62
