fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.000421,88.16,91.1,85.45,97.55,85.13,0.000679,87.65,90.45,89.24,91.71,86.1,0.002939,65.0,58.82,47.62,76.92,68.09,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
2,0.000366,90.51,92.67,87.96,97.91,88.37,0.000667,86.76,89.75,88.74,90.78,85.23,0.001377,92.31,95.08,93.55,96.67,87.22,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
3,0.000357,90.26,92.49,87.96,97.5,88.1,0.000787,80.59,86.25,78.71,95.39,74.93,0.003091,61.22,74.67,59.57,100.0,54.76,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
4,0.000351,90.33,92.51,87.85,97.69,88.22,0.000828,79.41,85.42,77.95,94.47,73.66,0.001329,80.15,87.25,77.39,100.0,69.05,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
5,0.000433,89.08,91.67,86.61,97.37,86.54,0.000917,82.35,85.92,87.56,84.33,81.6,0.00194,70.7,74.44,72.04,77.01,69.93,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
6,0.000248,92.74,94.31,90.54,98.4,91.11,0.000672,82.06,86.88,81.45,93.09,77.84,0.005337,67.68,75.38,80.33,71.01,65.51,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
7,0.000444,87.96,90.95,85.34,97.35,84.95,0.000838,82.35,87.23,81.03,94.47,77.72,0.001937,69.69,74.07,67.9,81.48,68.89,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
8,0.000409,88.71,91.18,85.85,97.22,86.56,0.00078,80.29,85.65,80.0,92.17,75.76,5.9e-05,100.0,100.0,100.0,100.0,100.0,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
9,0.000383,89.76,92.31,87.57,97.59,87.02,0.000513,88.53,91.31,88.36,94.47,86.26,0.001605,80.0,77.78,67.96,90.91,82.04,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
10,0.000372,90.6,92.8,88.02,98.13,88.29,0.00118,75.88,83.06,75.28,92.63,69.48,0.002557,56.83,65.91,58.0,76.32,54.82,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
11,0.000437,88.5,91.23,86.04,97.08,85.9,0.000821,83.53,88.03,82.07,94.93,79.17,0.000626,88.18,89.92,86.57,93.55,87.4,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
12,0.000409,88.52,91.25,85.92,97.28,85.91,0.000814,84.71,88.89,82.87,95.85,80.45,0.001704,61.02,71.6,61.7,85.29,56.65,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
13,0.000422,88.96,91.57,86.76,96.96,86.48,0.00079,81.18,86.78,78.65,96.77,75.22,0.003187,68.75,73.99,65.31,85.33,68.03,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
14,0.000418,88.07,90.9,85.65,96.82,85.47,0.000649,87.35,90.16,89.55,90.78,86.04,0.000976,83.17,87.22,79.45,96.67,80.04,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
15,0.000403,87.45,90.47,84.98,96.72,84.64,0.001299,67.65,77.08,70.34,85.25,60.92,0.001872,62.25,71.36,63.39,81.61,58.77,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
16,0.000451,87.6,90.5,84.8,97.01,84.98,0.000858,79.12,85.18,77.86,94.01,73.43,0.001142,87.19,90.91,89.66,92.2,84.0,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
17,0.000425,88.42,91.1,85.47,97.52,85.93,0.000894,82.35,86.43,84.89,88.02,80.19,0.002116,67.96,73.87,90.11,62.6,72.3,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
18,0.000368,89.81,92.16,87.36,97.52,87.54,0.000897,85.59,88.31,91.58,85.25,85.72,0.002256,83.67,86.36,89.41,83.52,83.72,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
19,0.000438,88.09,90.98,85.53,97.16,85.29,0.000981,78.24,83.48,80.95,86.18,75.2,0.001607,68.54,73.08,62.3,88.37,69.19,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
20,0.000391,89.88,92.19,87.71,97.15,87.71,0.000688,85.0,88.59,86.09,91.24,82.61,0.005269,62.5,70.27,66.1,75.0,59.72,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
21,0.000388,89.69,91.96,87.21,97.26,87.65,0.000522,88.24,91.19,87.34,95.39,85.5,0.000869,86.5,91.41,88.64,94.35,77.95,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
22,0.000383,90.04,92.23,87.62,97.35,88.06,0.000587,86.76,89.93,87.39,92.63,84.52,0.001733,78.61,84.85,88.19,81.75,75.88,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
,0.000396,89.23,91.75,86.74,97.39,86.81,0.000803,82.53,87.09,83.09,91.81,78.98,0.002069,74.63,79.47,75.24,85.93,72.45,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,,,,,
