test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,89.61,92.10,87.38,97.35,87.12,0.00,79.12,84.26,81.20,87.56,75.89,0.00,65.00,58.82,47.62,76.92,68.09,14.12,25.43
34,0.00,89.97,92.22,87.86,97.03,87.93,0.00,78.53,84.95,76.87,94.93,72.26,0.00,79.49,87.50,82.35,93.33,63.33,-0.96,-2.55
36,0.00,90.29,92.49,88.15,97.29,88.20,0.00,84.41,88.45,83.88,93.55,80.92,0.00,67.35,77.14,64.29,96.43,62.50,17.06,11.31
37,0.00,89.04,91.56,86.54,97.20,86.70,0.00,73.82,80.09,77.83,82.49,70.51,0.00,76.34,83.94,77.88,91.01,68.12,-2.51,-3.85
38,0.00,90.61,92.80,88.07,98.06,88.32,0.00,88.24,91.42,85.54,98.16,84.44,0.00,71.34,77.16,69.09,87.36,69.39,16.90,14.26
43,0.00,88.93,91.49,86.34,97.28,86.53,0.00,84.41,88.84,81.78,97.24,79.51,0.00,64.65,71.54,81.48,63.77,65.22,19.77,17.30
44,0.00,90.33,92.63,88.02,97.74,87.95,0.00,85.29,89.22,83.81,95.39,81.44,0.00,72.44,76.35,70.19,83.70,71.68,12.85,12.87
45,0.00,89.00,91.44,85.88,97.77,86.79,0.00,85.59,88.52,90.00,87.10,85.01,0.00,99.13,99.55,100.00,99.11,99.55,-13.54,-11.03
46,0.00,88.32,91.27,86.18,97.01,85.28,0.00,85.00,88.79,84.87,93.09,81.91,0.00,85.50,83.98,73.08,98.70,87.97,-0.50,4.81
49,0.00,91.42,93.38,89.16,98.02,89.40,0.00,86.76,89.66,89.45,89.86,85.58,0.00,58.99,65.87,60.44,72.37,57.61,27.77,23.79
50,0.00,89.58,91.98,87.43,97.03,87.32,0.00,75.59,83.23,74.10,94.93,68.20,0.00,90.91,92.31,88.24,96.77,90.05,-15.32,-9.08
51,0.00,90.58,92.73,88.24,97.70,88.46,0.00,72.06,79.39,75.00,84.33,67.37,0.00,62.71,70.27,65.00,76.47,60.24,9.35,9.12
52,0.00,88.73,91.37,86.82,96.42,86.34,0.00,73.82,82.16,72.70,94.47,65.93,0.00,69.44,76.34,63.96,94.67,68.35,4.38,5.82
53,0.00,89.12,91.68,86.51,97.51,86.61,0.00,78.82,84.35,79.84,89.40,74.78,0.00,83.17,87.02,80.28,95.00,80.43,-4.34,-2.68
54,0.00,90.56,92.72,88.32,97.58,88.44,0.00,68.24,76.82,71.89,82.49,62.79,0.00,73.51,79.38,71.96,88.51,70.82,-5.27,-2.56
55,0.00,89.38,91.75,87.03,97.01,87.26,0.00,81.76,86.97,79.92,95.39,76.56,0.00,79.80,85.61,84.72,86.52,75.52,1.96,1.36
56,0.00,89.73,92.02,87.19,97.41,87.62,0.00,80.59,85.33,82.40,88.48,77.57,0.00,72.93,78.97,90.20,70.23,75.11,7.66,6.36
58,0.00,92.62,94.24,90.56,98.22,90.97,0.00,77.35,83.58,77.78,90.32,72.40,0.00,78.23,82.61,81.72,83.52,76.58,-0.88,0.97
60,0.00,90.81,92.94,88.54,97.79,88.66,0.00,84.71,88.84,83.13,95.39,80.62,0.00,80.90,81.72,76.00,88.37,81.14,3.81,7.12
61,0.00,88.35,91.16,85.49,97.63,85.59,0.00,86.47,90.04,84.90,95.85,82.89,0.00,62.50,71.30,65.08,78.85,58.87,23.97,18.74
62,0.00,88.19,90.86,85.60,96.82,85.87,0.00,87.06,90.22,87.12,93.55,84.58,0.00,77.91,84.07,93.14,76.61,79.33,9.14,6.15
63,0.00,93.13,94.55,91.09,98.29,91.73,0.00,84.41,88.70,82.54,95.85,80.04,0.00,79.14,85.82,85.51,86.13,73.07,5.27,2.88
