======================================================================
SINGLESTREAMTRANSFORMERSE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          65.00          58.82           47.62        76.92         79.12         84.26   25.43
          34          79.49          87.50           82.35        93.33         78.53         84.95   -2.55
          36          67.35          77.14           64.29        96.43         84.41         88.45   11.31
          37          76.34          83.94           77.88        91.01         73.82         80.09   -3.85
          38          71.34          77.16           69.09        87.36         88.24         91.42   14.26
          43          64.65          71.54           81.48        63.77         84.41         88.84   17.30
          44          72.44          76.35           70.19        83.70         85.29         89.22   12.87
          45          99.13          99.55          100.00        99.11         85.59         88.52  -11.03
          46          85.50          83.98           73.08        98.70         85.00         88.79    4.81
          49          58.99          65.87           60.44        72.37         86.76         89.66   23.79
          50          90.91          92.31           88.24        96.77         75.59         83.23   -9.08
          51          62.71          70.27           65.00        76.47         72.06         79.39    9.12
          52          69.44          76.34           63.96        94.67         73.82         82.16    5.82
          53          83.17          87.02           80.28        95.00         78.82         84.35   -2.68
          54          73.51          79.38           71.96        88.51         68.24         76.82   -2.56
          55          79.80          85.61           84.72        86.52         81.76         86.97    1.36
          56          72.93          78.97           90.20        70.23         80.59         85.33    6.36
          58          78.23          82.61           81.72        83.52         77.35         83.58    0.97
          60          80.90          81.72           76.00        88.37         84.71         88.84    7.12
          61          62.50          71.30           65.08        78.85         86.47         90.04   18.74
          62          77.91          84.07           93.14        76.61         87.06         90.22    6.15
          63          79.14          85.82           85.51        86.13         84.41         88.70    2.88
-----------------------------------------------------------------------------------------------------------
AVERAGE            75.06            79.88            76.01            85.65            81.00            86.08             6.21
