fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.000367,89.61,92.1,87.38,97.35,87.12,0.000894,79.12,84.26,81.2,87.56,75.89,0.002457,65.0,58.82,47.62,76.92,68.09,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
2,0.000384,89.97,92.22,87.86,97.03,87.93,0.000852,78.53,84.95,76.87,94.93,72.26,0.001085,79.49,87.5,82.35,93.33,63.33,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
3,0.000355,90.29,92.49,88.15,97.29,88.2,0.000776,84.41,88.45,83.88,93.55,80.92,0.003505,67.35,77.14,64.29,96.43,62.5,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
4,0.000398,89.04,91.56,86.54,97.2,86.7,0.001058,73.82,80.09,77.83,82.49,70.51,0.00157,76.34,83.94,77.88,91.01,68.12,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
5,0.000357,90.61,92.8,88.07,98.06,88.32,0.000413,88.24,91.42,85.54,98.16,84.44,0.001914,71.34,77.16,69.09,87.36,69.39,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
6,0.000402,88.93,91.49,86.34,97.28,86.53,0.000667,84.41,88.84,81.78,97.24,79.51,0.004815,64.65,71.54,81.48,63.77,65.22,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
7,0.000376,90.33,92.63,88.02,97.74,87.95,0.000612,85.29,89.22,83.81,95.39,81.44,0.001701,72.44,76.35,70.19,83.7,71.68,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
8,0.000389,89.0,91.44,85.88,97.77,86.79,0.000861,85.59,88.52,90.0,87.1,85.01,0.000166,99.13,99.55,100.0,99.11,99.55,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
9,0.000428,88.32,91.27,86.18,97.01,85.28,0.000831,85.0,88.79,84.87,93.09,81.91,0.001364,85.5,83.98,73.08,98.7,87.97,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
10,0.000331,91.42,93.38,89.16,98.02,89.4,0.000608,86.76,89.66,89.45,89.86,85.58,0.004543,58.99,65.87,60.44,72.37,57.61,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
