test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,81.29,86.60,78.08,97.19,76.18,0.00,73.24,82.40,71.00,98.16,63.71,0.00,55.00,59.09,41.94,100.00,66.67,18.24,23.31
34,0.00,80.39,85.84,76.93,97.08,75.56,0.00,73.82,81.80,73.53,92.17,66.81,0.00,82.05,89.55,81.08,100.00,61.11,-8.23,-7.75
36,0.00,81.67,86.69,78.31,97.08,77.08,0.00,76.76,84.23,74.30,97.24,68.94,0.00,48.98,64.79,53.49,82.14,43.45,27.79,19.44
37,0.00,80.19,85.64,76.91,96.61,75.48,0.00,76.76,84.17,74.47,96.77,69.12,0.00,75.57,83.84,76.15,93.26,65.68,1.19,0.33
38,0.00,82.71,87.39,79.45,97.10,78.30,0.00,77.94,84.41,76.89,93.55,71.98,0.00,54.14,62.89,57.01,70.11,52.20,23.80,21.52
43,0.00,80.76,86.11,77.07,97.55,75.93,0.00,77.65,84.86,74.74,98.16,69.81,0.00,75.76,81.25,88.14,75.36,76.01,1.89,3.61
44,0.00,80.62,86.24,77.19,97.68,75.15,0.00,79.71,85.89,77.21,96.77,73.18,0.00,78.35,81.23,75.32,88.15,77.69,1.36,4.66
45,0.00,79.80,85.26,75.89,97.28,75.40,0.00,71.47,81.02,70.41,95.39,62.33,0.00,100.00,100.00,100.00,100.00,100.00,-28.53,-18.98
46,0.00,79.66,85.82,76.49,97.75,73.33,0.00,72.35,81.85,70.43,97.70,62.67,0.00,38.50,55.60,38.50,100.00,50.00,33.85,26.26
49,0.00,81.36,86.54,78.05,97.11,76.53,0.00,73.82,81.65,73.88,91.24,67.17,0.00,60.43,70.90,59.29,88.16,57.57,13.39,10.75
50,0.00,81.01,86.33,77.58,97.29,76.09,0.00,73.82,82.38,72.22,95.85,65.41,0.00,80.91,85.52,74.70,100.00,78.12,-7.09,-3.14
51,0.00,81.36,86.54,77.81,97.49,76.54,0.00,75.88,83.60,73.85,96.31,68.08,0.00,66.10,75.00,65.22,88.24,62.12,9.78,8.60
52,0.00,81.53,86.72,78.09,97.49,76.56,0.00,74.71,82.66,73.48,94.47,67.15,0.00,59.72,68.13,57.94,82.67,58.72,14.98,14.53
53,0.00,79.86,85.61,76.36,97.40,74.63,0.00,75.88,83.47,74.19,95.39,68.43,0.00,75.25,82.01,72.15,95.00,70.67,0.63,1.45
54,0.00,80.59,86.05,77.20,97.20,75.57,0.00,68.82,78.46,70.18,88.94,61.14,0.00,63.58,72.64,64.04,83.91,59.92,5.25,5.82
55,0.00,79.31,85.02,76.00,96.46,74.54,0.00,80.00,85.89,78.11,95.39,74.12,0.00,81.77,86.25,90.62,82.27,81.46,-1.77,-0.35
56,0.00,81.53,86.44,78.04,96.86,77.33,0.00,74.71,82.73,73.31,94.93,66.98,0.00,80.11,86.96,82.76,91.60,70.80,-5.40,-4.23
58,0.00,80.02,85.72,76.37,97.68,74.81,0.00,76.18,83.83,73.94,96.77,68.31,0.00,92.52,94.30,89.22,100.00,90.18,-16.34,-10.47
60,0.00,79.94,85.71,76.55,97.37,74.56,0.00,74.41,82.91,72.26,97.24,65.69,0.00,67.42,73.87,60.29,95.35,68.33,7.00,9.03
61,0.00,81.38,86.53,77.90,97.31,76.62,0.00,73.53,81.56,73.43,91.71,66.58,0.00,55.68,66.67,60.00,75.00,51.39,17.85,14.89
62,0.00,79.51,85.21,75.78,97.31,74.71,0.00,73.53,82.42,71.53,97.24,64.47,0.00,77.30,86.04,80.85,91.94,61.35,-3.77,-3.62
63,0.00,80.89,86.07,77.17,97.29,76.44,0.00,75.59,83.30,73.93,95.39,68.02,0.00,87.17,91.84,85.99,98.54,77.27,-11.58,-8.54
