======================================================================
DUALSTREAMROBUST - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          55.00          59.09           41.94       100.00         73.24         82.40   23.31
          34          82.05          89.55           81.08       100.00         73.82         81.80   -7.75
          36          48.98          64.79           53.49        82.14         76.76         84.23   19.44
          37          75.57          83.84           76.15        93.26         76.76         84.17    0.33
          38          54.14          62.89           57.01        70.11         77.94         84.41   21.52
          43          75.76          81.25           88.14        75.36         77.65         84.86    3.61
          44          78.35          81.23           75.32        88.15         79.71         85.89    4.66
          45         100.00         100.00          100.00       100.00         71.47         81.02  -18.98
          46          38.50          55.60           38.50       100.00         72.35         81.85   26.26
          49          60.43          70.90           59.29        88.16         73.82         81.65   10.75
          50          80.91          85.52           74.70       100.00         73.82         82.38   -3.14
          51          66.10          75.00           65.22        88.24         75.88         83.60    8.60
          52          59.72          68.13           57.94        82.67         74.71         82.66   14.53
          53          75.25          82.01           72.15        95.00         75.88         83.47    1.45
          54          63.58          72.64           64.04        83.91         68.82         78.46    5.82
          55          81.77          86.25           90.62        82.27         80.00         85.89   -0.35
          56          80.11          86.96           82.76        91.60         74.71         82.73   -4.23
          58          92.52          94.30           89.22       100.00         76.18         83.83  -10.47
          60          67.42          73.87           60.29        95.35         74.41         82.91    9.03
          61          55.68          66.67           60.00        75.00         73.53         81.56   14.89
          62          77.30          86.04           80.85        91.94         73.53         82.42   -3.62
          63          87.17          91.84           85.99        98.54         75.59         83.30   -8.54
-----------------------------------------------------------------------------------------------------------
AVERAGE            70.74            78.11            70.67            90.08            75.03            82.98             4.87
