fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.000593,81.29,86.6,78.08,97.19,76.18,0.000898,73.24,82.4,71.0,98.16,63.71,0.002157,55.0,59.09,41.94,100.0,66.67,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
2,0.0006,80.39,85.84,76.93,97.08,75.56,0.00078,73.82,81.8,73.53,92.17,66.81,0.000827,82.05,89.55,81.08,100.0,61.11,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
3,0.000598,81.67,86.69,78.31,97.08,77.08,0.000798,76.76,84.23,74.3,97.24,68.94,0.003699,48.98,64.79,53.49,82.14,43.45,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
4,0.000611,80.19,85.64,76.91,96.61,75.48,0.00075,76.76,84.17,74.47,96.77,69.12,0.000919,75.57,83.84,76.15,93.26,65.68,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
5,0.000572,82.71,87.39,79.45,97.1,78.3,0.000814,77.94,84.41,76.89,93.55,71.98,0.002182,54.14,62.89,57.01,70.11,52.2,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
6,0.000609,80.76,86.11,77.07,97.55,75.93,0.000703,77.65,84.86,74.74,98.16,69.81,0.004999,75.76,81.25,88.14,75.36,76.01,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
7,0.000613,80.62,86.24,77.19,97.68,75.15,0.000794,79.71,85.89,77.21,96.77,73.18,0.000958,78.35,81.23,75.32,88.15,77.69,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
8,0.000625,79.8,85.26,75.89,97.28,75.4,0.001009,71.47,81.02,70.41,95.39,62.33,2e-05,100.0,100.0,100.0,100.0,100.0,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
9,0.000633,79.66,85.82,76.49,97.75,73.33,0.001099,72.35,81.85,70.43,97.7,62.67,0.002293,38.5,55.6,38.5,100.0,50.0,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
10,0.000604,81.36,86.54,78.05,97.11,76.53,0.001121,73.82,81.65,73.88,91.24,67.17,0.002548,60.43,70.9,59.29,88.16,57.57,1458.0,919.0,36.97,0.0,0.0,159.0,0.0,0.0,False,,,,
