fold,test_subject,phase,epoch,loss,accuracy,f1_score,precision,recall,auc
1,31,train,1,0.0010618432307416953,66.37540453074435,77.58360302049623,66.24907885040531,93.59708485163976,57.61975713925016
1,31,val,1,0.0015141562065657448,58.82352941176471,68.0365296803653,67.42081447963801,68.66359447004609,55.06350455209621
1,31,train,2,0.0008931963140910498,69.48220064724919,79.8288770053476,67.75599128540306,97.13690786048933,60.587273434094115
1,31,val,2,0.0012387634528910412,67.05882352941175,76.95473251028807,69.51672862453532,86.17511520737328,59.754224270353305
1,31,train,3,0.000820268138423321,73.13915857605178,81.75021987686895,70.76513132851161,96.7725143154607,65.53766862051906
1,31,val,3,0.0010755219442002914,69.41176470588235,78.94736842105263,70.3971119133574,89.86175115207374,61.597542242703526
1,31,train,4,0.0007824073295473667,75.5663430420712,83.2110295752724,72.63198757763976,97.39718896408121,68.54461672327243
1,31,val,4,0.0010260022519265905,71.17647058823529,80.70866141732283,70.44673539518901,94.47004608294931,62.27567344797872
1,31,train,5,0.000726369726185274,76.47249190938511,83.68857976217187,73.54100946372239,97.08485163977095,69.84268244948342
1,31,val,5,0.0012199508574079064,70.58823529411765,80.0,70.6713780918728,92.16589861751152,62.34311191038178
1,31,train,6,0.0007128345674584985,76.99029126213593,84.04040404040404,73.8752959747435,97.44924518479958,70.40982361891818
1,31,val,6,0.0011909833287491519,71.17647058823529,80.55555555555556,70.73170731707317,93.54838709677419,62.62785208497246
1,31,train,7,0.0006909420418411397,77.99352750809061,84.59447213411873,74.88969113517851,97.1889640812077,71.81946065480402
1,31,val,7,0.0010685782660456264,70.88235294117648,80.4733727810651,70.34482758620689,94.00921658986175,62.04525870143493
1,31,train,8,0.0006932729686396407,77.96116504854369,84.61712220465326,74.74062250598563,97.50130140551796,71.67622811935436
1,31,val,8,0.0008978680488379563,73.23529411764706,82.39845261121856,71.0,98.15668202764977,63.7124873552883
1,31,train,9,0.0006730313331467434,78.28478964401295,84.75346512156328,75.20161290322581,97.08485163977095,72.23789203032176
1,31,val,9,0.0010703660547733307,73.23529411764706,82.1917808219178,71.42857142857143,96.7741935483871,64.24075531077891
1,31,train,10,0.0006305512734070951,80.12944983818771,85.8590511285122,76.99297810821975,97.03279541905258,74.69261670011655
1,31,val,10,0.0017303536043447607,69.11764705882352,79.3713163064833,69.17808219178082,93.08755760368663,59.95841294818478
1,31,train,11,0.000635715989956578,79.32038834951456,85.38760576263435,76.14192495921696,97.1889640812077,73.57309624077494
1,31,val,11,0.00119637993766981,72.35294117647058,81.49606299212599,71.1340206185567,95.39170506912443,63.54951107114757
