test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,87.64,90.67,85.38,96.67,84.73,0.00,90.29,92.93,86.80,100.00,86.59,0.00,76.25,70.77,58.97,88.46,79.42,14.04,22.16
34,0.00,88.85,91.45,86.20,97.39,86.38,0.00,94.12,95.56,92.27,99.08,92.22,0.00,74.36,80.00,100.00,66.67,83.33,19.76,15.56
36,0.00,87.82,90.76,85.06,97.29,85.00,0.00,90.00,92.64,87.35,98.62,86.71,0.00,69.39,74.58,70.97,78.57,67.86,20.61,18.06
37,0.00,88.78,91.39,86.10,97.36,86.32,0.00,85.29,89.54,81.99,98.62,80.20,0.00,76.34,85.17,74.17,100.00,63.10,8.96,4.37
38,0.00,87.35,90.43,84.83,96.83,84.45,0.00,85.00,89.44,81.20,99.54,79.44,0.00,65.61,73.00,64.60,83.91,63.38,19.39,16.44
43,0.00,86.75,89.90,84.16,96.49,83.95,0.00,91.47,93.51,90.87,96.31,89.62,0.00,92.93,94.89,95.59,94.20,92.10,-1.46,-1.38
44,0.00,87.79,90.82,85.20,97.24,84.76,0.00,94.41,95.77,92.67,99.08,92.63,0.00,82.28,83.99,80.82,87.41,81.94,12.13,11.78
45,0.00,88.05,90.70,85.20,96.95,85.81,0.00,91.76,93.94,88.57,100.00,88.62,0.00,100.00,100.00,100.00,100.00,100.00,-8.24,-6.06
46,0.00,87.37,90.66,84.88,97.27,83.91,0.00,87.94,91.14,85.77,97.24,84.39,0.00,71.00,71.29,57.60,93.51,75.21,16.94,19.86
49,0.00,88.68,91.34,86.52,96.74,86.21,0.00,82.94,87.39,82.72,92.63,79.24,0.00,77.70,82.08,73.20,93.42,76.08,5.24,5.31
50,0.00,87.58,90.58,84.98,96.98,84.74,0.00,88.82,91.85,85.94,98.62,85.08,0.00,85.45,88.41,80.26,98.39,83.57,3.37,3.44
51,0.00,87.50,90.51,84.86,96.97,84.67,0.00,81.76,87.03,79.69,95.85,76.38,0.00,69.49,73.53,73.53,73.53,68.76,12.27,13.50
52,0.00,87.54,90.53,85.44,96.26,84.83,0.00,82.94,87.17,83.83,90.78,79.94,0.00,79.17,82.95,72.28,97.33,78.38,3.77,4.21
53,0.00,87.26,90.36,84.50,97.09,84.33,0.00,83.53,88.28,80.84,97.24,78.29,0.00,86.14,89.39,81.94,98.33,83.31,-2.61,-1.11
54,0.00,87.18,90.28,84.69,96.67,84.31,0.00,80.29,86.46,76.98,98.62,73.29,0.00,74.17,79.14,74.00,85.06,72.22,6.12,7.32
55,0.00,86.32,89.61,83.33,96.90,83.38,0.00,86.76,90.45,83.86,98.16,82.41,0.00,86.21,89.93,91.24,88.65,84.65,0.56,0.52
56,0.00,86.18,89.45,83.45,96.37,83.39,0.00,89.41,92.14,87.55,97.24,86.42,0.00,91.16,93.80,95.28,92.37,90.18,-1.75,-1.66
58,0.00,85.87,89.38,83.03,96.77,82.66,0.00,81.18,87.15,77.22,100.00,73.98,0.00,88.44,91.46,84.26,100.00,84.82,-7.26,-4.31
60,0.00,86.95,90.21,84.11,97.27,83.77,0.00,91.18,93.36,89.79,97.24,88.86,0.00,66.29,72.73,59.70,93.02,67.16,24.88,20.64
61,0.00,86.79,90.02,84.10,96.83,83.80,0.00,76.47,84.37,73.22,99.54,67.66,0.00,69.32,78.74,66.67,96.15,63.35,7.15,5.63
62,0.00,86.07,89.36,83.21,96.49,83.25,0.00,81.76,87.40,78.18,99.08,75.15,0.00,90.18,93.70,91.54,95.97,83.88,-8.42,-6.30
63,0.00,85.89,89.23,83.09,96.35,83.04,0.00,82.35,87.65,79.18,98.16,76.31,0.00,87.70,92.26,85.62,100.00,77.00,-5.35,-4.60
