test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,97.48,97.97,98.02,97.92,97.33,0.00,95.00,96.02,97.62,94.47,95.20,0.04,73.75,66.67,56.76,80.77,75.57,21.25,29.35
34,0.00,95.94,96.70,96.28,97.13,95.60,0.00,90.88,92.46,97.94,87.56,92.15,0.01,84.62,90.62,85.29,96.67,70.56,6.27,1.83
36,0.00,96.48,97.14,97.04,97.24,96.25,0.00,94.41,95.61,95.83,95.39,94.04,0.03,59.18,69.70,60.53,82.14,55.36,35.23,25.92
37,0.00,96.81,97.39,97.26,97.52,96.60,0.00,94.71,95.85,95.85,95.85,94.27,0.00,87.79,91.30,88.42,94.38,84.10,6.92,4.55
38,0.00,96.18,96.90,97.09,96.72,96.02,0.01,90.29,92.27,93.81,90.78,90.11,0.02,77.71,80.00,79.55,80.46,77.37,12.59,12.27
43,0.00,95.67,96.45,96.58,96.33,95.48,0.00,95.00,96.06,96.73,95.39,94.85,0.00,96.97,97.78,100.00,95.65,97.83,-1.97,-1.72
44,0.00,96.50,97.19,97.03,97.35,96.23,0.00,94.12,95.35,96.24,94.47,93.98,0.01,85.83,87.41,82.78,92.59,85.37,8.29,7.94
45,0.00,96.96,97.48,97.08,97.87,96.72,0.00,95.00,96.02,97.62,94.47,95.20,0.00,80.87,89.11,100.00,80.36,90.18,14.13,6.91
46,0.00,95.56,96.50,95.69,97.33,94.94,0.00,94.71,95.73,98.54,93.09,95.32,0.02,84.50,80.50,78.05,83.12,84.24,10.21,15.23
49,0.00,96.70,97.33,97.18,97.49,96.46,0.00,93.24,94.71,94.50,94.93,92.59,0.02,79.86,83.33,76.09,92.11,78.59,13.38,11.38
50,0.00,97.58,98.04,97.83,98.25,97.38,0.00,92.94,94.47,94.47,94.47,92.36,0.00,98.18,98.41,96.88,100.00,97.92,-5.24,-3.94
51,0.00,97.30,97.81,97.66,97.96,97.10,0.00,93.82,95.04,97.57,92.63,94.28,0.02,74.58,75.41,85.19,67.65,75.82,19.25,19.63
52,0.00,95.34,96.23,96.31,96.15,95.09,0.01,93.82,95.15,95.37,94.93,93.40,0.01,78.47,80.98,75.00,88.00,78.06,15.35,14.17
53,0.00,97.72,98.15,97.94,98.36,97.53,0.00,94.12,95.39,95.39,95.39,93.63,0.00,89.11,90.76,91.53,90.00,88.90,5.01,4.64
54,0.00,97.22,97.75,97.39,98.12,96.95,0.01,90.00,91.94,94.63,89.40,90.23,0.03,61.59,59.72,75.44,49.43,63.78,28.41,32.22
55,0.00,96.23,96.90,96.95,96.84,96.05,0.00,93.24,94.69,94.91,94.47,92.76,0.01,88.18,91.24,93.98,88.65,87.87,5.06,3.45
56,0.00,96.55,97.16,97.45,96.86,96.47,0.00,95.29,96.28,97.18,95.39,95.26,0.01,85.64,89.26,97.30,82.44,88.22,9.66,7.02
58,0.00,96.33,97.01,97.04,96.98,96.13,0.00,95.00,96.09,95.87,96.31,94.50,0.00,97.96,98.36,97.83,98.90,97.66,-2.96,-2.27
60,0.00,96.23,96.96,96.76,97.16,95.95,0.00,94.41,95.49,98.53,92.63,95.09,0.02,79.78,80.43,75.51,86.05,79.98,14.64,15.05
61,0.00,96.59,97.23,97.11,97.36,96.36,0.00,95.00,96.04,97.17,94.93,95.03,0.01,77.27,82.14,76.67,88.46,74.79,17.73,13.89
62,0.00,96.64,97.23,97.10,97.37,96.45,0.01,91.47,93.14,95.63,90.78,91.73,0.01,80.37,85.71,96.00,77.42,83.58,11.10,7.43
63,0.00,97.08,97.61,97.26,97.96,96.85,0.00,94.12,95.45,94.17,96.77,93.10,0.00,93.58,95.68,94.33,97.08,90.54,0.53,-0.23
