fold,test_subject,phase,epoch,loss,accuracy,f1_score,precision,recall,auc
1,31,train,1,0.005100348206013923,67.34627831715211,76.5730206640353,69.11148365465213,85.84070796460178,61.397685034482244
1,31,val,1,0.002443225002464126,63.23529411764706,75.44204322200392,65.75342465753424,88.47926267281106,53.5892248323405
1,31,train,2,0.002079423755696676,71.74757281553397,79.61709082418865,72.18458933107536,88.75585632483082,66.27698718722293
1,31,val,2,0.001547375409042134,67.3529411764706,77.11340206185568,69.77611940298507,86.17511520737328,60.160728335393955
1,31,train,3,0.0013180851092423436,74.88673139158576,81.69811320754718,74.6873652436395,90.16137428422697,69.97375814296892
1,31,val,3,0.0011454384993104373,70.0,80.82706766917293,68.25396825396825,99.07834101382488,58.8887640028474
1,31,train,4,0.000951391407273541,77.66990291262135,83.81041764429845,76.29218282785133,92.97241020301927,72.74796729141553
1,31,val,4,0.0008267292205025168,71.76470588235294,80.40816326530611,72.16117216117216,90.78341013824884,64.49739612603499
1,31,train,5,0.0007563593064986386,79.87055016181229,85.39906103286386,77.76827704147071,94.69026548672566,75.10390092129269
1,31,val,5,0.0009268042467096273,70.29411764705881,79.84031936127744,70.4225352112676,92.16589861751152,61.936607845341115
1,31,train,6,0.0006906405121425594,79.90291262135922,85.46007960664949,77.6595744680851,95.00260281103591,75.04621158515869
1,31,val,6,0.0007337945951696705,81.76470588235294,86.46288209606988,82.15767634854771,91.24423963133641,78.14244501892023
1,31,train,7,0.000659017515004067,81.58576051779936,86.48777012586083,79.51965065502183,94.7943779281624,77.33730872456026
1,31,val,7,0.0008921255302779815,78.23529411764706,83.70044052863436,80.16877637130801,87.55760368663594,74.67311078640742
1,31,train,8,0.0005711634019480168,83.62459546925565,87.96384395813512,80.98992553657467,96.25195210827694,79.56310180264146
1,31,val,8,0.0008889605017269359,86.1764705882353,88.50855745721272,94.27083333333334,83.41013824884793,87.2335244089768
1,31,train,9,0.0005350742145504766,84.53074433656957,88.5755258126195,81.88245691559877,96.46017699115043,80.69373263586607
1,31,val,9,0.0007418804802000522,85.88235294117646,89.04109589041096,88.23529411764706,89.86175115207374,84.36176988497995
1,31,train,10,0.0004905483381020984,86.11650485436894,89.61007507871156,83.78623188405797,96.30400832899532,82.83977148699552
1,31,val,10,0.0008673553957658656,78.82352941176471,84.81012658227847,78.21011673151752,92.62672811059907,73.5491364130231
1,31,train,11,0.0004585376536793115,86.957928802589,90.24921364626181,84.3128390596745,97.08485163977095,83.70068073861944
1,31,val,11,0.0006273296606891295,87.05882352941177,90.26548672566372,86.80851063829788,94.00921658986175,84.40298227867072
1,31,train,12,0.0003926054900060001,89.44983818770227,92.0371275036639,86.70041417395305,98.07391983342009,86.67596761559798
1,31,val,12,0.0007451367619283059,89.70588235294117,92.02733485193622,90.990990990991,93.08755760368663,88.41369750103031
1,31,train,13,0.0004164410598310838,87.92880258899677,90.88242483500368,85.66820276497697,96.7725143154607,85.08428966414608
1,31,val,13,0.0008364712271620245,85.0,89.07922912205566,83.2,95.85253456221197,80.85309654939866
1,31,train,14,0.00039661728285711174,89.44983818770227,91.94664031620555,87.49412317818523,96.87662675689744,87.06106786946668
1,31,val,14,0.00043948159333975876,92.3529411764706,94.00921658986175,94.00921658986175,94.00921658986175,91.72005544940241
1,31,train,15,0.0003474526529269697,90.1294498381877,92.5006147037128,87.65144454799628,97.91775117126497,87.62440167630827
1,31,val,15,0.0012214896050007904,90.88235294117646,92.77389277389277,93.86792452830188,91.70506912442397,90.56798171668353
1,31,train,16,0.00033450077339090573,91.1326860841424,93.19085487077535,89.1583452211127,97.60541384695472,89.05078220149277
1,31,val,16,0.000673307675649138,90.29411764705883,92.6829268292683,89.31623931623932,96.31336405529954,87.99408040163351
1,31,train,17,0.00030568890351934726,91.74757281553399,93.67716340193404,89.44128787878788,98.33420093701197,89.62903374481051
