fold,test_subject,phase,epoch,loss,accuracy,f1_score,precision,recall,auc
1,34,train,1,0.011409182533000101,61.44078776885203,71.71102661596959,62.63699767519096,83.85949310804803,56.991858355266245
1,34,val,1,0.004581284403800965,73.33333333333333,79.59183673469389,73.03370786516854,87.4439461883408,70.03776256785463
1,34,train,2,0.004392393726887373,66.54573723762633,74.96606554198176,66.47180192572215,85.94931080480214,62.69515229681101
1,34,val,2,0.0031316341161727905,71.2,77.31092436974791,72.72727272727273,82.51121076233184,68.55823696011329
1,34,train,3,0.0023554278135562256,69.00751490023322,76.31683168316833,68.7968582649054,85.68252556691863,65.69840564060218
1,34,val,3,0.0013224592904249827,64.8,77.08333333333333,62.889518413597735,99.55156950672645,56.68367949020533
1,34,train,4,0.001554262217391986,72.40217672972273,78.88999008919721,71.173104434907,88.48377056469542,69.2108293817266
1,34,val,4,0.0015151693224906922,76.8,76.29427792915531,97.22222222222221,62.78026905829597,80.07434505546378
1,34,train,5,0.0012451202530692853,71.6766001554807,78.37784371909002,70.59871703492516,88.08359270787017,68.42067834151273
1,34,val,5,0.0005093529472748439,85.86666666666667,88.45315904139433,86.01694915254238,91.03139013452915,84.66043190936985
1,34,train,6,0.0009722487190576624,74.57890645244882,80.63943161634103,72.49822569198012,90.84037349933304,71.35186376830005
1,34,val,6,0.0004674284557501475,82.66666666666667,86.86868686868688,79.04411764705883,96.41255605381166,79.45627802690582
1,34,train,7,0.0009004580492675536,74.65664679968904,80.70244672454618,72.54345512593117,90.92930191196086,71.42738387523511
1,34,val,7,0.0004401453286409378,92.26666666666667,93.48314606741573,93.69369369369369,93.27354260089686,92.03150814255369
1,34,train,8,0.0007920040145427583,76.93703031873542,82.27091633466136,74.52183327318657,91.81858603823922,73.98382718061029
1,34,val,8,0.0005433355172475179,75.46666666666667,82.23938223938225,72.20338983050848,95.51569506726457,70.78416332310596
1,34,train,9,0.0007981211149760496,76.93703031873542,82.355273592387,74.31127012522361,92.35215651400623,73.87794161104038
1,34,val,9,0.0005747404495875041,90.4,91.89189189189189,92.3076923076923,91.4798206278027,90.14780505074344
1,34,train,10,0.000780879585282362,77.79217413837782,82.86342731453709,75.29069767441861,92.12983548243663,74.94690531885807
1,34,val,10,0.0008024496833483378,87.46666666666667,89.04428904428904,92.71844660194175,85.65022421524664,87.89090158130752
1,34,train,11,0.0007371294009782824,77.94765483285825,82.997002997003,75.36284470246734,92.35215651400623,75.08912173526399
1,34,val,11,0.0007935331265131632,89.86666666666666,91.28440366972477,93.42723004694837,89.23766816143498,90.01357092282277
1,34,train,12,0.0006754840264421697,79.26924073594196,83.96150761828387,76.45125958378969,93.10804802134281,76.5229681100503
1,34,val,12,0.0009342322846253713,88.0,89.5104895104895,93.20388349514563,86.09865470852019,88.44406419636536
1,34,train,13,0.0006430587608460843,80.20212490282456,84.69551282051282,77.06890266131973,93.99733214762117,77.46450458312734
1,34,val,13,0.0006641098360220592,87.46666666666667,89.48545861297539,89.28571428571429,89.68609865470853,86.94831248524899
1,34,train,14,0.0006090571368260376,80.15029800466442,84.55022186365471,77.37172388335179,93.19697643397066,77.56122113624
1,34,val,14,0.0006635488470395406,86.66666666666667,89.36170212765957,85.02024291497976,94.17040358744396,84.91414916214303
1,34,train,15,0.0006605237148012884,80.33169214822493,84.70683054604069,77.45025792188652,93.46376167185416,77.72566965580285
1,34,val,15,0.0009539301743110021,86.4,88.8402625820569,86.75213675213675,91.03139013452915,85.31832664621194
1,34,train,16,0.0006454869164537661,79.94299041202385,84.40773569701854,77.16390423572744,93.15251222765674,77.32159772873518
1,34,val,16,0.001008402576049169,85.33333333333334,87.91208791208791,86.20689655172413,89.68609865470853,84.31673353788057
1,34,train,17,0.0005591559076855979,82.19746048199015,86.0790273556231,79.07669396872673,94.44197421076034,79.76757095631184
1,34,val,17,0.0013268156498670578,88.26666666666667,90.13452914798206,90.13452914798206,90.13452914798206,87.83042246872787
1,34,train,18,0.0005800451477108671,82.68981601451154,86.41724278161854,79.61783439490446,94.48643841707425,80.34880927064893
1,34,val,18,0.0012950277129809061,83.46666666666667,84.72906403940887,93.98907103825137,77.13004484304933,84.94660136889308
1,34,test,best,0.0005013509094715118,98.0,98.55072463768116,100.0,97.14285714285714,98.57142857142858
