test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.01,54.99,58.28,44.10,85.90,61.52,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.70,69.88,53.70,100.00,50.00,-4.21,-3.67
34,0.01,54.84,57.89,43.95,84.77,61.16,0.01,49.49,66.21,49.49,100.00,50.00,0.02,56.41,72.13,56.41,100.00,50.00,-6.92,-5.92
36,0.01,51.70,57.17,42.26,88.36,59.49,0.01,49.49,66.21,49.49,100.00,50.00,0.02,80.65,89.29,80.65,100.00,50.00,-31.16,-23.07
37,0.01,54.00,57.79,43.55,85.88,60.71,0.01,49.49,66.21,49.49,100.00,50.00,0.03,33.33,50.00,33.33,100.00,50.00,16.16,16.21
38,0.01,53.79,57.41,43.34,85.02,60.38,0.01,49.49,66.21,49.49,100.00,50.00,0.02,40.31,57.46,40.31,100.00,50.00,9.18,8.75
43,0.01,59.98,62.92,47.78,92.12,66.66,0.01,49.49,66.21,49.49,100.00,50.00,0.01,51.42,46.27,37.35,60.80,53.65,-1.93,19.94
44,0.01,62.36,58.69,56.34,61.24,62.24,0.01,49.49,66.21,49.49,100.00,50.00,0.02,36.38,33.87,20.44,98.80,61.42,13.11,32.34
46,0.01,55.28,58.73,44.67,85.70,61.50,0.01,49.49,66.21,49.49,100.00,50.00,0.01,34.99,51.84,34.99,100.00,50.00,14.50,14.38
49,0.01,54.15,57.70,43.37,86.15,61.04,0.01,49.49,66.21,49.49,100.00,50.00,0.01,48.07,64.93,48.07,100.00,50.00,1.42,1.28
50,0.01,52.37,57.06,42.24,87.89,60.14,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.52,69.73,53.52,100.00,50.00,-4.03,-3.52
51,0.01,51.78,56.70,41.95,87.43,59.53,0.02,49.49,66.21,49.49,100.00,50.00,0.01,53.23,69.48,53.23,100.00,50.00,-3.74,-3.26
52,0.01,53.95,56.64,42.81,83.65,60.46,0.02,49.49,66.21,49.49,100.00,50.00,0.02,53.96,70.09,53.96,100.00,50.00,-4.47,-3.88
53,0.01,54.10,57.81,43.35,86.77,61.15,0.01,49.49,66.21,49.49,100.00,50.00,0.02,50.11,66.76,50.11,100.00,50.00,-0.62,-0.55
54,0.01,55.24,58.09,44.11,85.04,61.59,0.01,49.49,66.21,49.49,100.00,50.00,0.01,43.56,60.69,43.56,100.00,50.00,5.93,5.53
55,0.01,53.94,57.62,43.46,85.46,60.59,0.01,49.49,66.21,49.49,100.00,50.00,0.01,37.87,54.93,37.87,100.00,50.00,11.62,11.28
56,0.01,54.54,58.95,44.19,88.48,61.59,0.01,49.49,66.21,49.49,100.00,50.00,0.02,30.02,46.18,30.02,100.00,50.00,19.47,20.03
58,0.01,55.13,56.68,43.87,80.08,60.38,0.01,49.49,66.21,49.49,100.00,50.00,0.01,36.67,53.66,36.67,100.00,50.00,12.82,12.55
60,0.01,53.95,57.65,43.02,87.36,61.31,0.02,49.49,66.21,49.49,100.00,50.00,0.02,54.32,70.40,54.32,100.00,50.00,-4.83,-4.18
61,0.01,52.96,56.49,42.19,85.48,60.19,0.02,49.49,66.21,49.49,100.00,50.00,0.02,67.68,80.72,67.68,100.00,50.00,-18.19,-14.51
62,0.01,52.74,57.17,42.78,86.15,59.79,0.01,49.49,66.21,49.49,100.00,50.00,0.02,38.66,55.76,38.66,100.00,50.00,10.83,10.45
63,0.01,54.78,58.00,43.87,85.57,61.32,0.01,49.49,66.21,49.49,100.00,50.00,0.01,42.56,59.71,42.56,100.00,50.00,6.93,6.51
