fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.012179,54.99,58.28,44.1,85.9,61.52,0.014829,49.49,66.21,49.49,100.0,50.0,0.016922,53.7,69.88,53.7,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
2,0.012218,54.84,57.89,43.95,84.77,61.16,0.014792,49.49,66.21,49.49,100.0,50.0,0.02339,56.41,72.13,56.41,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
3,0.01244,51.7,57.17,42.26,88.36,59.49,0.01481,49.49,66.21,49.49,100.0,50.0,0.015046,80.65,89.29,80.65,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
4,0.012276,54.0,57.79,43.55,85.88,60.71,0.014739,49.49,66.21,49.49,100.0,50.0,0.029807,33.33,50.0,33.33,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
5,0.012488,53.79,57.41,43.34,85.02,60.38,0.01469,49.49,66.21,49.49,100.0,50.0,0.021142,40.31,57.46,40.31,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
6,0.011046,59.98,62.92,47.78,92.12,66.66,0.014659,49.49,66.21,49.49,100.0,50.0,0.012812,51.42,46.27,37.35,60.8,53.65,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
7,0.009743,62.36,58.69,56.34,61.24,62.24,0.012838,49.49,66.21,49.49,100.0,50.0,0.021724,36.38,33.87,20.44,98.8,61.42,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
9,0.012102,55.28,58.73,44.67,85.7,61.5,0.014558,49.49,66.21,49.49,100.0,50.0,0.014087,34.99,51.84,34.99,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
10,0.012399,54.15,57.7,43.37,86.15,61.04,0.014798,49.49,66.21,49.49,100.0,50.0,0.014707,48.07,64.93,48.07,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
11,0.012503,52.37,57.06,42.24,87.89,60.14,0.014866,49.49,66.21,49.49,100.0,50.0,0.015164,53.52,69.73,53.52,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
12,0.012587,51.78,56.7,41.95,87.43,59.53,0.01504,49.49,66.21,49.49,100.0,50.0,0.014586,53.23,69.48,53.23,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
13,0.012484,53.95,56.64,42.81,83.65,60.46,0.015059,49.49,66.21,49.49,100.0,50.0,0.015007,53.96,70.09,53.96,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
14,0.012354,54.1,57.81,43.35,86.77,61.15,0.01487,49.49,66.21,49.49,100.0,50.0,0.015344,50.11,66.76,50.11,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
15,0.012503,55.24,58.09,44.11,85.04,61.59,0.014795,49.49,66.21,49.49,100.0,50.0,0.014809,43.56,60.69,43.56,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
16,0.012358,53.94,57.62,43.46,85.46,60.59,0.014789,49.49,66.21,49.49,100.0,50.0,0.014309,37.87,54.93,37.87,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
17,0.012436,54.54,58.95,44.19,88.48,61.59,0.01461,49.49,66.21,49.49,100.0,50.0,0.015849,30.02,46.18,30.02,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
18,0.012321,55.13,56.68,43.87,80.08,60.38,0.014841,49.49,66.21,49.49,100.0,50.0,0.014783,36.67,53.66,36.67,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
19,0.012357,53.95,57.65,43.02,87.36,61.31,0.015135,49.49,66.21,49.49,100.0,50.0,0.01533,54.32,70.4,54.32,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
20,0.012493,52.96,56.49,42.19,85.48,60.19,0.015024,49.49,66.21,49.49,100.0,50.0,0.016172,67.68,80.72,67.68,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
21,0.012421,52.74,57.17,42.78,86.15,59.79,0.0148,49.49,66.21,49.49,100.0,50.0,0.016178,38.66,55.76,38.66,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
22,0.012316,54.78,58.0,43.87,85.57,61.32,0.014832,49.49,66.21,49.49,100.0,50.0,0.014667,42.56,59.71,42.56,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
,0.012192,54.6,57.88,44.15,84.98,61.08,0.014732,49.49,66.21,49.49,100.0,50.0,0.016754,47.5,61.61,46.07,98.08,50.72,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,,,,,
