test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.01,54.97,57.91,44.01,84.63,61.24,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.70,69.88,53.70,100.00,50.00,-4.21,-3.67
34,0.01,55.47,58.71,44.44,86.44,62.01,0.01,49.49,66.21,49.49,100.00,50.00,0.02,56.41,72.13,56.41,100.00,50.00,-6.92,-5.92
36,0.01,51.93,57.11,42.34,87.73,59.54,0.01,49.49,66.21,49.49,100.00,50.00,0.01,80.65,89.29,80.65,100.00,50.00,-31.16,-23.07
37,0.01,55.01,57.23,43.93,82.10,60.71,0.01,49.49,66.21,49.49,100.00,50.00,0.03,33.33,50.00,33.33,100.00,50.00,16.16,16.21
38,0.01,52.71,59.40,43.33,94.44,61.52,0.01,49.49,66.21,49.49,100.00,50.00,0.02,40.31,57.46,40.31,100.00,50.00,9.18,8.75
43,0.01,61.38,64.46,48.78,95.00,68.37,0.01,49.49,66.21,49.49,100.00,50.00,0.01,59.85,59.06,45.49,84.19,65.63,-10.36,7.15
44,0.01,75.50,68.70,77.64,61.62,73.93,0.01,49.49,66.21,49.49,100.00,50.00,0.05,36.85,33.77,20.41,97.60,61.22,12.64,32.45
46,0.01,53.08,58.82,43.63,90.25,60.69,0.01,49.49,66.21,49.49,100.00,50.00,0.01,34.99,51.84,34.99,100.00,50.00,14.50,14.38
49,0.01,53.45,57.26,42.94,85.92,60.44,0.01,49.49,66.21,49.49,100.00,50.00,0.01,48.07,64.93,48.07,100.00,50.00,1.42,1.28
50,0.01,54.15,56.18,42.82,81.66,60.16,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.52,69.73,53.52,100.00,50.00,-4.03,-3.52
51,0.01,53.01,57.80,42.77,89.11,60.86,0.02,49.49,66.21,49.49,100.00,50.00,0.01,53.23,69.48,53.23,100.00,50.00,-3.74,-3.26
52,0.01,54.41,57.97,43.36,87.44,61.66,0.02,49.49,66.21,49.49,100.00,50.00,0.02,53.96,70.09,53.96,100.00,50.00,-4.47,-3.88
53,0.01,54.75,56.35,43.32,80.57,60.32,0.01,49.49,66.21,49.49,100.00,50.00,0.02,50.11,66.76,50.11,100.00,50.00,-0.62,-0.55
54,0.01,52.85,57.10,42.73,86.05,59.92,0.01,49.49,66.21,49.49,100.00,50.00,0.01,43.56,60.69,43.56,100.00,50.00,5.93,5.53
55,0.01,55.67,58.85,44.59,86.55,62.18,0.01,49.49,66.21,49.49,100.00,50.00,0.01,37.87,54.93,37.87,100.00,50.00,11.62,11.28
56,0.01,55.96,59.21,44.97,86.66,62.34,0.01,49.49,66.21,49.49,100.00,50.00,0.02,30.02,46.18,30.02,100.00,50.00,19.47,20.03
58,0.01,54.25,58.18,43.75,86.80,61.10,0.01,49.49,66.21,49.49,100.00,50.00,0.01,36.67,53.66,36.67,100.00,50.00,12.82,12.55
60,0.01,56.42,57.83,44.29,83.30,62.34,0.02,49.49,66.21,49.49,100.00,50.00,0.02,54.32,70.40,54.32,100.00,50.00,-4.83,-4.18
61,0.01,52.27,55.70,41.66,83.99,59.31,0.01,49.49,66.21,49.49,100.00,50.00,0.02,67.68,80.72,67.68,100.00,50.00,-18.19,-14.51
62,0.01,53.54,57.31,43.18,85.19,60.22,0.01,49.49,66.21,49.49,100.00,50.00,0.02,38.66,55.76,38.66,100.00,50.00,10.83,10.45
63,0.01,52.73,56.64,42.57,84.60,59.51,0.01,49.49,66.21,49.49,100.00,50.00,0.01,42.56,59.71,42.56,100.00,50.00,6.93,6.51
