test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.012208,54.97,57.91,44.01,84.63,61.24,0.014805,49.49,66.21,49.49,100.0,50.0,0.016869,53.7,69.88,53.7,100.0,50.0
34,0.012071,55.47,58.71,44.44,86.44,62.01,0.014817,49.49,66.21,49.49,100.0,50.0,0.023521,56.41,72.13,56.41,100.0,50.0
36,0.012392,51.93,57.11,42.34,87.73,59.54,0.014682,49.49,66.21,49.49,100.0,50.0,0.013434,80.65,89.29,80.65,100.0,50.0
37,0.0123,55.01,57.23,43.93,82.1,60.71,0.014717,49.49,66.21,49.49,100.0,50.0,0.029946,33.33,50.0,33.33,100.0,50.0
38,0.012072,52.71,59.4,43.33,94.44,61.52,0.014765,49.49,66.21,49.49,100.0,50.0,0.020645,40.31,57.46,40.31,100.0,50.0
43,0.01058,61.38,64.46,48.78,95.0,68.37,0.014561,49.49,66.21,49.49,100.0,50.0,0.010907,59.85,59.06,45.49,84.19,65.63
44,0.007992,75.5,68.7,77.64,61.62,73.93,0.012834,49.49,66.21,49.49,100.0,50.0,0.048474,36.85,33.77,20.41,97.6,61.22
46,0.012129,53.08,58.82,43.63,90.25,60.69,0.01453,49.49,66.21,49.49,100.0,50.0,0.014305,34.99,51.84,34.99,100.0,50.0
49,0.012395,53.45,57.26,42.94,85.92,60.44,0.014808,49.49,66.21,49.49,100.0,50.0,0.01472,48.07,64.93,48.07,100.0,50.0
50,0.0125,54.15,56.18,42.82,81.66,60.16,0.014955,49.49,66.21,49.49,100.0,50.0,0.015402,53.52,69.73,53.52,100.0,50.0
51,0.012254,53.01,57.8,42.77,89.11,60.86,0.015025,49.49,66.21,49.49,100.0,50.0,0.014492,53.23,69.48,53.23,100.0,50.0
52,0.012275,54.41,57.97,43.36,87.44,61.66,0.015143,49.49,66.21,49.49,100.0,50.0,0.015175,53.96,70.09,53.96,100.0,50.0
53,0.012285,54.75,56.35,43.32,80.57,60.32,0.014802,49.49,66.21,49.49,100.0,50.0,0.015243,50.11,66.76,50.11,100.0,50.0
54,0.012316,52.85,57.1,42.73,86.05,59.92,0.014742,49.49,66.21,49.49,100.0,50.0,0.014833,43.56,60.69,43.56,100.0,50.0
55,0.011995,55.67,58.85,44.59,86.55,62.18,0.014833,49.49,66.21,49.49,100.0,50.0,0.014257,37.87,54.93,37.87,100.0,50.0
56,0.01211,55.96,59.21,44.97,86.66,62.34,0.01467,49.49,66.21,49.49,100.0,50.0,0.015663,30.02,46.18,30.02,100.0,50.0
58,0.0122,54.25,58.18,43.75,86.8,61.1,0.014754,49.49,66.21,49.49,100.0,50.0,0.014921,36.67,53.66,36.67,100.0,50.0
60,0.012116,56.42,57.83,44.29,83.3,62.34,0.015048,49.49,66.21,49.49,100.0,50.0,0.015191,54.32,70.4,54.32,100.0,50.0
61,0.012686,52.27,55.7,41.66,83.99,59.31,0.01494,49.49,66.21,49.49,100.0,50.0,0.015564,67.68,80.72,67.68,100.0,50.0
62,0.012336,53.54,57.31,43.18,85.19,60.22,0.014838,49.49,66.21,49.49,100.0,50.0,0.016165,38.66,55.76,38.66,100.0,50.0
63,0.012426,52.73,56.64,42.57,84.6,59.51,0.014707,49.49,66.21,49.49,100.0,50.0,0.014786,42.56,59.71,42.56,100.0,50.0
Average,0.011983,55.41,58.51,45.29,85.24,61.83,0.014713,49.49,66.21,49.49,100.0,50.0,0.017834,47.92,62.21,46.45,99.13,51.28
