test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.01,53.96,56.12,43.10,80.44,59.56,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.70,69.88,53.70,100.00,50.00,-4.21,-3.67
34,0.01,53.57,58.59,43.50,89.72,61.20,0.01,49.49,66.21,49.49,100.00,50.00,0.02,56.41,72.13,56.41,100.00,50.00,-6.92,-5.92
36,0.01,51.89,57.86,42.52,90.52,60.11,0.01,49.49,66.21,49.49,100.00,50.00,0.01,80.65,89.29,80.65,100.00,50.00,-31.16,-23.07
37,0.01,50.77,57.60,42.10,91.19,59.28,0.01,49.49,66.21,49.49,100.00,50.00,0.03,33.33,50.00,33.33,100.00,50.00,16.16,16.21
38,0.01,52.73,58.24,43.05,89.99,60.59,0.01,49.49,66.21,49.49,100.00,50.00,0.02,40.31,57.46,40.31,100.00,50.00,9.18,8.75
43,0.01,56.33,61.90,45.63,96.19,64.63,0.01,49.49,66.21,49.49,100.00,50.00,0.83,41.61,54.10,37.08,100.00,55.49,7.88,12.12
44,0.01,58.71,63.58,51.69,82.59,61.40,0.01,49.49,66.21,49.49,100.00,50.00,0.08,36.53,33.65,20.33,97.60,61.03,12.96,32.56
46,0.01,51.92,58.52,43.05,91.33,59.98,0.01,49.49,66.21,49.49,100.00,50.00,0.01,34.99,51.84,34.99,100.00,50.00,14.50,14.38
49,0.01,52.15,58.31,42.64,92.19,60.76,0.01,49.49,66.21,49.49,100.00,50.00,0.01,48.07,64.93,48.07,100.00,50.00,1.42,1.28
50,0.01,51.72,55.05,41.40,82.13,58.38,0.02,49.49,66.21,49.49,100.00,50.00,0.02,53.52,69.73,53.52,100.00,50.00,-4.03,-3.52
51,0.01,52.73,58.40,42.80,91.90,61.25,0.02,49.49,66.21,49.49,100.00,50.00,0.01,53.23,69.48,53.23,100.00,50.00,-3.74,-3.26
52,0.01,51.70,58.03,42.20,92.86,60.73,0.02,49.49,66.21,49.49,100.00,50.00,0.02,53.96,70.09,53.96,100.00,50.00,-4.47,-3.88
53,0.01,50.89,57.14,41.79,90.34,59.40,0.01,49.49,66.21,49.49,100.00,50.00,0.02,50.11,66.76,50.11,100.00,50.00,-0.62,-0.55
54,0.01,53.23,58.87,43.33,91.77,61.44,0.01,49.49,66.21,49.49,100.00,50.00,0.01,43.56,60.69,43.56,100.00,50.00,5.93,5.53
55,0.01,53.29,59.30,43.55,92.89,61.64,0.01,49.49,66.21,49.49,100.00,50.00,0.01,37.87,54.93,37.87,100.00,50.00,11.62,11.28
56,0.01,51.89,58.58,42.92,92.21,60.27,0.01,49.49,66.21,49.49,100.00,50.00,0.02,30.02,46.18,30.02,100.00,50.00,19.47,20.03
58,0.01,52.07,58.44,42.84,91.91,60.46,0.01,49.49,66.21,49.49,100.00,50.00,0.01,36.67,53.66,36.67,100.00,50.00,12.82,12.55
60,0.01,53.32,57.75,42.76,88.92,61.16,0.02,49.49,66.21,49.49,100.00,50.00,0.02,54.32,70.40,54.32,100.00,50.00,-4.83,-4.18
61,0.01,50.23,57.23,41.29,93.22,59.78,0.02,49.49,66.21,49.49,100.00,50.00,0.02,67.68,80.72,67.68,100.00,50.00,-18.19,-14.51
62,0.01,51.29,57.26,42.18,89.13,59.28,0.01,49.49,66.21,49.49,100.00,50.00,0.02,38.66,55.76,38.66,100.00,50.00,10.83,10.45
63,0.01,53.05,57.89,43.03,88.42,60.57,0.01,49.49,66.21,49.49,100.00,50.00,0.01,42.56,59.71,42.56,100.00,50.00,6.93,6.51
