fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.012508,53.96,56.12,43.1,80.44,59.56,0.014849,49.49,66.21,49.49,100.0,50.0,0.016933,53.7,69.88,53.7,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
2,0.012276,53.57,58.59,43.5,89.72,61.2,0.014848,49.49,66.21,49.49,100.0,50.0,0.023558,56.41,72.13,56.41,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
3,0.012512,51.89,57.86,42.52,90.52,60.11,0.014679,49.49,66.21,49.49,100.0,50.0,0.013777,80.65,89.29,80.65,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
4,0.012493,50.77,57.6,42.1,91.19,59.28,0.014846,49.49,66.21,49.49,100.0,50.0,0.029444,33.33,50.0,33.33,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
5,0.012499,52.73,58.24,43.05,89.99,60.59,0.014836,49.49,66.21,49.49,100.0,50.0,0.020365,40.31,57.46,40.31,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
6,0.011664,56.33,61.9,45.63,96.19,64.63,0.014687,49.49,66.21,49.49,100.0,50.0,0.834029,41.61,54.1,37.08,100.0,55.49,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
7,0.010106,58.71,63.58,51.69,82.59,61.4,0.012821,49.49,66.21,49.49,100.0,50.0,0.084282,36.53,33.65,20.33,97.6,61.03,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
9,0.012507,51.92,58.52,43.05,91.33,59.98,0.014609,49.49,66.21,49.49,100.0,50.0,0.013953,34.99,51.84,34.99,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
10,0.012467,52.15,58.31,42.64,92.19,60.76,0.014994,49.49,66.21,49.49,100.0,50.0,0.01486,48.07,64.93,48.07,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
11,0.012735,51.72,55.05,41.4,82.13,58.38,0.015038,49.49,66.21,49.49,100.0,50.0,0.015571,53.52,69.73,53.52,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
12,0.012498,52.73,58.4,42.8,91.9,61.25,0.015006,49.49,66.21,49.49,100.0,50.0,0.014499,53.23,69.48,53.23,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
13,0.012543,51.7,58.03,42.2,92.86,60.73,0.015045,49.49,66.21,49.49,100.0,50.0,0.015013,53.96,70.09,53.96,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
14,0.012623,50.89,57.14,41.79,90.34,59.4,0.014961,49.49,66.21,49.49,100.0,50.0,0.015466,50.11,66.76,50.11,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
15,0.012267,53.23,58.87,43.33,91.77,61.44,0.014679,49.49,66.21,49.49,100.0,50.0,0.014989,43.56,60.69,43.56,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
16,0.012205,53.29,59.3,43.55,92.89,61.64,0.014819,49.49,66.21,49.49,100.0,50.0,0.01429,37.87,54.93,37.87,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
17,0.012404,51.89,58.58,42.92,92.21,60.27,0.014707,49.49,66.21,49.49,100.0,50.0,0.015412,30.02,46.18,30.02,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
18,0.012556,52.07,58.44,42.84,91.91,60.46,0.014885,49.49,66.21,49.49,100.0,50.0,0.014793,36.67,53.66,36.67,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
19,0.012371,53.32,57.75,42.76,88.92,61.16,0.015068,49.49,66.21,49.49,100.0,50.0,0.015228,54.32,70.4,54.32,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
20,0.012645,50.23,57.23,41.29,93.22,59.78,0.015149,49.49,66.21,49.49,100.0,50.0,0.016682,67.68,80.72,67.68,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
21,0.01278,51.29,57.26,42.18,89.13,59.28,0.014754,49.49,66.21,49.49,100.0,50.0,0.016191,38.66,55.76,38.66,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
22,0.01246,53.05,57.89,43.03,88.42,60.57,0.014899,49.49,66.21,49.49,100.0,50.0,0.014667,42.56,59.71,42.56,100.0,50.0,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,False,,,,
,0.012339,52.74,58.32,43.21,89.99,60.57,0.01477,49.49,66.21,49.49,100.0,50.0,0.058762,47.04,61.97,46.05,99.89,50.79,1458.0,980.0,32.78,0.0,81.0,29.0,0.0,0.0,,,,,
