test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.01,53.42,59.07,43.54,91.81,61.53,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.70,69.88,53.70,100.00,50.00,-4.21,-3.67
34,0.01,51.21,58.14,42.38,92.53,59.94,0.01,49.49,66.21,49.49,100.00,50.00,0.02,56.41,72.13,56.41,100.00,50.00,-6.92,-5.92
36,0.01,53.40,58.48,43.32,89.94,61.17,0.01,49.49,66.21,49.49,100.00,50.00,0.02,80.65,89.29,80.65,100.00,50.00,-31.16,-23.07
37,0.01,53.52,59.66,43.76,93.73,61.99,0.01,49.49,66.21,49.49,100.00,50.00,0.03,33.33,50.00,33.33,100.00,50.00,16.16,16.21
38,0.01,52.94,57.82,43.04,88.06,60.35,0.01,49.49,66.21,49.49,100.00,50.00,0.02,40.31,57.46,40.31,100.00,50.00,9.18,8.75
43,0.01,58.51,62.92,46.92,95.49,66.20,0.01,49.49,66.21,49.49,100.00,50.00,1.05,36.48,47.03,32.97,81.96,47.29,13.01,19.18
44,0.01,58.85,63.81,51.79,83.12,61.59,0.01,49.49,66.21,49.49,100.00,50.00,0.16,34.89,33.09,19.92,97.60,60.05,14.60,33.12
46,0.01,54.48,58.31,44.18,85.73,60.88,0.01,49.49,66.21,49.49,100.00,50.00,0.01,34.99,51.84,34.99,100.00,50.00,14.50,14.38
49,0.01,51.99,57.48,42.35,89.41,60.04,0.02,49.49,66.21,49.49,100.00,50.00,0.01,48.07,64.93,48.07,100.00,50.00,1.42,1.28
50,0.01,51.99,58.85,42.55,95.38,61.48,0.02,49.49,66.21,49.49,100.00,50.00,0.02,53.52,69.73,53.52,100.00,50.00,-4.03,-3.52
51,0.01,52.03,58.21,42.46,92.56,60.84,0.02,49.49,66.21,49.49,100.00,50.00,0.01,53.23,69.48,53.23,100.00,50.00,-3.74,-3.26
52,0.01,52.85,56.15,42.18,83.97,59.67,0.01,49.49,66.21,49.49,100.00,50.00,0.01,53.96,70.09,53.96,100.00,50.00,-4.47,-3.88
53,0.01,53.68,58.81,43.39,91.24,61.78,0.01,49.49,66.21,49.49,100.00,50.00,0.02,50.11,66.76,50.11,100.00,50.00,-0.62,-0.55
54,0.01,51.75,58.03,42.50,91.47,60.21,0.01,49.49,66.21,49.49,100.00,50.00,0.01,43.56,60.69,43.56,100.00,50.00,5.93,5.53
55,0.01,52.40,59.01,43.10,93.51,61.07,0.01,49.49,66.21,49.49,100.00,50.00,0.01,37.87,54.93,37.87,100.00,50.00,11.62,11.28
56,0.01,53.45,58.23,43.52,87.95,60.62,0.01,49.49,66.21,49.49,100.00,50.00,0.02,30.02,46.18,30.02,100.00,50.00,19.47,20.03
58,0.01,51.87,58.70,42.82,93.29,60.59,0.01,49.49,66.21,49.49,100.00,50.00,0.01,36.67,53.66,36.67,100.00,50.00,12.82,12.55
60,0.01,51.00,57.74,41.80,93.30,60.32,0.02,49.49,66.21,49.49,100.00,50.00,0.02,54.32,70.40,54.32,100.00,50.00,-4.83,-4.18
61,0.01,52.29,58.36,42.40,93.59,61.46,0.01,49.49,66.21,49.49,100.00,50.00,0.02,67.68,80.72,67.68,100.00,50.00,-18.19,-14.51
62,0.01,52.00,58.44,42.78,92.17,60.48,0.01,49.49,66.21,49.49,100.00,50.00,0.02,38.66,55.76,38.66,100.00,50.00,10.83,10.45
63,0.01,51.04,58.10,42.25,93.02,59.97,0.01,49.49,66.21,49.49,100.00,50.00,0.01,42.56,59.71,42.56,100.00,50.00,6.93,6.51
