======================================================================
DUALSTREAMSIMPLE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          53.70          69.88           53.70       100.00         49.49         66.21   -3.67
          34          56.41          72.13           56.41       100.00         49.49         66.21   -5.92
          36          80.65          89.29           80.65       100.00         49.49         66.21  -23.07
          37          33.33          50.00           33.33       100.00         49.49         66.21   16.21
          38          40.31          57.46           40.31       100.00         49.49         66.21    8.75
          43          36.48          47.03           32.97        81.96         49.49         66.21   19.18
          44          34.89          33.09           19.92        97.60         49.49         66.21   33.12
          46          34.99          51.84           34.99       100.00         49.49         66.21   14.38
          49          48.07          64.93           48.07       100.00         49.49         66.21    1.28
          50          53.52          69.73           53.52       100.00         49.49         66.21   -3.52
          51          53.23          69.48           53.23       100.00         49.49         66.21   -3.26
          52          53.96          70.09           53.96       100.00         49.49         66.21   -3.88
          53          50.11          66.76           50.11       100.00         49.49         66.21   -0.55
          54          43.56          60.69           43.56       100.00         49.49         66.21    5.53
          55          37.87          54.93           37.87       100.00         49.49         66.21   11.28
          56          30.02          46.18           30.02       100.00         49.49         66.21   20.03
          58          36.67          53.66           36.67       100.00         49.49         66.21   12.55
          60          54.32          70.40           54.32       100.00         49.49         66.21   -4.18
          61          67.68          80.72           67.68       100.00         49.49         66.21  -14.51
          62          38.66          55.76           38.66       100.00         49.49         66.21   10.45
          63          42.56          59.71           42.56       100.00         49.49         66.21    6.51
-----------------------------------------------------------------------------------------------------------
AVERAGE            46.71            61.61            45.83            99.03            49.49            66.21             4.61
